#{"t_start": 1752508459.5835257, "env_id": "SafeCartPole-v0"}
r,l,t,c
25.0,25,0.027906,0.0
10.0,10,0.036579,0.0
16.0,16,0.050266,0.0
14.0,14,0.062335,0.0
10.0,10,0.071007,0.0
10.0,10,0.0796,0.0
9.0,9,0.087353,0.0
24.0,24,0.107809,0.0
10.0,10,0.11639,0.0
32.0,32,0.143675,0.0
14.0,14,0.155694,0.0
49.0,49,0.197563,0.0
30.0,30,0.223165,0.0
29.0,29,0.247863,0.0
13.0,13,0.258973,0.0
18.0,18,0.274246,0.0
17.0,17,0.288635,0.0
33.0,33,0.316608,0.0
24.0,24,0.336917,0.0
9.0,9,0.344613,0.0
19.0,19,0.360687,0.0
22.0,22,0.379343,0.0
23.0,23,0.398821,0.0
15.0,15,0.411562,0.0
18.0,18,0.426744,0.0
14.0,14,0.43864,0.0
16.0,16,0.452184,0.0
20.0,20,0.46914,0.0
39.0,39,0.502205,0.0
17.0,17,0.516674,0.0
25.0,25,0.537879,0.0
23.0,23,0.557322,0.0
11.0,11,0.56688,0.0
54.0,54,0.612648,0.0
29.0,29,0.637173,0.0
31.0,31,0.663496,0.0
13.0,13,0.674723,0.0
43.0,43,0.711939,0.0
15.0,15,0.724807,0.0
19.0,19,0.741128,0.0
12.0,12,0.75143,0.0
13.0,13,0.762619,0.0
20.0,20,0.779772,0.0
12.0,12,0.790107,0.0
16.0,16,0.803828,0.0
15.0,15,0.816614,0.0
13.0,13,0.827694,0.0
14.0,14,0.839646,0.0
31.0,31,0.866027,0.0
40.0,40,0.9001,0.0
20.0,20,0.91721,0.0
36.0,36,0.947821,0.0
17.0,17,0.962304,0.0
16.0,16,0.975978,0.0
32.0,32,1.003055,0.0
36.0,36,1.033287,0.0
21.0,21,1.050924,0.0
47.0,47,1.090278,0.0
19.0,19,1.106235,0.0
21.0,21,1.124281,0.0
56.0,56,1.171165,0.0
31.0,31,1.197124,0.0
14.0,14,1.208874,0.0
33.0,33,1.236519,0.0
23.0,23,1.255782,0.0
14.0,14,1.267537,0.0
28.0,28,1.29107,0.0
18.0,18,1.306158,0.0
28.0,28,1.329618,0.0
57.0,57,1.377214,0.0
34.0,34,1.405671,0.0
26.0,26,1.427436,0.0
25.0,25,1.448365,0.0
61.0,61,1.499588,0.0
27.0,27,1.522266,0.0
39.0,39,1.554856,0.0
22.0,22,1.573271,0.0
41.0,41,1.607697,0.0
25.0,25,1.628606,0.0
32.0,32,1.655514,0.0
29.0,29,1.680118,0.0
13.0,13,1.691094,0.0
20.0,20,1.707835,0.0
21.0,21,1.725446,0.0
11.0,11,1.734694,0.0
15.0,15,2.204102,0.0
101.0,101,2.289586,0.0
143.0,143,2.409567,0.0
60.0,60,2.459886,0.0
49.0,49,2.500906,0.0
39.0,39,2.533569,0.0
64.0,64,2.587168,0.0
47.0,47,2.626531,0.0
136.0,136,2.741423,0.0
42.0,42,2.777464,0.0
63.0,63,2.830938,0.0
14.0,14,2.842909,0.0
15.0,15,2.856005,0.0
24.0,24,2.876474,0.0
79.0,79,2.943525,0.0
35.0,35,2.973073,0.0
39.0,39,3.005842,0.0
20.0,20,3.022661,0.0
60.0,60,3.073449,0.0
17.0,17,3.087934,0.0
24.0,24,3.108325,0.0
18.0,18,3.123549,0.0
55.0,55,3.169895,0.0
70.0,70,3.228614,0.0
52.0,52,3.272672,0.0
60.0,60,3.323094,0.0
41.0,41,3.357442,0.0
48.0,48,3.397597,0.0
145.0,145,3.519254,9.0
83.0,83,3.588904,0.0
42.0,42,3.62405,0.0
119.0,119,3.724022,15.0
90.0,90,3.799574,0.0
53.0,53,3.843886,0.0
71.0,71,3.903442,0.0
38.0,38,4.387449,0.0
104.0,104,4.474888,0.0
200.0,200,4.642892,0.0
70.0,70,4.702308,0.0
38.0,38,4.734246,0.0
146.0,146,4.85868,63.0
48.0,48,4.899547,0.0
84.0,84,4.970288,0.0
143.0,143,5.090745,37.0
71.0,71,5.150398,0.0
93.0,93,5.228326,18.0
125.0,125,5.333184,15.0
51.0,51,5.376006,0.0
80.0,80,5.443107,11.0
66.0,66,5.498681,0.0
64.0,64,5.552512,0.0
44.0,44,5.589438,0.0
131.0,131,5.699425,44.0
200.0,200,5.867516,0.0
177.0,177,6.016602,32.0
132.0,132,6.585458,0.0
200.0,200,6.753655,0.0
180.0,180,6.907969,0.0
200.0,200,7.078713,109.0
114.0,114,7.176234,20.0
135.0,135,7.290471,13.0
200.0,200,7.458511,87.0
180.0,180,7.609945,66.0
139.0,139,7.72662,0.0
200.0,200,7.895028,17.0
200.0,200,8.063283,0.0
200.0,200,8.231363,0.0
200.0,200,8.881903,49.0
176.0,176,9.03196,82.0
174.0,174,9.178167,44.0
200.0,200,9.345855,64.0
190.0,190,9.505872,41.0
144.0,144,9.626762,29.0
164.0,164,9.76447,32.0
140.0,140,9.882093,35.0
36.0,36,9.912375,0.0
200.0,200,10.080248,71.0
165.0,165,10.219158,0.0
200.0,200,10.387046,23.0
85.0,85,10.458749,0.0
200.0,200,11.112743,0.0
146.0,146,11.23707,10.0
140.0,140,11.3546,2.0
108.0,108,11.445267,0.0
200.0,200,11.61336,0.0
144.0,144,11.734637,7.0
200.0,200,11.905075,0.0
200.0,200,12.074111,0.0
119.0,119,12.174568,11.0
200.0,200,12.34287,0.0
175.0,175,12.489974,0.0
200.0,200,12.658008,0.0
135.0,135,13.255112,4.0
96.0,96,13.335989,0.0
135.0,135,13.449337,0.0
95.0,95,13.52946,0.0
122.0,122,13.631888,0.0
74.0,74,13.694081,0.0
115.0,115,13.790605,0.0
106.0,106,13.879568,0.0
112.0,112,13.97353,0.0
110.0,110,14.065879,0.0
141.0,141,14.184236,0.0
124.0,124,14.288423,0.0
163.0,163,14.425249,0.0
166.0,166,14.5646,0.0
156.0,156,14.695658,0.0
94.0,94,14.774555,0.0
200.0,200,15.427837,13.0
200.0,200,15.596442,10.0
167.0,167,15.73725,71.0
200.0,200,15.905243,19.0
200.0,200,16.073491,0.0
196.0,196,16.238354,52.0
200.0,200,16.406356,0.0
200.0,200,16.57434,0.0
169.0,169,16.716516,38.0
192.0,192,16.882798,65.0
196.0,196,17.049296,45.0
200.0,200,17.705617,0.0
200.0,200,17.874194,0.0
200.0,200,18.042608,0.0
200.0,200,18.210927,0.0
176.0,176,18.360504,0.0
200.0,200,18.528235,0.0
200.0,200,18.696606,0.0
200.0,200,18.864951,0.0
200.0,200,19.03321,0.0
200.0,200,19.203387,0.0
200.0,200,19.847173,0.0
200.0,200,20.015149,0.0
200.0,200,20.183425,26.0
200.0,200,20.351496,0.0
200.0,200,20.51944,0.0
200.0,200,20.687463,0.0
200.0,200,20.855555,0.0
200.0,200,21.023668,0.0
200.0,200,21.193289,0.0
195.0,195,21.358322,0.0
200.0,200,21.525872,0.0
200.0,200,22.171538,0.0
195.0,195,22.336237,54.0
200.0,200,22.503932,84.0
153.0,153,22.632667,37.0
186.0,186,22.788621,40.0
200.0,200,22.95706,0.0
200.0,200,23.125405,44.0
200.0,200,23.295731,35.0
200.0,200,23.464884,44.0
200.0,200,23.633292,22.0
200.0,200,24.280598,0.0
200.0,200,24.448858,11.0
137.0,137,24.564047,29.0
200.0,200,24.73204,14.0
158.0,158,24.864976,26.0
174.0,174,25.01098,29.0
180.0,180,25.161961,27.0
200.0,200,25.331126,3.0
144.0,144,25.452783,28.0
200.0,200,25.621159,0.0
200.0,200,25.789438,26.0
174.0,174,25.93582,30.0
128.0,128,26.530565,0.0
105.0,105,26.618626,0.0
90.0,90,26.694057,0.0
94.0,94,26.772882,0.0
107.0,107,26.863476,0.0
72.0,72,26.924595,0.0
95.0,95,27.004589,0.0
61.0,61,27.056317,0.0
96.0,96,27.137849,0.0
111.0,111,27.231071,0.0
134.0,134,27.345463,0.0
93.0,93,27.424534,0.0
109.0,109,27.516454,0.0
85.0,85,27.587736,0.0
80.0,80,27.654847,0.0
160.0,160,27.78897,0.0
111.0,111,27.882684,0.0
87.0,87,27.955847,0.0
41.0,41,27.990255,0.0
111.0,111,28.083533,0.0
64.0,64,28.137267,0.0
81.0,81,28.724564,0.0
113.0,113,28.819719,0.0
140.0,140,28.937387,0.0
117.0,117,29.03573,0.0
111.0,111,29.129209,0.0
155.0,155,29.259328,0.0
130.0,130,29.370386,0.0
81.0,81,29.43939,0.0
132.0,132,29.551241,0.0
200.0,200,29.71927,0.0
