time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
13,11264,11,833,0.0997952,-1.7802654579281807,-0.0010243203141726553,0.021445434540510178,0.09065914992243052,0.00024948799999999997,0.1201816201210022,0.0,0.0010751475,40,-19.625,3971.125,,,,
14,12288,12,845,0.09977472,-1.779978446662426,-0.002898403734434396,0.01886664517223835,0.09528611181303859,0.0002494368,0.05925983190536499,0.041259765625,0.0022187084,44,-19.625,3971.125,,,,
15,13312,13,856,0.09975424000000001,-1.7757117599248886,-0.002651398186571896,0.02151504158973694,0.09075423423200846,0.0002493856,0.14863139390945435,0.072021484375,0.0034564915,48,-19.625,3971.125,,,,
16,14336,14,864,0.09973376,-1.7674181014299393,-0.002507720229914412,0.021463803946971893,0.0959889218211174,0.0002493344,0.1266019344329834,0.06396484375,0.0029130285,52,-19.818181818181817,3852.3636363636365,,,,
17,15360,15,872,0.09971328000000002,-1.7656304463744164,-0.0008685588545631617,0.012718744575977325,0.09075414156541228,0.0002492832,0.1574886441230774,0.0,0.0014900669,56,-19.833333333333332,3838.4166666666665,,,,
18,16384,16,878,0.09969280000000001,-1.767212063074112,-0.0022606384591199458,0.016480550169944763,0.09364041453227401,0.000249232,0.20536935329437256,0.03271484375,0.0026537606,60,-19.928571428571427,3851.0714285714284,,,,
19,17408,17,884,0.09967232000000001,-1.760697528719902,0.00018394511425867677,0.03444115072488785,0.0970944482833147,0.0002491808,0.22047406435012817,0.0,0.0006086359,64,-20.0,3818.0,,,,
20,18432,18,889,0.09965184,-1.7681806683540344,-0.0011762631474994123,0.03367414325475693,0.09559497749432921,0.0002491296,0.22944283485412598,0.0,0.0014716024,68,-20.0,3869.6875,,,,
21,19456,19,895,0.09963136,-1.7627562433481216,-0.0005622366152238101,0.009515821933746338,0.07437911722809076,0.0002490784,0.4239242672920227,0.02294921875,0.0019089745,72,-20.0,3869.6875,,,,
22,20480,20,899,0.09961088000000001,-1.7485544458031654,-0.0026049513544421643,0.014959670603275299,0.057439385214820504,0.0002490272,0.43089598417282104,0.05615234375,0.0025568565,76,-20.0,3869.6875,,,,
23,21504,21,903,0.09959040000000001,-1.7598350271582603,-0.0009656460315454751,0.029270805418491364,0.09745142795145512,0.000248976,0.19053107500076294,0.073486328125,0.0022504288,80,-20.105263157894736,3820.157894736842,,,,
24,22528,22,907,0.09956992,-1.7598287984728813,-0.0015416996902786195,0.02567289024591446,0.09567840257659554,0.00024892480000000003,0.3924676179885864,0.058349609375,0.0023791722,84,-20.15,3796.75,,,,
25,23552,23,910,0.09954944,-1.7543096095323563,-0.0008594966493546963,0.018422167748212814,0.07642365782521665,0.00024887360000000003,0.28773075342178345,0.0625,0.0028569973,88,-20.142857142857142,3785.0476190476193,,,,
26,24576,24,913,0.09952896,-1.7518302500247955,-0.0009956958529073745,0.03057286888360977,0.09899227228015661,0.0002488224,0.43500494956970215,0.000244140625,0.0018619986,92,-20.130434782608695,3816.304347826087,,,,
,25000,,,0.09950848000000001,-1.7469421029090881,-0.001302062184549868,0.02249775268137455,0.09582177735865116,0.0002487712,0.5461759567260742,0.03173828125,0.0011754143,96,,,3056.0,-15.426666799999998,-21.0,3056.0
40,25600,25,626,,,,,,,,,,,-20.130434782608695,3816.304347826087,,,,
41,26624,26,636,0.09948800000000001,-1.7354442328214645,-0.0008444779668934643,0.012591999024152756,0.1008085897192359,0.00024872,0.30117350816726685,0.0,0.0008279345,100,-20.130434782608695,3816.304347826087,,,,
42,27648,27,644,0.09946752,-1.7269967049360275,-0.0017325522494502366,0.00927780382335186,0.05962742958217859,0.0002486688,0.5545294880867004,0.04931640625,0.0022716238,104,-20.083333333333332,3839.5,,,,
43,28672,28,652,0.09944704,-1.734726719558239,-0.0019471936684567481,0.004455253481864929,0.05514852865599096,0.0002486176,0.5819524526596069,0.1201171875,0.002989803,108,-20.11111111111111,3801.185185185185,,,,
44,29696,29,660,0.09942656,-1.7250245288014412,-0.0004588319861795753,0.02780691348016262,0.09998049587011337,0.0002485664,0.4867708683013916,0.051025390625,0.0026238714,112,-20.11111111111111,3801.185185185185,,,,
45,30720,30,668,0.09940608000000001,-1.735454760491848,-0.00175044551724568,0.02543080598115921,0.1011255020275712,0.0002485152,0.4356873035430908,0.04541015625,0.0017044065,116,-20.142857142857142,3794.3928571428573,,,,
47,31744,31,674,0.0993856,-1.7288105189800262,-0.0015067949425429106,0.009690575301647186,0.05027907411567867,0.000248464,0.6534873247146606,0.07177734375,0.00251307,120,-20.129032258064516,3775.2903225806454,,,,
48,32768,32,681,0.09936512,-1.726027987897396,-0.0013772670645266771,0.018307212740182877,0.08693866292014718,0.0002484128,0.5668424367904663,0.074951171875,0.002470979,124,-20.129032258064516,3775.2903225806454,,,,
49,33792,33,688,0.09934464,-1.715085282921791,-0.0006970035319682211,0.011081574484705925,0.0800784167367965,0.0002483616,0.3100849986076355,0.0,0.0008357478,128,-20.129032258064516,3775.2903225806454,,,,
50,34816,34,694,0.09932416,-1.701260931789875,-0.000998256728053093,0.008732777088880539,0.06612949399277568,0.0002483104,0.4880255460739136,0.093017578125,0.0021031993,132,-20.147058823529413,3748.235294117647,,,,
51,35840,35,700,0.09930368,-1.7149761468172073,-0.001315953239100054,0.012319564819335938,0.0588519130833447,0.00024825920000000004,0.7457777857780457,0.052978515625,0.0021275235,136,-20.114285714285714,3751.4285714285716,,,,
52,36864,36,706,0.09928320000000002,-1.7154418900609016,-0.0013435646833386272,0.010234717279672623,0.08718210482038558,0.00024820800000000003,0.4664428234100342,0.04052734375,0.003141781,140,-20.114285714285714,3751.4285714285716,,,,
53,37888,37,711,0.09926272000000001,-1.7030508667230606,-0.0019217575900256634,0.042108017951250076,0.12383345095440745,0.00024815680000000003,0.6259785890579224,0.076416015625,0.0009953983,144,-20.135135135135137,3738.3513513513512,,,,
54,38912,38,716,0.09924224000000001,-1.6924644857645035,-0.0029130083858035505,0.007669549435377121,0.054193027783185244,0.0002481056,0.7362240552902222,0.087646484375,0.0017322258,148,-20.135135135135137,3738.3513513513512,,,,
55,39936,39,722,0.09922176,-1.6701019182801247,-0.001430611766409129,0.01855272799730301,0.07694789045490324,0.0002480544,0.33344948291778564,0.054443359375,0.0014738399,152,-20.157894736842106,3748.9210526315787,,,,
56,40960,40,726,0.09920128,-1.6744532957673073,-0.0066889478475786746,0.0029665324836969376,0.06840305053628981,0.0002480032,0.6068630814552307,0.154296875,0.0033974452,156,-20.146341463414632,3753.512195121951,,,,
57,41984,41,731,0.09918080000000001,-1.671630710363388,-0.0006896519043948501,0.02677525207400322,0.06195970578119159,0.000247952,0.7530918717384338,0.018310546875,0.0016610709,160,-20.142857142857142,3752.7619047619046,,,,
58,43008,42,735,0.09916032000000001,-1.6910988837480545,-0.002887233014917001,0.013378776609897614,0.10830730479210615,0.0002479008,0.5792281627655029,0.045654296875,0.0018186157,164,-20.162790697674417,3738.3023255813955,,,,
59,44032,43,740,0.09913984,-1.7028280794620514,-0.002620521408971399,0.01433371752500534,0.06402365048415959,0.0002478496,0.47711795568466187,0.101318359375,0.0029880488,168,-20.162790697674417,3738.3023255813955,,,,
60,45056,44,744,0.09911936,-1.6905816793441772,-0.0026353221473982558,0.021537065505981445,0.07544780056923628,0.0002477984,0.4989356994628906,0.101318359375,0.002758705,172,-20.133333333333333,3740.3555555555554,,,,
61,46080,45,748,0.09909888,-1.7124485969543457,-0.002194451430113986,0.009869508445262909,0.06827661418356001,0.0002477472,0.7104151248931885,0.089599609375,0.0021814117,176,-20.133333333333333,3740.3555555555554,,,,
62,47104,46,752,0.09907840000000001,-1.6987509950995445,-0.00037258071824908257,0.0013409461826086044,0.050506941974163055,0.000247696,0.4875038266181946,0.0078125,0.0008439056,180,-20.133333333333333,3740.3555555555554,,,,
63,48128,47,756,0.09905792000000001,-1.710790529847145,-0.0024392440100200474,0.017627978697419167,0.08676936710253358,0.0002476448,0.5262340307235718,0.072998046875,0.0027470528,184,-20.145833333333332,3733.3958333333335,,,,
64,49152,48,760,0.09903744,-1.7150239273905754,-0.0003653279272839427,0.023069893941283226,0.08400365803390741,0.0002475936,0.5792781114578247,0.0009765625,0.0012044015,188,-20.142857142857142,3736.6326530612246,,,,
,50000,,,0.09901696,-1.7023942023515701,-0.0017641840386204422,0.026167158037424088,0.08940687077119946,0.0002475424,0.5149027109146118,0.08544921875,0.00218614,192,,,3056.0,-1.6933332,-21.0,3056.0
78,50176,49,639,,,,,,,,,,,-20.137254901960784,3745.8823529411766,,,,
79,51200,50,644,0.09899648,-1.6754522919654846,-0.0010423521744087338,0.04164320230484009,0.10701582115143538,0.0002474912,0.5799065828323364,0.070068359375,0.0017458309,196,-20.137254901960784,3745.8823529411766,,,,
80,52224,51,648,0.09897600000000001,-1.644153192639351,-0.0015805296134203672,0.0406796932220459,0.11004363372921944,0.00024744,0.30257606506347656,0.1494140625,0.0052301916,200,-20.137254901960784,3745.8823529411766,,,,
81,53248,52,652,0.09895552,-1.6488767489790916,5.79807092435658e-05,-0.0005941633135080338,0.04101378656923771,0.00024738879999999997,0.6501855254173279,0.005615234375,0.0006774758,204,-20.132075471698112,3760.245283018868,,,,
82,54272,53,657,0.09893504,-1.6620541214942932,-0.002259924483951181,-0.0038282088935375214,0.03345110616646707,0.0002473376,0.8398095965385437,0.054443359375,0.0020569274,208,-20.14814814814815,3749.277777777778,,,,
83,55296,54,661,0.09891456,-1.689132422208786,-0.0015334685740526766,0.0016801618039608002,0.050654347985982895,0.0002472864,0.7576513290405273,0.109619140625,0.0018161628,212,-20.142857142857142,3741.25,,,,
84,56320,55,665,0.09889408,-1.6763953790068626,-0.002085195737890899,0.02015877515077591,0.0685421188827604,0.0002472352,0.5853307247161865,0.06494140625,0.0030494584,216,-20.140350877192983,3736.684210526316,,,,
85,57344,56,669,0.0988736,-1.6579817980527878,-0.0008100346312858164,0.025145424529910088,0.08007561042904854,0.000247184,0.6360335350036621,0.02294921875,0.002237462,220,-20.152542372881356,3728.169491525424,,,,
86,58368,57,672,0.09885312000000002,-1.6194564253091812,-0.00010605208808556199,0.005334796383976936,0.05501736095175147,0.0002471328,0.7391958236694336,0.0576171875,0.0017559396,224,-20.152542372881356,3728.169491525424,,,,
