time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
1,1024,2,361,,,,,,,,,,,,,,,,
2,2048,13,152,0.024363553151488304,-0.0016763221647124738,0.0021665061,-0.01952981948852539,-1.7905218973755836,0.225933778565377,0.040771484375,0.0002499488,4,0.09997952,,,,,,
3,3072,23,131,0.028689641505479813,-0.000644142332021147,0.00061228825,0.0026993155479431152,-1.790348008275032,0.11579833598807454,0.0,0.0002498976,8,0.09995904,,,,,,
4,4096,33,122,0.036821600049734116,-0.00019244827853981405,0.00015602907,0.0049839019775390625,-1.7911515906453133,0.13527790969237685,0.0,0.0002498464,12,0.09993856000000001,,,,,,
5,5120,43,117,0.03944561257958412,-0.000549601943930611,0.00035027385,0.0038638710975646973,-1.791037268936634,0.1349272900260985,0.0,0.0002497952,16,0.09991808,,,,,,
6,6144,53,114,0.029382355511188507,0.00011220798478461802,0.0004594702,0.008630096912384033,-1.7896865755319595,0.10597316920757294,0.0,0.000249744,20,0.0998976,3056.0,-21.0,,,,
7,7168,63,112,0.035653579980134964,-0.0007739691209280863,0.00078642066,0.008322000503540039,-1.7882194742560387,0.117157815489918,0.0,0.0002496928,24,0.09987712,3303.8,-21.0,,,,
8,8192,73,110,0.02746010012924671,-0.0017046587308868766,0.002166829,0.022289156913757324,-1.7866604998707771,0.08835443807765841,0.023681640625,0.0002496416,28,0.09985664,3480.25,-20.75,,,,
9,9216,83,109,0.027587484568357468,-0.000311055569909513,0.0008355176,0.04609084129333496,-1.7837103977799416,0.09306410374119878,0.0,0.0002495904,32,0.09983616000000001,3480.25,-20.75,,,,
10,10240,93,109,0.038509100675582886,-0.0029575969674624503,0.0021796296,0.030061721801757812,-1.7730702310800552,0.11554726120084524,0.0830078125,0.00024953919999999997,36,0.09981568,3480.25,-20.75,,,,
11,11264,103,109,0.029450954869389534,-0.0005187071801628917,0.0016711439,0.06511080265045166,-1.7747963145375252,0.10232636844739318,0.01953125,0.00024948799999999997,40,0.0997952,3480.25,-20.75,,,,
12,12288,113,108,0.019109146669507027,-0.0003020667645614594,0.0013333054,0.13677847385406494,-1.7708232402801514,0.08959884103387594,0.008056640625,0.0002494368,44,0.09977472,3480.25,-20.75,,,,
13,13312,123,108,0.04025379940867424,-0.0010696480894694105,0.0010436496,0.13791054487228394,-1.7709794119000435,0.11082404479384422,0.013916015625,0.0002493856,48,0.09975424000000001,3428.2,-20.8,,,,
14,14336,133,107,0.021351633593440056,-0.004235413682181388,0.0026993528,0.20735204219818115,-1.7668885812163353,0.08560744812712073,0.1201171875,0.0002493344,52,0.09973376,3416.181818181818,-20.818181818181817,,,,
15,15360,143,107,0.016090651974081993,-0.0018374708597548306,0.002830993,0.15184909105300903,-1.7616466581821442,0.08529190951958299,0.0703125,0.0002492832,56,0.09971328000000002,3491.3333333333335,-20.666666666666668,,,,
16,16384,153,106,0.025606639683246613,-0.0020253987167961895,0.0022364692,0.1766766905784607,-1.749233640730381,0.1014525811187923,0.07958984375,0.000249232,60,0.09969280000000001,3544.5625,-20.6875,,,,
17,17408,163,106,0.040875740349292755,-0.002127029816620052,0.0033820525,0.1745617389678955,-1.739585094153881,0.10428517311811447,0.119140625,0.0002491808,64,0.09967232000000001,3544.5625,-20.6875,,,,
18,18432,173,105,0.028635866940021515,-0.0008265265496447682,0.0027755776,0.34671396017074585,-1.7384988144040108,0.07636499451473355,0.06689453125,0.0002491296,68,0.09965184,3544.5625,-20.6875,,,,
19,19456,183,105,0.014529366046190262,-0.0023496156209148467,0.004531226,0.40331166982650757,-1.7330627664923668,0.07486261986196041,0.098388671875,0.0002490784,72,0.09963136,3530.176470588235,-20.705882352941178,,,,
20,20480,193,105,0.007023351266980171,-0.00025755923707038164,0.0010826424,0.48734766244888306,-1.7208650261163712,0.06032163859345019,0.0,0.0002490272,76,0.09961088000000001,3517.4210526315787,-20.68421052631579,,,,
21,21504,203,105,0.012092120945453644,-0.0022209556482266635,0.0034108672,0.49736618995666504,-1.7404259592294693,0.06899053114466369,0.086669921875,0.000248976,80,0.09959040000000001,3473.909090909091,-20.727272727272727,,,,
22,22528,213,105,0.03939329832792282,-0.002284001122461632,0.0022740182,0.3085622787475586,-1.7605909556150436,0.11041079880669713,0.052734375,0.00024892480000000003,84,0.09956992,3479.695652173913,-20.695652173913043,,,,
23,23552,223,105,0.0115306805819273,-0.0012966103095095605,0.0012578538,0.37990128993988037,-1.761552669107914,0.07512656529434025,0.0107421875,0.00024887360000000003,88,0.09954944,3497.75,-20.666666666666668,,,,
24,24576,233,105,0.0034667495638132095,-0.0009985158394556493,0.000599551,0.5259824395179749,-1.7487652897834778,0.0660245600156486,0.005615234375,0.0002488224,92,0.09952896,3497.75,-20.666666666666668,,,,
,25000,,,0.0046870531514286995,-0.0003039051516680047,0.000799558,0.6031253337860107,-1.749684862792492,0.0444424725137651,0.0,0.0002487712,96,0.09950848000000001,,,3056.0,3056.0,-0.05,-21.0
25,25600,275,93,,,,,,,,,,,3484.56,-20.68,,,,
26,26624,284,93,0.0036451928317546844,-0.0012445634783944115,0.0010036281,0.4766923785209656,-1.7561291977763176,0.06310203764587641,0.024169921875,0.00024872,100,0.09948800000000001,3484.576923076923,-20.692307692307693,,,,
27,27648,294,93,0.013069592416286469,-0.000787969445809722,0.0010745699,0.6156263947486877,-1.7611043155193329,0.08034699829295278,0.0,0.0002486688,104,0.09946752,3473.6428571428573,-20.678571428571427,,,,
28,28672,304,94,0.022144174203276634,-0.00019189229351468384,0.0002498551,0.5366622805595398,-1.7659877017140388,0.07010737876407802,0.0,0.0002486176,108,0.09944704,3484.1612903225805,-20.64516129032258,,,,
29,29696,314,94,0.016968976706266403,-0.001831661706091836,0.0014520404,0.5221810340881348,-1.7692187428474426,0.0914146825671196,0.0244140625,0.0002485664,112,0.09942656,3484.1612903225805,-20.64516129032258,,,,
