#{"t_start": 1752536461.294913, "env_id": "SafeCartPole-v0"}
r,l,t,c
25.0,25,6.556333,25.0
19.0,19,6.572624,19.0
20.0,20,6.589732,13.0
15.0,15,6.602584,15.0
19.0,19,6.618873,14.0
25.0,25,6.640271,25.0
50.0,50,6.683064,34.0
13.0,13,6.694226,11.0
25.0,25,6.715574,13.0
33.0,33,6.743828,33.0
13.0,13,6.755099,11.0
20.0,20,6.772179,20.0
11.0,11,6.78161,11.0
25.0,25,6.802964,25.0
16.0,16,6.816717,16.0
22.0,22,6.835688,22.0
24.0,24,6.856238,24.0
9.0,9,6.863971,9.0
14.0,14,6.875996,10.0
38.0,38,6.908516,38.0
39.0,39,6.941971,30.0
15.0,15,6.955143,15.0
33.0,33,6.983505,33.0
28.0,28,7.007466,28.0
12.0,12,7.017831,8.0
20.0,20,7.03505,20.0
11.0,11,7.044487,9.0
12.0,12,7.054806,12.0
20.0,20,7.071934,17.0
15.0,15,7.084771,15.0
60.0,60,7.136406,60.0
15.0,15,7.149355,15.0
28.0,28,7.17347,28.0
46.0,46,7.212869,39.0
17.0,17,7.22771,17.0
46.0,46,7.268258,46.0
14.0,14,7.280749,11.0
23.0,23,7.301476,23.0
48.0,48,7.344267,48.0
33.0,33,7.37338,33.0
39.0,39,7.81429,39.0
43.0,43,7.851238,43.0
45.0,45,7.889893,45.0
21.0,21,7.907946,16.0
14.0,14,7.920021,11.0
58.0,58,7.971288,39.0
15.0,15,7.984774,15.0
30.0,30,8.011556,30.0
82.0,82,8.084906,29.0
32.0,32,8.113051,32.0
23.0,23,8.133259,23.0
53.0,53,8.179807,42.0
37.0,37,8.212179,37.0
21.0,21,8.230681,21.0
35.0,35,8.261348,35.0
60.0,60,8.313681,60.0
13.0,13,8.325071,8.0
18.0,18,8.340785,18.0
29.0,29,8.366196,29.0
23.0,23,8.386404,23.0
17.0,17,8.401341,14.0
18.0,18,8.417103,18.0
24.0,24,8.438133,24.0
16.0,16,8.452167,16.0
48.0,48,8.494061,48.0
13.0,13,8.505433,8.0
20.0,20,8.522948,20.0
69.0,69,8.582887,69.0
13.0,13,8.594206,13.0
25.0,25,8.615881,25.0
30.0,30,8.641841,30.0
52.0,52,8.68669,52.0
55.0,55,8.734074,55.0
35.0,35,8.764314,35.0
31.0,31,8.790897,23.0
52.0,52,8.835532,37.0
30.0,30,8.861296,30.0
16.0,16,8.875042,16.0
33.0,33,8.903257,33.0
49.0,49,8.945415,49.0
33.0,33,8.974053,21.0
50.0,50,9.017184,50.0
32.0,32,9.044866,32.0
27.0,27,9.068262,27.0
12.0,12,9.078662,12.0
24.0,24,9.099428,24.0
39.0,39,9.133078,39.0
47.0,47,9.173664,47.0
10.0,10,9.182283,9.0
24.0,24,9.202884,24.0
66.0,66,9.259578,52.0
34.0,34,9.288794,34.0
16.0,16,9.302529,16.0
51.0,51,9.346364,43.0
30.0,30,9.372306,30.0
71.0,71,9.433121,71.0
38.0,38,9.465609,37.0
21.0,21,9.483626,21.0
28.0,28,9.507687,28.0
20.0,20,9.524944,15.0
24.0,24,9.545587,13.0
17.0,17,9.560271,17.0
67.0,67,10.01851,60.0
23.0,23,10.038217,20.0
54.0,54,10.084444,38.0
34.0,34,10.11365,34.0
21.0,21,10.131864,21.0
12.0,12,10.14223,12.0
36.0,36,10.173163,36.0
29.0,29,10.198255,29.0
46.0,46,10.238304,37.0
23.0,23,10.258392,23.0
79.0,79,10.326975,72.0
100.0,100,10.414021,96.0
31.0,31,10.441083,31.0
56.0,56,10.489839,56.0
35.0,35,10.520115,35.0
74.0,74,10.583666,68.0
26.0,26,10.605885,26.0
70.0,70,10.66611,70.0
25.0,25,10.687628,25.0
61.0,61,10.740019,61.0
97.0,97,10.823057,72.0
42.0,42,10.859031,42.0
80.0,80,10.927764,80.0
36.0,36,10.95911,36.0
25.0,25,10.980555,25.0
19.0,19,10.996994,19.0
36.0,36,11.027898,36.0
38.0,38,11.060404,38.0
89.0,89,11.136884,89.0
24.0,24,11.157609,24.0
52.0,52,11.202326,43.0
31.0,31,11.228775,31.0
14.0,14,11.240803,14.0
31.0,31,11.267412,31.0
27.0,27,11.290661,27.0
56.0,56,11.338859,56.0
53.0,53,11.384214,53.0
54.0,54,11.430502,47.0
85.0,85,11.503692,85.0
126.0,126,11.611799,44.0
31.0,31,11.63844,31.0
43.0,43,11.675274,43.0
20.0,20,11.692364,20.0
85.0,85,12.169351,74.0
34.0,34,12.198562,34.0
33.0,33,12.226732,33.0
87.0,87,12.301979,87.0
25.0,25,12.323689,25.0
15.0,15,12.336735,15.0
26.0,26,12.359337,26.0
41.0,41,12.39495,41.0
27.0,27,12.418511,21.0
111.0,111,12.514046,111.0
43.0,43,12.551213,43.0
40.0,40,12.586087,40.0
48.0,48,12.627393,39.0
78.0,78,12.694369,48.0
71.0,71,12.755516,71.0
77.0,77,12.822086,45.0
26.0,26,12.844494,26.0
32.0,32,12.872136,32.0
29.0,29,12.897191,23.0
79.0,79,12.965038,52.0
41.0,41,13.000118,41.0
29.0,29,13.025163,24.0
80.0,80,13.093635,37.0
41.0,41,13.12896,41.0
161.0,161,13.267493,100.0
19.0,19,13.283923,19.0
153.0,153,13.415346,73.0
45.0,45,13.454025,30.0
107.0,107,13.545594,40.0
44.0,44,13.583265,44.0
105.0,105,13.673093,50.0
44.0,44,13.711,44.0
27.0,27,13.734391,27.0
33.0,33,13.762883,33.0
94.0,94,13.843176,56.0
60.0,60,13.894606,30.0
18.0,18,13.910062,18.0
46.0,46,14.353148,46.0
153.0,153,14.48657,91.0
160.0,160,14.624607,36.0
26.0,26,14.647029,26.0
162.0,162,14.786338,74.0
80.0,80,14.854691,35.0
38.0,38,14.88722,29.0
15.0,15,14.900078,15.0
48.0,48,14.941371,48.0
54.0,54,14.988271,54.0
134.0,134,15.103402,130.0
57.0,57,15.152646,24.0
71.0,71,15.2136,35.0
109.0,109,15.307604,90.0
73.0,73,15.370497,73.0
85.0,85,15.443784,85.0
34.0,34,15.473394,34.0
29.0,29,15.498331,29.0
14.0,14,15.510347,14.0
66.0,66,15.566971,59.0
52.0,52,15.61144,28.0
23.0,23,15.631194,23.0
108.0,108,15.723863,75.0
34.0,34,15.753254,34.0
57.0,57,15.802961,57.0
198.0,198,15.973152,95.0
21.0,21,15.991186,21.0
28.0,28,16.015115,28.0
35.0,35,16.045213,35.0
73.0,73,16.511681,73.0
77.0,77,16.578546,68.0
160.0,160,16.716779,150.0
22.0,22,16.735816,20.0
22.0,22,16.754803,22.0
19.0,19,16.771246,19.0
66.0,66,16.827715,66.0
83.0,83,16.898758,68.0
85.0,85,16.972261,76.0
82.0,82,17.042691,30.0
78.0,78,17.10955,30.0
121.0,121,17.213373,106.0
60.0,60,17.264887,60.0
80.0,80,17.333276,72.0
33.0,33,17.361776,33.0
113.0,113,17.458544,113.0
94.0,94,17.539026,88.0
48.0,48,17.580031,24.0
27.0,27,17.60325,27.0
19.0,19,17.619513,19.0
67.0,67,17.677071,61.0
26.0,26,17.699615,20.0
156.0,156,17.834158,135.0
107.0,107,17.926406,85.0
34.0,34,17.95572,34.0
24.0,24,17.976581,15.0
85.0,85,18.049457,79.0
32.0,32,18.076811,29.0
55.0,55,18.124361,55.0
69.0,69,18.184259,69.0
95.0,95,18.671491,31.0
90.0,90,18.74962,66.0
70.0,70,18.809931,30.0
83.0,83,18.881596,71.0
150.0,150,19.010934,66.0
60.0,60,19.062653,59.0
90.0,90,19.140105,70.0
199.0,199,19.311023,158.0
76.0,76,19.376123,70.0
26.0,26,19.398499,26.0
80.0,80,19.46708,73.0
123.0,123,19.572548,113.0
195.0,195,19.739767,86.0
200.0,200,19.911772,143.0
83.0,83,19.983556,67.0
133.0,133,20.097675,68.0
32.0,32,20.125282,32.0
49.0,49,20.167561,49.0
76.0,76,20.232696,76.0
139.0,139,20.353176,56.0
200.0,200,20.936113,193.0
157.0,157,21.071186,103.0
124.0,124,21.177897,124.0
124.0,124,21.284337,25.0
200.0,200,21.456636,119.0
77.0,77,21.522927,29.0
157.0,157,21.657332,50.0
173.0,173,21.805853,114.0
200.0,200,21.979758,104.0
164.0,164,22.120524,38.0
96.0,96,22.202932,96.0
200.0,200,22.37468,97.0
85.0,85,22.453816,50.0
156.0,156,22.598682,66.0
173.0,173,23.148871,33.0
200.0,200,23.321253,200.0
195.0,195,23.48917,70.0
35.0,35,23.519234,23.0
116.0,116,23.619146,108.0
67.0,67,23.676848,67.0
101.0,101,23.763775,68.0
175.0,175,23.914045,131.0
200.0,200,24.086299,143.0
194.0,194,24.253597,59.0
200.0,200,24.43643,57.0
31.0,31,24.465173,31.0
38.0,38,24.499997,38.0
74.0,74,24.568381,67.0
181.0,181,24.735856,76.0
121.0,121,25.260607,112.0
200.0,200,25.433883,93.0
84.0,84,25.508845,77.0
181.0,181,25.673599,51.0
108.0,108,25.77135,82.0
129.0,129,25.888342,95.0
132.0,132,26.00803,72.0
200.0,200,26.189889,97.0
34.0,34,26.221194,34.0
112.0,112,26.322532,32.0
