#{"t_start": 1752830746.5580034, "env_id": "SafeCartPole-Arushi-v0"}
r,l,t,c
12.0,12,6.234386,12.0
23.0,23,6.253531,21.0
18.0,18,6.268686,18.0
30.0,30,6.293721,20.0
11.0,11,6.302977,11.0
40.0,40,6.337562,40.0
33.0,33,6.366885,30.0
30.0,30,6.393437,26.0
12.0,12,6.40409,9.0
13.0,13,6.415643,11.0
25.0,25,6.437843,25.0
26.0,26,6.460916,26.0
28.0,28,6.485717,28.0
22.0,22,6.505471,22.0
22.0,22,6.524971,22.0
14.0,14,6.537403,14.0
35.0,35,6.568432,35.0
44.0,44,6.607256,44.0
29.0,29,6.632804,29.0
11.0,11,6.64253,8.0
30.0,30,6.668961,21.0
66.0,66,6.727048,55.0
19.0,19,6.743783,19.0
14.0,14,6.756149,14.0
18.0,18,6.772067,18.0
19.0,19,6.788804,13.0
22.0,22,6.808167,22.0
10.0,10,6.817002,10.0
13.0,13,6.828402,11.0
38.0,38,6.861619,38.0
33.0,33,6.890386,25.0
22.0,22,6.909715,16.0
15.0,15,6.922906,11.0
21.0,21,6.941285,14.0
36.0,36,6.972904,36.0
15.0,15,6.986098,15.0
30.0,30,7.012236,30.0
9.0,9,7.020185,7.0
15.0,15,7.033305,13.0
24.0,24,7.054356,24.0
21.0,21,7.072721,21.0
50.0,50,7.116634,50.0
23.0,23,7.136332,23.0
14.0,14,7.148094,14.0
22.0,22,7.166558,15.0
31.0,31,7.192491,31.0
30.0,30,7.217512,30.0
17.0,17,7.23173,17.0
19.0,19,7.247594,19.0
20.0,20,7.264302,20.0
15.0,15,7.27682,15.0
14.0,14,7.28853,14.0
31.0,31,7.314587,30.0
22.0,22,7.332991,22.0
16.0,16,7.346366,15.0
77.0,77,7.841794,63.0
50.0,50,7.883532,50.0
18.0,18,7.898623,18.0
19.0,19,7.914503,19.0
30.0,30,7.93957,24.0
22.0,22,7.957897,22.0
20.0,20,7.974629,19.0
15.0,15,7.987165,15.0
30.0,30,8.012093,30.0
22.0,22,8.030445,22.0
22.0,22,8.048752,22.0
60.0,60,8.098581,48.0
40.0,40,8.132243,29.0
23.0,23,8.151634,20.0
16.0,16,8.165249,16.0
16.0,16,8.178736,14.0
13.0,13,8.189686,13.0
18.0,18,8.204775,11.0
22.0,22,8.22331,22.0
28.0,28,8.24703,22.0
14.0,14,8.258973,14.0
24.0,24,8.279486,24.0
13.0,13,8.290611,13.0
25.0,25,8.3116,25.0
22.0,22,8.330204,22.0
30.0,30,8.355432,24.0
10.0,10,8.364036,10.0
20.0,20,8.381448,20.0
23.0,23,8.400883,23.0
18.0,18,8.416072,16.0
21.0,21,8.433827,14.0
17.0,17,8.448187,17.0
20.0,20,8.46509,20.0
16.0,16,8.478642,13.0
56.0,56,8.525843,38.0
59.0,59,8.575708,48.0
39.0,39,8.608618,39.0
19.0,19,8.624661,19.0
15.0,15,8.637336,15.0
18.0,18,8.652538,18.0
12.0,12,8.662696,10.0
20.0,20,8.679591,19.0
19.0,19,8.695528,19.0
32.0,32,8.722391,24.0
14.0,14,8.734245,14.0
41.0,41,8.768839,41.0
29.0,29,8.794115,29.0
41.0,41,8.829937,34.0
21.0,21,8.848255,21.0
14.0,14,8.860518,10.0
12.0,12,8.871044,9.0
11.0,11,8.880667,11.0
18.0,18,8.8969,18.0
15.0,15,8.910127,14.0
10.0,10,8.918942,10.0
24.0,24,8.940114,24.0
16.0,16,8.954244,16.0
13.0,13,8.965704,13.0
12.0,12,8.976275,12.0
21.0,21,8.994755,21.0
23.0,23,9.014907,23.0
38.0,38,9.048108,38.0
10.0,10,9.056909,10.0
21.0,21,9.075305,20.0
25.0,25,9.097139,25.0
14.0,14,9.109448,14.0
36.0,36,9.141018,31.0
12.0,12,9.151617,10.0
18.0,18,9.167485,12.0
19.0,19,9.184134,19.0
46.0,46,9.224418,40.0
22.0,22,9.243676,16.0
34.0,34,9.273396,34.0
29.0,29,9.298743,29.0
25.0,25,9.320671,25.0
13.0,13,9.332134,10.0
16.0,16,9.346206,16.0
116.0,116,9.447491,112.0
18.0,18,9.463257,18.0
10.0,10,9.47204,9.0
35.0,35,9.502767,35.0
31.0,31,9.529968,24.0
23.0,23,9.986859,23.0
17.0,17,10.001161,17.0
35.0,35,10.030447,35.0
27.0,27,10.052986,27.0
36.0,36,10.083061,21.0
17.0,17,10.097279,16.0
18.0,18,10.112397,18.0
35.0,35,10.141597,35.0
24.0,24,10.161678,24.0
11.0,11,10.170959,8.0
21.0,21,10.188582,19.0
34.0,34,10.216957,34.0
45.0,45,10.254579,45.0
33.0,33,10.28214,21.0
12.0,12,10.292215,10.0
15.0,15,10.304779,15.0
14.0,14,10.316528,13.0
29.0,29,10.340784,29.0
17.0,17,10.355006,17.0
28.0,28,10.378471,28.0
42.0,42,10.41392,42.0
13.0,13,10.424954,9.0
42.0,42,10.460317,42.0
11.0,11,10.46963,11.0
54.0,54,10.515241,54.0
27.0,27,10.538036,25.0
16.0,16,10.551606,16.0
14.0,14,10.563438,14.0
17.0,17,10.577775,17.0
12.0,12,10.58791,11.0
32.0,32,10.614637,32.0
37.0,37,10.645657,32.0
21.0,21,10.663283,21.0
36.0,36,10.693548,36.0
22.0,22,10.711987,18.0
17.0,17,10.726309,16.0
16.0,16,10.739752,12.0
29.0,29,10.764033,29.0
71.0,71,10.826625,63.0
20.0,20,10.844243,19.0
17.0,17,10.859221,17.0
14.0,14,10.87159,14.0
20.0,20,10.889267,20.0
11.0,11,10.898998,11.0
29.0,29,10.924655,29.0
32.0,32,10.952902,32.0
16.0,16,10.967083,16.0
20.0,20,10.98471,20.0
62.0,62,11.039211,43.0
82.0,82,11.111379,82.0
14.0,14,11.123772,14.0
14.0,14,11.137655,14.0
25.0,25,11.158663,25.0
32.0,32,11.185658,32.0
19.0,19,11.201705,19.0
15.0,15,11.214387,14.0
14.0,14,11.226123,12.0
15.0,15,11.238735,7.0
46.0,46,11.27731,46.0
27.0,27,11.300005,22.0
11.0,11,11.309255,11.0
35.0,35,11.338808,35.0
42.0,42,11.374044,42.0
8.0,8,11.380792,8.0
45.0,45,11.418504,43.0
55.0,55,11.464677,45.0
19.0,19,11.480639,18.0
16.0,16,11.494192,11.0
19.0,19,11.510247,19.0
9.0,9,11.517852,9.0
32.0,32,11.544721,32.0
24.0,24,11.564914,21.0
22.0,22,11.583429,22.0
41.0,41,11.617749,41.0
29.0,29,11.642073,29.0
51.0,51,11.684847,33.0
25.0,25,11.70586,25.0
15.0,15,12.151067,11.0
37.0,37,12.182383,37.0
17.0,17,12.196708,17.0
11.0,11,12.205981,10.0
57.0,57,12.253564,57.0
14.0,14,12.265287,12.0
25.0,25,12.286206,25.0
54.0,54,12.331402,54.0
11.0,11,12.340619,9.0
26.0,26,12.362326,26.0
23.0,23,12.381589,23.0
57.0,57,12.429271,57.0
47.0,47,12.469514,47.0
12.0,12,12.47974,11.0
12.0,12,12.489924,12.0
24.0,24,12.510202,24.0
20.0,20,12.527085,20.0
13.0,13,12.53811,9.0
63.0,63,12.591314,55.0
42.0,42,12.626816,42.0
45.0,45,12.66482,33.0
16.0,16,12.678366,16.0
23.0,23,12.697951,20.0
20.0,20,12.714892,20.0
12.0,12,12.725061,10.0
20.0,20,12.742009,20.0
14.0,14,12.75388,14.0
19.0,19,12.770008,19.0
57.0,57,12.818138,53.0
15.0,15,12.830846,15.0
13.0,13,12.841878,13.0
14.0,14,12.853715,14.0
25.0,25,12.874799,25.0
33.0,33,12.902916,33.0
15.0,15,12.915651,15.0
11.0,11,12.925001,11.0
18.0,18,12.940234,18.0
31.0,31,12.966451,31.0
38.0,38,12.998584,23.0
33.0,33,13.02648,26.0
31.0,31,13.052675,31.0
30.0,30,13.078046,30.0
28.0,28,13.101712,25.0
14.0,14,13.113596,14.0
14.0,14,13.125468,14.0
12.0,12,13.135658,9.0
12.0,12,13.145925,11.0
9.0,9,13.153583,9.0
13.0,13,13.164619,13.0
62.0,62,13.217008,42.0
12.0,12,13.227207,12.0
25.0,25,13.248343,25.0
24.0,24,13.268673,24.0
15.0,15,13.281772,15.0
11.0,11,13.291463,9.0
34.0,34,13.321256,21.0
29.0,29,13.346651,29.0
20.0,20,13.364201,20.0
34.0,34,13.394019,34.0
17.0,17,13.40893,17.0
27.0,27,13.432711,27.0
52.0,52,13.47864,27.0
25.0,25,13.500603,25.0
15.0,15,13.513782,15.0
32.0,32,13.541181,32.0
17.0,17,13.555593,17.0
45.0,45,13.593594,34.0
10.0,10,13.602068,8.0
14.0,14,13.613944,14.0
99.0,99,13.697577,68.0
36.0,36,13.728038,36.0
29.0,29,13.752569,29.0
18.0,18,13.767824,18.0
17.0,17,13.782243,10.0
11.0,11,13.791582,11.0
14.0,14,13.803465,13.0
45.0,45,13.841464,42.0
15.0,15,13.854199,15.0
38.0,38,13.88615,38.0
36.0,36,14.347866,36.0
11.0,11,14.357096,8.0
14.0,14,14.368796,14.0
15.0,15,14.381316,15.0
12.0,12,14.391404,12.0
58.0,58,14.439674,58.0
24.0,24,14.45965,16.0
61.0,61,14.511454,58.0
37.0,37,14.543082,37.0
28.0,28,14.56681,25.0
50.0,50,14.609085,50.0
24.0,24,14.629387,24.0
28.0,28,14.653043,28.0
24.0,24,14.673313,24.0
28.0,28,14.696993,28.0
24.0,24,14.717277,19.0
19.0,19,14.733361,14.0
36.0,36,14.763766,34.0
14.0,14,14.775768,14.0
13.0,13,14.786814,13.0
23.0,23,14.806324,23.0
21.0,21,14.824078,21.0
93.0,93,14.902445,93.0
13.0,13,14.913416,11.0
38.0,38,14.945445,38.0
12.0,12,14.955622,12.0
18.0,18,14.970828,17.0
44.0,44,15.007904,44.0
37.0,37,15.039185,29.0
19.0,19,15.055166,19.0
21.0,21,15.072856,17.0
70.0,70,15.13154,70.0
12.0,12,15.141635,11.0
62.0,62,15.193331,53.0
92.0,92,15.270033,77.0
26.0,26,15.292074,26.0
30.0,30,15.317902,30.0
22.0,22,15.336494,11.0
27.0,27,15.359225,21.0
19.0,19,15.37523,19.0
19.0,19,15.391253,19.0
34.0,34,15.419879,34.0
22.0,22,15.438365,22.0
38.0,38,15.470148,38.0
36.0,36,15.500321,33.0
37.0,37,15.531325,37.0
12.0,12,15.541439,10.0
23.0,23,15.560937,23.0
47.0,47,15.600549,47.0
14.0,14,15.612358,14.0
44.0,44,15.649258,44.0
15.0,15,15.661795,11.0
18.0,18,15.676894,18.0
32.0,32,15.703701,23.0
29.0,29,15.727883,29.0
23.0,23,15.74714,20.0
21.0,21,15.764771,21.0
14.0,14,15.776529,12.0
18.0,18,15.791613,18.0
25.0,25,15.812622,25.0
31.0,31,15.838713,25.0
14.0,14,15.850456,14.0
18.0,18,15.865561,18.0
17.0,17,15.879873,17.0
29.0,29,15.904153,29.0
15.0,15,15.916764,15.0
9.0,9,15.924352,8.0
12.0,12,15.934448,10.0
45.0,45,15.972019,45.0
22.0,22,15.990525,13.0
29.0,29,16.014712,29.0
26.0,26,16.036423,20.0
44.0,44,16.506098,28.0
31.0,31,16.532183,31.0
49.0,49,16.573968,49.0
31.0,31,16.600132,31.0
13.0,13,16.611139,13.0
21.0,21,16.628853,21.0
24.0,24,16.64913,24.0
43.0,43,16.685346,43.0
12.0,12,16.695539,8.0
78.0,78,16.761038,67.0
24.0,24,16.781296,24.0
51.0,51,16.823992,28.0
37.0,37,16.854841,37.0
24.0,24,16.874877,24.0
39.0,39,16.907575,24.0
45.0,45,16.945268,33.0
88.0,88,17.019193,82.0
40.0,40,17.052773,37.0
20.0,20,17.069625,16.0
29.0,29,17.094033,29.0
27.0,27,17.116639,27.0
40.0,40,17.150068,40.0
88.0,88,17.223493,75.0
76.0,76,17.286877,32.0
14.0,14,17.2987,14.0
32.0,32,17.325935,32.0
14.0,14,17.337787,14.0
22.0,22,17.356392,22.0
17.0,17,17.370797,17.0
42.0,42,17.406062,42.0
94.0,94,17.484512,94.0
31.0,31,17.510516,31.0
69.0,69,17.568239,59.0
40.0,40,17.601866,31.0
35.0,35,17.631083,28.0
45.0,45,17.668707,45.0
74.0,74,17.731269,74.0
12.0,12,17.741405,12.0
23.0,23,17.760701,23.0
19.0,19,17.776644,19.0
27.0,27,17.799405,27.0
28.0,28,17.822967,28.0
17.0,17,17.837325,11.0
17.0,17,17.851721,11.0
57.0,57,17.89948,52.0
35.0,35,17.92877,35.0
16.0,16,17.942226,16.0
48.0,48,17.982602,35.0
38.0,38,18.014548,29.0
69.0,69,18.072235,69.0
24.0,24,18.092318,24.0
25.0,25,18.113395,25.0
9.0,9,18.120973,9.0
31.0,31,18.146982,19.0
16.0,16,18.160433,16.0
13.0,13,18.171348,13.0
53.0,53,18.655967,49.0
15.0,15,18.668731,15.0
87.0,87,18.742168,61.0
67.0,67,18.800324,36.0
49.0,49,18.843746,49.0
26.0,26,18.866817,26.0
34.0,34,18.896928,34.0
70.0,70,18.958733,70.0
41.0,41,18.994786,41.0
36.0,36,19.026403,36.0
19.0,19,19.043276,19.0
16.0,16,19.057501,10.0
24.0,24,19.078792,24.0
39.0,39,19.113317,30.0
41.0,41,19.149643,41.0
45.0,45,19.189712,45.0
36.0,36,19.221639,30.0
47.0,47,19.263183,47.0
20.0,20,19.280838,20.0
50.0,50,19.325406,41.0
82.0,82,19.397974,60.0
58.0,58,19.44945,58.0
36.0,36,19.481457,33.0
25.0,25,19.503627,25.0
24.0,24,19.524905,24.0
25.0,25,19.547078,9.0
27.0,27,19.570999,27.0
29.0,29,19.596591,29.0
57.0,57,19.646832,57.0
14.0,14,19.659215,14.0
36.0,36,19.690885,36.0
22.0,22,19.710184,22.0
17.0,17,19.725137,9.0
14.0,14,19.737543,14.0
76.0,76,19.80395,65.0
31.0,31,19.831171,31.0
14.0,14,19.843451,14.0
29.0,29,19.868955,29.0
36.0,36,19.900475,36.0
14.0,14,19.91276,14.0
13.0,13,19.924171,13.0
24.0,24,19.945278,24.0
12.0,12,19.955823,12.0
38.0,38,19.987652,38.0
44.0,44,20.024294,44.0
28.0,28,20.047639,28.0
12.0,12,20.05769,12.0
38.0,38,20.089411,38.0
26.0,26,20.111265,26.0
15.0,15,20.123867,15.0
12.0,12,20.133969,12.0
73.0,73,20.194842,60.0
50.0,50,20.236695,50.0
50.0,50,20.278388,50.0
30.0,30,20.303587,30.0
34.0,34,20.332569,34.0
22.0,22,20.35115,22.0
31.0,31,20.377298,31.0
12.0,12,20.38751,12.0
38.0,38,20.856822,38.0
112.0,112,20.952009,96.0
71.0,71,21.012016,71.0
22.0,22,21.030635,19.0
19.0,19,21.046728,17.0
28.0,28,21.070407,22.0
21.0,21,21.088154,21.0
28.0,28,21.111835,28.0
44.0,44,21.149057,44.0
38.0,38,21.181179,38.0
39.0,39,21.21414,39.0
42.0,42,21.249624,42.0
35.0,35,21.279343,35.0
18.0,18,21.294409,13.0
40.0,40,21.327974,40.0
16.0,16,21.34152,16.0
30.0,30,21.366782,30.0
29.0,29,21.391208,29.0
34.0,34,21.419848,34.0
42.0,42,21.454965,38.0
45.0,45,21.492543,37.0
84.0,84,21.562864,51.0
51.0,51,21.605772,51.0
62.0,62,21.657651,62.0
85.0,85,21.7291,85.0
45.0,45,21.766781,38.0
22.0,22,21.78518,22.0
40.0,40,21.818653,30.0
89.0,89,21.893099,89.0
55.0,55,21.93939,55.0
33.0,33,21.967036,33.0
35.0,35,21.99648,35.0
45.0,45,22.03407,39.0
29.0,29,22.058325,29.0
59.0,59,22.107499,59.0
33.0,33,22.135084,27.0
73.0,73,22.195933,64.0
33.0,33,22.223683,33.0
17.0,17,22.238438,16.0
48.0,48,22.278951,48.0
25.0,25,22.300074,25.0
15.0,15,22.312739,15.0
62.0,62,22.364572,62.0
40.0,40,22.397945,40.0
33.0,33,22.425575,33.0
28.0,28,22.448977,28.0
51.0,51,22.491861,44.0
92.0,92,22.569323,49.0
17.0,17,23.024917,17.0
58.0,58,23.073301,40.0
51.0,51,23.115836,51.0
37.0,37,23.146769,37.0
89.0,89,23.220759,83.0
19.0,19,23.236682,19.0
36.0,36,23.266912,36.0
52.0,52,23.312381,52.0
81.0,81,23.384109,50.0
91.0,91,23.464414,91.0
18.0,18,23.480344,15.0
60.0,60,23.533354,45.0
16.0,16,23.547471,16.0
22.0,22,23.566862,17.0
51.0,51,23.611483,51.0
32.0,32,23.639437,32.0
83.0,83,23.712704,81.0
52.0,52,23.758337,52.0
94.0,94,23.841513,84.0
45.0,45,23.880856,45.0
38.0,38,23.914208,25.0
42.0,42,23.950958,42.0
66.0,66,24.008682,66.0
55.0,55,24.056947,55.0
41.0,41,24.092926,41.0
21.0,21,24.111342,14.0
44.0,44,24.149838,44.0
60.0,60,24.202403,60.0
19.0,19,24.219056,19.0
37.0,37,24.251556,37.0
69.0,69,24.312112,69.0
36.0,36,24.343934,36.0
54.0,54,24.391423,54.0
22.0,22,24.410819,22.0
10.0,10,24.419618,10.0
18.0,18,24.435378,18.0
32.0,32,24.463423,32.0
71.0,71,24.52445,71.0
20.0,20,24.541195,20.0
14.0,14,24.552953,14.0
38.0,38,24.584743,38.0
24.0,24,24.604925,24.0
15.0,15,24.617489,12.0
127.0,127,24.724107,102.0
65.0,65,24.779214,65.0
45.0,45,25.252445,45.0
116.0,116,25.348934,59.0
20.0,20,25.365642,14.0
50.0,50,25.407412,50.0
84.0,84,25.477368,73.0
36.0,36,25.507477,36.0
76.0,76,25.570951,76.0
22.0,22,25.589355,22.0
41.0,41,25.623556,36.0
112.0,112,25.717282,101.0
140.0,140,25.833998,128.0
32.0,32,25.860815,32.0
75.0,75,25.923345,50.0
34.0,34,25.951661,34.0
26.0,26,25.973348,26.0
66.0,66,26.028349,46.0
26.0,26,26.050018,26.0
18.0,18,26.065022,12.0
14.0,14,26.076728,14.0
44.0,44,26.113379,31.0
49.0,49,26.154311,49.0
45.0,45,26.19177,45.0
33.0,33,26.219242,33.0
40.0,40,26.252586,40.0
75.0,75,26.31496,64.0
17.0,17,26.329263,17.0
35.0,35,26.358535,35.0
58.0,58,26.406831,58.0
32.0,32,26.433445,18.0
29.0,29,26.457724,29.0
21.0,21,26.475307,21.0
60.0,60,26.525347,60.0
49.0,49,26.566204,35.0
102.0,102,26.651124,91.0
57.0,57,26.698581,57.0
15.0,15,26.711129,13.0
63.0,63,26.763896,37.0
31.0,31,26.790406,31.0
33.0,33,26.818349,33.0
57.0,57,26.86664,23.0
22.0,22,26.885222,22.0
41.0,41,26.919818,41.0
39.0,39,27.390446,27.0
42.0,42,27.425619,42.0
23.0,23,27.444914,23.0
42.0,42,27.479991,42.0
71.0,71,27.539761,71.0
64.0,64,27.593381,39.0
31.0,31,27.619291,31.0
34.0,34,27.647682,34.0
20.0,20,27.664363,20.0
108.0,108,27.756044,108.0
85.0,85,27.827471,71.0
26.0,26,27.849417,26.0
27.0,27,27.872233,27.0
28.0,28,27.895861,28.0
39.0,39,27.928664,39.0
14.0,14,27.940429,14.0
46.0,46,27.978878,46.0
76.0,76,28.042533,76.0
40.0,40,28.075898,40.0
28.0,28,28.099744,28.0
101.0,101,28.184377,100.0
34.0,34,28.212806,34.0
62.0,62,28.264658,43.0
49.0,49,28.306206,44.0
59.0,59,28.356176,59.0
36.0,36,28.386609,36.0
26.0,26,28.408575,26.0
33.0,33,28.436444,33.0
50.0,50,28.478676,50.0
86.0,86,28.550779,74.0
59.0,59,28.600156,59.0
57.0,57,28.647909,57.0
29.0,29,28.672195,29.0
120.0,120,28.772248,120.0
42.0,42,28.807803,37.0
39.0,39,28.840966,39.0
90.0,90,28.917782,84.0
29.0,29,28.94228,29.0
37.0,37,28.973516,37.0
28.0,28,28.997167,28.0
92.0,92,29.074672,83.0
39.0,39,29.542089,39.0
77.0,77,29.606513,71.0
99.0,99,29.688879,85.0
50.0,50,29.730798,50.0
77.0,77,29.79491,67.0
73.0,73,29.855917,55.0
42.0,42,29.891073,42.0
37.0,37,29.921981,37.0
72.0,72,29.981942,63.0
42.0,42,30.016846,39.0
25.0,25,30.037662,25.0
51.0,51,30.080103,25.0
136.0,136,30.193696,119.0
77.0,77,30.257982,64.0
41.0,41,30.292189,41.0
17.0,17,30.306395,12.0
47.0,47,30.34559,47.0
51.0,51,30.388052,46.0
49.0,49,30.42902,49.0
171.0,171,30.571753,82.0
48.0,48,30.611847,48.0
100.0,100,30.69518,54.0
86.0,86,30.766847,62.0
32.0,32,30.794412,32.0
77.0,77,30.861651,77.0
163.0,163,31.004824,152.0
45.0,45,31.044033,28.0
36.0,36,31.075263,36.0
110.0,110,31.168041,78.0
65.0,65,31.22266,65.0
75.0,75,31.721032,67.0
87.0,87,31.793647,87.0
36.0,36,31.823718,36.0
55.0,55,31.86986,55.0
42.0,42,31.905004,42.0
31.0,31,31.930988,27.0
103.0,103,32.017146,84.0
74.0,74,32.079032,56.0
151.0,151,32.205608,96.0
101.0,101,32.289777,85.0
87.0,87,32.36239,71.0
139.0,139,32.47848,139.0
21.0,21,32.496091,21.0
33.0,33,32.523662,32.0
27.0,27,32.546173,27.0
24.0,24,32.566225,24.0
43.0,43,32.602304,43.0
60.0,60,32.652308,53.0
79.0,79,32.718107,46.0
121.0,121,32.821642,99.0
164.0,164,32.966611,149.0
21.0,21,32.98526,21.0
13.0,13,32.996807,13.0
72.0,72,33.060476,54.0
46.0,46,33.101396,46.0
79.0,79,33.171959,67.0
19.0,19,33.189003,19.0
64.0,64,33.246102,46.0
36.0,36,33.278332,36.0
28.0,28,33.303564,28.0
