#{"t_start": 1752533359.5822372, "env_id": "SafeCartPole-v0"}
r,l,t,c
14.0,14,0.018725,0.0
20.0,20,0.036463,0.0
22.0,22,0.055945,0.0
12.0,12,0.066607,0.0
11.0,11,0.076382,0.0
29.0,29,0.102009,0.0
10.0,10,0.110921,0.0
10.0,10,0.119848,0.0
13.0,13,0.131403,0.0
13.0,13,0.142931,0.0
35.0,35,0.173839,0.0
13.0,13,0.185425,0.0
11.0,11,0.195217,0.0
14.0,14,0.207583,0.0
40.0,40,0.242996,0.0
14.0,14,0.255411,0.0
15.0,15,0.268676,0.0
13.0,13,0.280367,0.0
16.0,16,0.294712,0.0
34.0,34,0.32481,0.0
26.0,26,0.347708,0.0
12.0,12,0.358305,0.0
39.0,39,0.392635,0.0
27.0,27,0.416418,0.0
21.0,21,0.434939,0.0
14.0,14,0.447408,0.0
21.0,21,0.46592,0.0
22.0,22,0.485322,0.0
14.0,14,0.497728,0.0
18.0,18,0.513618,0.0
20.0,20,0.531266,0.0
23.0,23,0.551516,0.0
12.0,12,0.56212,0.0
35.0,35,0.592877,0.0
26.0,26,0.615633,0.0
19.0,19,0.632148,0.0
20.0,20,0.649579,0.0
12.0,12,0.660082,0.0
16.0,16,0.674251,0.0
27.0,27,0.699167,0.0
10.0,10,0.710747,0.0
74.0,74,0.786283,0.0
11.0,11,0.796486,0.0
14.0,14,0.809291,0.0
14.0,14,0.822147,0.0
28.0,28,0.847751,0.0
26.0,26,0.871533,0.0
13.0,13,0.883471,0.0
32.0,32,0.912774,0.0
31.0,31,0.940945,0.0
14.0,14,0.953712,0.0
25.0,25,0.976457,0.0
12.0,12,0.987415,0.0
26.0,26,1.011083,0.0
39.0,39,1.046592,0.0
21.0,21,1.065748,0.0
14.0,14,1.078523,0.0
46.0,46,1.120512,0.0
12.0,12,1.131484,0.0
13.0,13,1.143369,0.0
24.0,24,1.164644,0.0
13.0,13,1.176148,0.0
34.0,34,1.205946,0.0
17.0,17,1.220782,0.0
54.0,54,1.267961,0.0
13.0,13,1.279597,0.0
18.0,18,1.29574,0.0
15.0,15,1.309386,0.0
35.0,35,1.340852,0.0
20.0,20,1.358819,0.0
12.0,12,1.369633,0.0
39.0,39,1.404701,0.0
37.0,37,1.43792,0.0
47.0,47,1.480523,0.0
33.0,33,1.510485,0.0
16.0,16,1.525195,0.0
19.0,19,1.54259,0.0
13.0,13,1.554477,0.0
17.0,17,1.569992,0.0
24.0,24,1.591804,0.0
12.0,12,1.602454,0.0
17.0,17,1.617459,0.0
43.0,43,1.655307,0.0
19.0,19,1.672058,0.0
18.0,18,1.687896,0.0
23.0,23,1.708099,0.0
28.0,28,1.732677,0.0
20.0,20,1.750381,0.0
25.0,25,1.772204,0.0
34.0,34,1.801681,0.0
9.0,9,1.809523,0.0
31.0,31,1.836494,0.0
19.0,19,2.257875,0.0
20.0,20,2.275802,0.0
18.0,18,2.292088,0.0
16.0,16,2.30671,0.0
50.0,50,2.352793,0.0
12.0,12,2.363778,0.0
11.0,11,2.373858,0.0
