#{"t_start": 1752532342.491884, "env_id": "SafeCartPole-v0"}
r,l,t,c
46.0,46,1.236849,0.0
37.0,37,1.269484,0.0
20.0,20,1.287081,0.0
15.0,15,1.300284,0.0
21.0,21,1.318808,0.0
61.0,61,1.37225,0.0
19.0,19,1.388864,0.0
19.0,19,1.405403,0.0
14.0,14,1.417533,0.0
19.0,19,1.434003,0.0
17.0,17,1.448865,0.0
33.0,33,1.477739,0.0
61.0,61,1.531041,0.0
11.0,11,1.540728,0.0
23.0,23,1.560924,0.0
22.0,22,1.58007,0.0
17.0,17,1.59488,0.0
9.0,9,1.60277,0.0
32.0,32,1.63051,0.0
23.0,23,1.650504,0.0
27.0,27,1.673977,0.0
15.0,15,1.687091,0.0
48.0,48,1.728668,0.0
21.0,21,1.746907,0.0
9.0,9,1.754764,0.0
17.0,17,1.769889,0.0
22.0,22,1.789032,0.0
59.0,59,1.840312,0.0
10.0,10,1.849052,0.0
12.0,12,1.859553,0.0
20.0,20,1.876979,0.0
15.0,15,1.8901,0.0
12.0,12,1.90058,0.0
29.0,29,1.925848,0.0
37.0,37,1.957911,0.0
14.0,14,1.970131,0.0
15.0,15,1.983196,0.0
33.0,33,2.011753,0.0
12.0,12,2.0222,0.0
41.0,41,2.057993,0.0
32.0,32,2.086116,0.0
9.0,9,2.09409,0.0
20.0,20,2.111618,0.0
27.0,27,2.135218,0.0
27.0,27,2.158827,0.0
67.0,67,2.217241,0.0
21.0,21,2.235582,0.0
29.0,29,2.26097,0.0
10.0,10,2.269707,0.0
49.0,49,2.312322,0.0
18.0,18,2.327971,0.0
14.0,14,2.340212,0.0
35.0,35,2.370589,0.0
14.0,14,2.382762,0.0
13.0,13,2.39408,0.0
19.0,19,2.41042,0.0
19.0,19,2.426897,0.0
18.0,18,2.442514,0.0
14.0,14,2.45466,0.0
17.0,17,2.469369,0.0
13.0,13,2.480648,0.0
23.0,23,2.500582,0.0
13.0,13,2.511857,0.0
11.0,11,2.52144,0.0
36.0,36,2.552605,0.0
20.0,20,2.570164,0.0
