time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
1,2,1024,400,,,,,,,,,,,,,,,,
2,4,2048,445,0.024134619161486626,-1.7900779843330383,0.41773663461208344,0.011474609375,4,0.09997952,0.0018789298,-0.0019057723111473024,0.0002499488,-0.034090280532836914,,,,,,
3,5,3072,548,0.036694496870040894,-1.7899145781993866,0.12629129039123654,0.0,8,0.09995904,0.00015078316,3.6200450267642736e-05,0.0002498976,0.004878878593444824,,,,,,
4,6,4096,619,0.03260534256696701,-1.785428985953331,0.11883938917890191,0.01708984375,12,0.09993856000000001,0.0021723688,-0.001618564041564241,0.0002498464,0.004998266696929932,,,,,,
5,7,5120,672,0.05079212039709091,-1.777134194970131,0.13571423944085836,0.035888671875,16,0.09991808,0.0018159393,-0.001393566228216514,0.0002497952,0.00926119089126587,,,,,,
6,8,6144,712,0.03812464699149132,-1.7722647041082382,0.12147465907037258,0.020751953125,20,0.0998976,0.001439249,-0.0015774736530147493,0.000249744,0.01447904109954834,,,,,,
7,9,7168,743,0.03460526466369629,-1.7782487720251083,0.11058062314987183,0.07177734375,24,0.09987712,0.0025294821,-0.002324535307707265,0.0002496928,0.008049964904785156,-21.0,3468.0,,,,
8,10,8192,766,0.033659953624010086,-1.780688613653183,0.11990111041814089,0.1015625,28,0.09985664,0.00233134,-0.001985783805139363,0.0002496416,0.0012453794479370117,-20.5,3749.3333333333335,,,,
9,11,9216,787,0.03612632304430008,-1.784000150859356,0.10824017785489559,0.0,32,0.09983616000000001,0.0004506883,-0.00035209814086556435,0.0002495904,0.01795196533203125,-20.375,3878.625,,,,
10,12,10240,805,0.02660023607313633,-1.7838189899921417,0.0971461427398026,0.0,36,0.09981568,0.00076535175,-0.0007753981626592577,0.00024953919999999997,0.040531933307647705,-20.375,3878.625,,,,
11,13,11264,821,0.029867883771657944,-1.7806379869580269,0.10333211487159133,0.0,40,0.0997952,0.0004864614,0.00017647998174652457,0.00024948799999999997,0.04801523685455322,-20.375,3878.625,,,,
12,14,12288,834,0.042404450476169586,-1.7809398770332336,0.11002640891820192,0.0,44,0.09977472,0.00069730217,-0.00045782665256410837,0.0002494368,0.04900628328323364,-20.375,3878.625,,,,
13,15,13312,846,0.03449670225381851,-1.778198167681694,0.10836925450712442,0.0,48,0.09975424000000001,0.0009835707,-0.0007692009676247835,0.0002493856,0.06354451179504395,-20.444444444444443,3814.777777777778,,,,
14,16,14336,855,0.04085088521242142,-1.7809693217277527,0.12976213777437806,0.0,52,0.09973376,0.0011464853,-0.0011450615129433572,0.0002493344,0.09182018041610718,-20.454545454545453,3742.181818181818,,,,
15,17,15360,863,0.01830696128308773,-1.779841661453247,0.11254174774512649,0.0361328125,56,0.09971328000000002,0.002078643,-0.0010928829433396459,0.0002492832,0.1285938024520874,-20.46153846153846,3677.769230769231,,,,
16,18,16384,871,0.04746000096201897,-1.7749849036335945,0.13472444424405694,0.0361328125,60,0.09969280000000001,0.0013035306,-0.0016680730623193085,0.000249232,0.09484773874282837,-20.4,3709.133333333333,,,,
17,19,17408,878,0.026864781975746155,-1.7720008939504623,0.09951135469600558,0.006591796875,64,0.09967232000000001,0.0021688892,-0.002233116771094501,0.0002491808,0.14571475982666016,-20.4,3709.133333333333,,,,
18,20,18432,885,0.018202204257249832,-1.7627823799848557,0.07441560924053192,0.04052734375,68,0.09965184,0.0013548434,-0.0012489191722124815,0.0002491296,0.261369526386261,-20.25,3772.9375,,,,
19,21,19456,891,0.008551353588700294,-1.7718345746397972,0.07405602466315031,0.0,72,0.09963136,0.0012837943,-0.0011372181179467589,0.0002490784,0.2797563672065735,-20.25,3772.9375,,,,
20,22,20480,896,0.01444004476070404,-1.775616928935051,0.06979918177239597,0.0,76,0.09961088000000001,0.0010898699,-0.0007442805217579007,0.0002490272,0.34633708000183105,-20.25,3772.9375,,,,
21,23,21504,900,0.018831102177500725,-1.7539028748869896,0.05698961531743407,0.06787109375,80,0.09959040000000001,0.0020587007,-0.0014724517823196948,0.000248976,0.44375288486480713,-20.25,3727.45,,,,
22,24,22528,904,0.028013866394758224,-1.7418943867087364,0.1077344617806375,0.1572265625,84,0.09956992,0.0023972397,-0.004725395934656262,0.00024892480000000003,0.11798560619354248,-20.318181818181817,3698.590909090909,,,,
23,25,23552,908,0.021804558113217354,-1.7167362570762634,0.10531957587227225,0.036865234375,88,0.09954944,0.0015576868,-0.0016982843226287514,0.00024887360000000003,0.16882836818695068,-20.318181818181817,3698.590909090909,,,,
24,26,24576,912,0.025005090981721878,-1.7187661677598953,0.1040596030652523,0.088623046875,92,0.09952896,0.003610682,-0.0007661139825358987,0.0002488224,0.16192662715911865,-20.318181818181817,3698.590909090909,,,,
,,25000,,0.022277286276221275,-1.7153171300888062,0.08903567958623171,0.045654296875,96,0.09950848000000001,0.0021265822,-0.0008983112638816237,0.0002487712,0.3440335988998413,,,3056.0,-666.476,-21.0,3056.0
25,40,25600,630,,,,,,,,,,,-20.26086956521739,3739.478260869565,,,,
26,41,26624,639,0.01302073523402214,-1.7256220877170563,0.0731794354505837,0.138427734375,100,0.09948800000000001,0.003111899,-0.0022580326767638326,0.00024872,0.46407991647720337,-20.208333333333332,3767.625,,,,
27,42,27648,648,0.013203535228967667,-1.7132492288947105,0.08216373692266643,0.0390625,104,0.09946752,0.0020963647,-0.0003907161299139261,0.0002486688,0.524034857749939,-20.2,3751.6,,,,
28,43,28672,656,0.024913830682635307,-1.725296176970005,0.08783045085147023,0.111328125,108,0.09944704,0.0021158531,-0.002758803719189018,0.0002486176,0.41020315885543823,-20.285714285714285,3724.6428571428573,,,,
29,44,29696,664,0.01682278886437416,-1.70677200704813,0.08233852172270417,0.135986328125,112,0.09942656,0.002562344,-0.001874455250799656,0.0002485664,0.480673611164093,-20.275862068965516,3728.310344827586,,,,
30,45,30720,672,0.01811651885509491,-1.7088782861828804,0.0793212023563683,0.025146484375,116,0.09940608000000001,0.0015377603,-0.0015262884553521872,0.0002485152,0.4518764019012451,-20.3,3733.9666666666667,,,,
31,46,31744,679,0.007276192307472229,-1.667400874197483,0.0692887653131038,0.138916015625,120,0.0993856,0.003924319,-0.0031124013185035437,0.000248464,0.48024338483810425,-20.3,3733.9666666666667,,,,
32,47,32768,686,0.032689377665519714,-1.6786714121699333,0.1000414309091866,0.00146484375,124,0.09936512,0.0017483395,-0.00013099442003294826,0.0002484128,0.38949495553970337,-20.322580645161292,3731.1935483870966,,,,
33,48,33792,693,0.009600646793842316,-1.7107542306184769,0.07879429846070707,0.14013671875,128,0.09934464,0.0024120933,-0.003405511670280248,0.0002483616,0.5175644755363464,-20.322580645161292,3731.1935483870966,,,,
34,49,34816,700,0.031424492597579956,-1.6971276924014091,0.09621528955176473,0.130859375,132,0.09932416,0.002436993,-0.0016730190836824477,0.0002483104,0.4553223252296448,-20.363636363636363,3712.818181818182,,,,
35,50,35840,706,0.01345825381577015,-1.6805976778268814,0.08541175303980708,0.119140625,136,0.09930368,0.00045184855,-0.003953451756387949,0.00024825920000000004,0.4688222408294678,-20.37142857142857,3707.714285714286,,,,
36,51,36864,711,0.008388441056013107,-1.6580879390239716,0.07935412088409066,0.103759765625,140,0.09928320000000002,0.0014963883,-0.001930233440361917,0.00024820800000000003,0.7249499559402466,-20.31578947368421,3728.0526315789475,,,,
37,52,37888,717,0.006428351625800133,-1.6520511135458946,0.06442460045218468,0.0,144,0.09926272000000001,0.0006811811,-0.0002610950614325702,0.00024815680000000003,0.8131479024887085,-20.31578947368421,3728.0526315789475,,,,
38,53,38912,723,0.011258697137236595,-1.6674853637814522,0.069540940457955,0.039306640625,148,0.09924224000000001,0.0023676897,-0.0014103443827480078,0.0002481056,0.47534286975860596,-20.31578947368421,3728.0526315789475,,,,
39,54,39936,728,0.017711354419589043,-1.6825558990240097,0.06585293472744524,0.050048828125,152,0.09922176,0.0033451014,-4.175791400484741e-05,0.0002480544,0.6685388088226318,-20.333333333333332,3716.974358974359,,,,
40,55,40960,733,0.027710311114788055,-1.728502869606018,0.10123087954707444,0.026611328125,156,0.09920128,0.0017208823,-0.0008008271688595414,0.0002480032,0.3821820020675659,-20.333333333333332,3716.974358974359,,,,
41,56,41984,738,0.008320700377225876,-1.7279118746519089,0.051868113689124584,0.0634765625,160,0.09918080000000001,0.0024903875,-0.0021981125173624605,0.000247952,0.543106734752655,-20.333333333333332,3716.974358974359,,,,
42,57,43008,742,0.011783333495259285,-1.7399538159370422,0.07563386438414454,0.086181640625,164,0.09916032000000001,0.0022875518,-0.001890410581836477,0.0002479008,0.4619055390357971,-20.38095238095238,3724.0476190476193,,,,
43,58,44032,747,0.020467618480324745,-1.7378204613924026,0.08629575045779347,0.02197265625,168,0.09913984,0.0020905738,-0.0012482738529797643,0.0002478496,0.5687161684036255,-20.4,3717.5333333333333,,,,
