time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
1024,169,6,1,,,,,,,,,,,,,,,,
2048,248,8,2,50.30735540390015,0.0002499488,0.0023944941,4,0.260009765625,20.08292007446289,4.8220157623291016e-05,0.09997952,-1.787764236330986,-0.0019202969269827008,,,,,,
3072,326,9,3,43.991334438323975,0.0002498976,0.0025705157,8,0.2998046875,20.007020950317383,0.0007284283638000488,0.09995904,-1.781341589987278,0.0026481388485990465,,,,,,
4096,387,10,4,41.43704319000244,0.0002498464,0.0047829356,12,0.310302734375,18.308652877807617,0.0005924701690673828,0.09993856000000001,-1.7830687537789345,-0.005439874948933721,,,,,,
5120,436,11,5,30.817010402679443,0.0002497952,0.010043394,16,0.273193359375,14.094097137451172,0.0009839534759521484,0.09991808,-1.7764505669474602,0.0012197837640997022,,,,,,
6144,476,12,6,9.193614095449448,0.000249744,0.020826783,20,0.36083984375,4.853031158447266,0.00025278329849243164,0.0998976,-1.7364356964826584,0.003028199018444866,,,,,,
7168,508,14,7,3.0739901959896088,0.0002496928,0.010035368,24,0.302001953125,1.0637718439102173,0.00622326135635376,0.09987712,-1.7202114537358284,0.0035688639618456364,3322.0,-664.3733334,,,,
8192,535,15,8,10.761990070343018,0.0002496416,0.011381622,28,0.319091796875,4.036881446838379,-0.043349266052246094,0.09985664,-1.6724079921841621,-0.002079280558973551,3451.285714285714,-611.3952381428571,,,,
9216,559,16,9,3.593075029551983,0.0002495904,0.003989909,32,0.6044921875,0.7189345955848694,-0.4057579040527344,0.09983616000000001,-1.6899983435869217,0.006110933318268508,3588.0,-578.8875,,,,
10240,580,17,10,1.5882744416594505,0.00024953919999999997,0.0023947428,36,0.052490234375,0.3891295790672302,0.07945835590362549,0.09981568,-1.6781501397490501,0.0008054744102992117,3588.0,-578.8875,,,,
11264,599,18,11,0.3813351085409522,0.00024948799999999997,0.0017304779,40,0.125,0.047475457191467285,-0.006419062614440918,0.0997952,-1.6850375980138779,0.002899834973504767,3588.0,-578.8875,,,,
12288,615,19,12,0.4912819219753146,0.0002494368,0.0054369345,44,0.25146484375,0.03683299943804741,0.006387174129486084,0.09977472,-1.6563156843185425,0.0015136896981857717,3588.0,-578.8875,,,,
13312,628,21,13,0.33952342439442873,0.0002493856,0.0010114862,48,0.205810546875,0.04412170499563217,-0.004547476768493652,0.09975424000000001,-1.678576946258545,0.0037137187318876386,3480.769230769231,-369.69230769230774,,,,
14336,641,22,14,0.9056667424738407,0.0002493344,0.0019766544,52,0.349365234375,0.39017999172210693,0.19150865077972412,0.09973376,-1.6978525966405869,0.005760899715824053,3444.9333333333334,-320.6733333333334,,,,
15360,652,23,15,0.3811397720128298,0.0002492832,0.006309973,56,0.2333984375,0.09484919905662537,-0.09790325164794922,0.09971328000000002,-1.6667110845446587,0.003434708371059969,3444.9333333333334,-320.6733333333334,,,,
16384,663,24,16,0.11524139367975295,0.000249232,0.002556808,60,0.16064453125,-0.005776636302471161,-0.022331595420837402,0.09969280000000001,-1.6490045189857483,0.0007034763693809509,3440.0625,-301.275,,,,
17408,672,25,17,0.09369232435710728,0.0002491808,0.0045211744,64,0.157958984375,0.022540045902132988,0.20139235258102417,0.09967232000000001,-1.6818947792053223,0.00018472352530807257,3440.0625,-301.275,,,,
18432,681,27,18,0.03799814893864095,0.0002491296,0.0024816752,68,0.08447265625,-0.01667979173362255,-0.03665602207183838,0.09965184,-1.7027462869882584,0.00018474573153071105,3440.0625,-301.275,,,,
19456,689,28,19,1.009297501295805,0.0002490784,0.0039316746,72,0.283447265625,0.5348904132843018,-0.00011813640594482422,0.09963136,-1.6700196042656898,-0.0036947702756151557,3408.222222222222,-268.39814816666666,,,,
20480,696,29,20,0.13768382044509053,0.0002490272,0.0020247367,76,0.119140625,0.02210303023457527,0.16895908117294312,0.09961088000000001,-1.6695326939225197,0.0018775232892949134,3387.5714285714284,-230.29523814285716,,,,
21504,702,30,21,0.06724359304644167,0.000248976,0.00062393583,80,0.053955078125,0.00302734412252903,0.35719579458236694,0.09959040000000001,-1.6644391566514969,3.140029730275273e-05,3398.1739130434785,-210.45072465217393,,,,
22528,708,31,22,0.026246056891977787,0.00024892480000000003,0.0018685095,84,0.03076171875,-0.012176195159554482,0.5816532969474792,0.09956992,-1.6849590465426445,-0.0024597456213086843,3397.125,-202.1625,,,,
23552,714,32,23,0.07195615326054394,0.00024887360000000003,0.0019042646,88,0.127685546875,0.04209575802087784,0.08109909296035767,0.09954944,-1.6434314250946045,-0.0032748227240517735,3397.125,-202.1625,,,,
24576,720,34,24,0.004683868493884802,0.0002488224,0.0044296766,92,0.224365234375,-0.010937139391899109,-0.08473074436187744,0.09952896,-1.6631667017936707,-0.0022660832037217915,3397.125,-202.1625,,,,
25000,,,,0.004167540570051642,0.0002487712,0.0028169784,96,0.061767578125,-0.026383422315120697,-0.16535961627960205,0.09950848000000001,-1.655289188027382,-0.0006303789268713444,,,-21.0,3056.0,-1.0400002000000002,3056.0
25600,530,48,25,,,,,,,,,,,3386.36,-194.11599999999999,,,,
26624,538,49,26,0.005330761705408804,0.00024872,0.0041728397,100,0.138916015625,-0.019200585782527924,0.6970629692077637,0.09948800000000001,-1.6569771766662598,-0.001843495643697679,3379.214285714286,-173.57261907142856,,,,
27648,546,50,27,0.005540677593671717,0.0002486688,0.0043808226,104,0.1162109375,-0.0175577811896801,0.810886561870575,0.09946752,-1.6480823457241058,-0.002654720447026193,3381.1935483870966,-157.02473122580645,,,,
28672,553,51,28,0.002992113819345832,0.0002486176,0.00073749776,108,0.03369140625,-0.02116474136710167,0.8964216709136963,0.09944704,-1.6642824411392212,-0.001426289789378643,3381.1935483870966,-157.02473122580645,,,,
29696,560,52,29,0.0010145909955099341,0.0002485664,0.0009758294,112,0.00634765625,-0.015779538080096245,-0.0027173757553100586,0.09942656,-1.670575089752674,-3.835599636659026e-05,3380.28125,-152.15104171875004,,,,
30720,567,54,30,0.0014824240824964363,0.0002485152,0.0007834477,116,0.037109375,-0.023365385830402374,0.8683110475540161,0.09940608000000001,-1.677586317062378,-0.0008920977415982634,3380.28125,-152.15104171875004,,,,
31744,573,55,31,1.081227883696556,0.000248464,0.00038816268,120,0.148681640625,0.6633334755897522,-0.0018099546432495117,0.0993856,-1.6606532856822014,-0.00244988314807415,3380.28125,-152.15104171875004,,,,
32768,579,56,32,0.09956267336383462,0.0002484128,0.0009220409,124,0.062744140625,0.04946117848157883,0.008465290069580078,0.09936512,-1.6381345242261887,-0.003538273216690868,3382.735294117647,-143.85294123529417,,,,
33792,585,57,33,0.004061314757564105,0.0002483616,0.0005261393,128,0.033203125,-0.01581871695816517,0.8025602698326111,0.09934464,-1.6223002821207047,-0.0003711271856445819,3382.6486486486488,-132.31531537837844,,,,
