time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length
337,3,1024,1,,,,,,,,,,,,,,,,
138,14,2048,2,0.0005417373,0.09997952,-0.025661349296569824,0.015380859375,4,-1.7908380255103111,0.36877023288980126,-0.00024249129637610167,0.0002499488,0.027842486277222633,,,,,,
122,24,3072,3,0.00010799093,0.09995904,0.0006363987922668457,0.0,8,-1.7909116446971893,0.13456685189157724,-7.46506848372519e-05,0.0002498976,0.04102508723735809,,,,,,
115,35,4096,4,0.00023374893,0.09993856000000001,0.008250653743743896,0.0,12,-1.7903639301657677,0.16062383819371462,-0.0004905433452222496,0.0002498464,0.03552907705307007,,,,,,
112,45,5120,5,0.00018451095,0.09991808,0.018232345581054688,0.0,16,-1.7889548987150192,0.1066762120462954,0.0004145079874433577,0.0002497952,0.0305923018604517,,,,,,
109,56,6144,6,0.00048430794,0.0998976,0.02659785747528076,0.0,20,-1.7899656295776367,0.10896181501448154,-4.415131115820259e-05,0.000249744,0.031168071553111076,-21.0,3056.0,,,,
107,66,7168,7,0.0015222279,0.09987712,0.01352083683013916,0.0,24,-1.789331205189228,0.14336627488955855,-0.0015803065616637468,0.0002496928,0.05755393207073212,-20.5,3363.5,,,,
106,77,8192,8,0.0019926,0.09985664,0.03345620632171631,0.027587890625,28,-1.7802444398403168,0.11762568214908242,-0.00020141279674135149,0.0002496416,0.041625116020441055,-20.2,3440.4,,,,
105,87,9216,9,0.0032673539,0.09983616000000001,0.020447731018066406,0.05224609375,32,-1.7731380015611649,0.08090221555903554,-0.0021445895254146308,0.0002495904,0.02607416734099388,-19.714285714285715,3704.0,,,,
104,98,10240,10,0.00031921774,0.09981568,0.0677483081817627,0.0,36,-1.7653935849666595,0.10357365710660815,-0.0001410257536917925,0.00024953919999999997,0.02875629812479019,-19.75,3833.375,,,,
103,109,11264,11,0.0008164351,0.0997952,0.07845073938369751,0.0078125,40,-1.769313745200634,0.11166151240468025,-0.0006441892692237161,0.00024948799999999997,0.033795684576034546,-19.75,3833.375,,,,
102,119,12288,12,0.001168296,0.09977472,0.11718428134918213,0.0,44,-1.7655889764428139,0.1314607639797032,-0.00032281671883538365,0.0002494368,0.024195510894060135,-19.75,3833.375,,,,
101,131,13312,13,0.00024216581,0.09975424000000001,0.16665613651275635,0.0,48,-1.7626061886548996,0.07775587914511561,0.00020445070549612865,0.0002493856,0.015492916107177734,-19.88888888888889,3786.5555555555557,,,,
100,141,14336,14,0.0026971246,0.09973376,0.2887178063392639,0.07373046875,52,-1.7593742311000824,0.06877497863024473,-0.0023998652468435466,0.0002493344,0.019393742084503174,-20.0,3797.1,,,,
100,152,15360,15,0.002014092,0.09971328000000002,0.17549246549606323,0.0263671875,56,-1.753690056502819,0.10557451890781522,-0.0010633934871293604,0.0002492832,0.04702035337686539,-20.071428571428573,3770.6428571428573,,,,
