time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length
2,1,1024,353,,,,,,,,,,,,,,,,
13,2,2048,147,0.023846540600061417,0.0026812812,0.00633472204208374,-0.0048593282990623266,0.09997952,0.067626953125,0.37279395665973425,4,-1.790054902434349,0.0002499488,,,,,,
23,3,3072,128,0.03760020434856415,0.0012897069,0.0026984810829162598,-0.0012205147941131145,0.09995904,0.0,0.12056137761101127,8,-1.788090042769909,0.0002498976,,,,,,
34,4,4096,120,0.03363608568906784,0.0005408865,0.012238383293151855,-0.0005129683704581112,0.09993856000000001,0.0,0.1309090186841786,12,-1.7845778614282608,0.0002498464,,,,,,
44,5,5120,114,0.037418000400066376,0.0021445951,0.01590871810913086,-0.0021186950616538525,0.09991808,0.012451171875,0.10695920884609222,16,-1.7847352400422096,0.0002497952,,,,,,
54,6,6144,111,0.04481906443834305,0.0010013566,0.010485827922821045,-0.00134389303275384,0.0998976,0.0,0.1379661550745368,20,-1.7821801975369453,0.000249744,,,,,,
65,7,7168,109,0.022537091746926308,0.0010285409,0.0583001971244812,0.0005562969745369628,0.09987712,0.00927734375,0.1001609698869288,24,-1.7790326476097107,0.0002496928,-20.333333333333332,3418.6666666666665,,,,
75,8,8192,108,0.023340214043855667,0.00053880684,0.0074735283851623535,-0.0007058928022161126,0.09985664,0.0,0.08704059245064855,28,-1.7825601994991302,0.0002496416,-20.375,3483.0,,,,
85,9,9216,107,0.03381381928920746,0.0010076764,0.019748687744140625,-0.0001672967046033591,0.09983616000000001,0.0,0.11345702176913619,32,-1.7764045298099518,0.0002495904,-20.375,3483.0,,,,
96,10,10240,106,0.04791992902755737,0.0018658962,0.05211520195007324,-0.0005421298556029797,0.09981568,0.02001953125,0.12527176225557923,36,-1.7678432613611221,0.00024953919999999997,-20.375,3483.0,,,,
106,11,11264,105,0.026615682989358902,0.0018816919,0.08217942714691162,-0.004320836276747286,0.0997952,0.14453125,0.09602951724082232,40,-1.746901348233223,0.00024948799999999997,-20.375,3483.0,,,,
116,12,12288,105,0.02303510159254074,0.0021835794,0.06006258726119995,-0.0021258614724501967,0.09977472,0.0263671875,0.11660117981955409,44,-1.7392179444432259,0.0002494368,-20.375,3483.0,,,,
126,13,13312,104,0.02494114078581333,0.0031503877,0.09516042470932007,-0.0022931601124582812,0.09975424000000001,0.077392578125,0.10819218680262566,48,-1.7449913397431374,0.0002493856,-20.375,3483.0,,,,
137,14,14336,104,0.053909510374069214,0.0025570989,0.10764318704605103,-0.0009892865200527012,0.09973376,0.130615234375,0.12985712895169854,52,-1.7282272353768349,0.0002493344,-20.307692307692307,3524.6923076923076,,,,
147,15,15360,104,0.042393870651721954,0.001657076,0.05269700288772583,-0.0016134752077050507,0.09971328000000002,0.038330078125,0.13590316101908684,56,-1.7463227063417435,0.0002492832,-20.2,3573.9333333333334,,,,
158,16,16384,103,0.05125297233462334,0.0020029938,0.05114102363586426,-0.0007890659617260098,0.09969280000000001,0.09765625,0.1280456054955721,60,-1.7282394170761108,0.000249232,-20.2,3573.9333333333334,,,,
169,17,17408,102,0.03049711138010025,0.0012464458,0.12589365243911743,-0.001917223838972859,0.09967232000000001,0.02587890625,0.10207985062152147,64,-1.7422054260969162,0.0002491808,-20.0625,3647.5625,,,,
179,18,18432,102,0.035310130566358566,0.002872744,0.14291995763778687,-0.0007251537608681247,0.09965184,0.043212890625,0.09337265510112047,68,-1.742343120276928,0.0002491296,-20.0625,3647.5625,,,,
190,19,19456,102,0.0380140095949173,0.003838045,0.1580132246017456,-0.002522613824112341,0.09963136,0.162353515625,0.07997103128582239,72,-1.7329806089401245,0.0002490784,-20.0625,3647.5625,,,,
201,20,20480,101,0.04150395840406418,0.002591437,0.12739062309265137,-0.0026481940876692533,0.09961088000000001,0.08056640625,0.11214640596881509,76,-1.7403080463409424,0.0002490272,-20.0625,3647.5625,,,,
212,21,21504,101,0.03240033611655235,0.0026717735,0.11726945638656616,-0.0025297182437498122,0.09959040000000001,0.12890625,0.12612703163176775,80,-1.7164042368531227,0.000248976,-20.11111111111111,3616.0,,,,
222,22,22528,101,0.056268543004989624,0.0023781331,0.11056435108184814,-0.0011647940773400478,0.09956992,0.085693359375,0.13392449216917157,84,-1.697461098432541,0.00024892480000000003,-20.0,3682.4761904761904,,,,
233,23,23552,101,0.04797070473432541,0.0023380732,0.20968836545944214,-0.0029707330249948427,0.09954944,0.16748046875,0.11342135816812515,88,-1.7116753682494164,0.00024887360000000003,-20.0,3705.913043478261,,,,
243,24,24576,101,0.036049243062734604,0.0005514061,0.17260199785232544,-0.00013533879246097058,0.09952896,0.0009765625,0.1039878586307168,92,-1.7008648365736008,0.0002488224,-20.0,3705.913043478261,,,,
,,25000,,0.027193626388907433,0.0016960886,0.3147966265678406,-0.0009583395294612274,0.09950848000000001,0.031005859375,0.07299192366190255,96,-1.700671836733818,0.0002487712,,,-75.525,-21.0,3056.0,3056.0
285,25,25600,89,,,,,,,,,,,-19.916666666666668,3751.6666666666665,,,,
296,26,26624,89,0.015487410128116608,0.0028449064,0.3031507134437561,-0.001698624575510621,0.09948800000000001,0.106201171875,0.06410486157983541,100,-1.6661112159490585,0.00024872,-19.916666666666668,3751.6666666666665,,,,
306,27,27648,90,0.0012651756405830383,0.00090614054,0.46827226877212524,-0.00014996741083450615,0.09946752,0.013916015625,0.045330180786550045,104,-1.6705556958913803,0.0002486688,-20.0,3716.153846153846,,,,
317,28,28672,90,0.017135053873062134,0.0014812348,0.47657448053359985,-0.001089170720661059,0.09944704,0.037109375,0.07654614234343171,108,-1.6424769833683968,0.0002486176,-20.071428571428573,3677.0,,,,
328,29,29696,90,0.027885019779205322,0.0016585867,0.3328063488006592,-0.00014296977315098047,0.09942656,0.038330078125,0.11194723006337881,112,-1.640249602496624,0.0002485664,-20.103448275862068,3658.1724137931033,,,,
339,30,30720,90,0.02083047479391098,0.0029668726,0.4390262961387634,-0.0018945126503240317,0.09940608000000001,0.0986328125,0.07396745961159468,116,-1.638956069946289,0.0002485152,-20.129032258064516,3672.967741935484,,,,
349,31,31744,90,0.02529100887477398,0.0010179484,0.5146925449371338,-0.0006690736045129597,0.0993856,0.039306640625,0.07103236322291195,120,-1.63580734282732,0.000248464,-20.129032258064516,3672.967741935484,,,,
360,32,32768,90,0.006431128829717636,0.004531799,0.3026089668273926,-0.0021074554315418936,0.09936512,0.11669921875,0.06135333748534322,124,-1.6409806683659554,0.0002484128,-20.09375,3682.65625,,,,
371,33,33792,91,0.009652405977249146,0.0010384014,0.5393238067626953,0.000472722778795287,0.09934464,0.016845703125,0.07574184099212289,128,-1.6289933994412422,0.0002483616,-20.12121212121212,3665.939393939394,,,,
381,34,34816,91,0.007937047630548477,0.0015233036,0.5517135858535767,-0.001250858447747305,0.09932416,0.039306640625,0.06726347608491778,132,-1.6263619139790535,0.0002483104,-20.11764705882353,3657.235294117647,,,,
392,35,35840,91,0.0065843574702739716,0.0021613522,0.5093935132026672,-0.0012714437616523355,0.09930368,0.063720703125,0.053407392697408795,136,-1.6159332245588303,0.00024825920000000004,-20.142857142857142,3649.057142857143,,,,
403,36,36864,91,0.010470859706401825,0.0011089356,0.6108318567276001,-0.0014400308136828244,0.09928320000000002,0.048583984375,0.06834462354891002,140,-1.5926917418837547,0.00024820800000000003,-20.157894736842106,3641.0,,,,
413,37,37888,91,0.003933874890208244,0.00028289552,0.7920597791671753,0.00021463121811393648,0.09926272000000001,0.010009765625,0.05965480953454971,144,-1.5747281312942505,0.00024815680000000003,-20.17948717948718,3627.846153846154,,,,
424,38,38912,91,0.0026825834065675735,0.0028755905,0.5523921251296997,-0.00217161828186363,0.09924224000000001,0.11669921875,0.04403058206662536,148,-1.6197734326124191,0.0002481056,-20.17948717948718,3627.846153846154,,,,
435,39,39936,91,0.011939551681280136,0.00061629695,0.5335533618927002,0.0005045718571636826,0.09922176,0.000732421875,0.061841404996812344,152,-1.6260602548718452,0.0002480544,-20.2,3619.15,,,,
445,40,40960,91,0.01948847994208336,0.000847626,0.561786413192749,4.632462514564395e-05,0.09920128,0.001953125,0.09089911542832851,156,-1.62680222094059,0.0002480032,-20.214285714285715,3604.6190476190477,,,,
456,41,41984,91,0.003700803965330124,0.0034268517,0.7227588891983032,-0.0027572270191740245,0.09918080000000001,0.09326171875,0.06337809818796813,160,-1.6469000354409218,0.000247952,-20.214285714285715,3604.6190476190477,,,,
467,42,43008,91,0.03286844491958618,0.0017694768,0.41828101873397827,-0.0007417571905534714,0.09916032000000001,0.0380859375,0.09171389928087592,164,-1.625920943915844,0.0002479008,-20.209302325581394,3603.4883720930234,,,,
478,43,44032,92,0.01390845701098442,0.002690204,0.5259606242179871,-0.0006883837340865284,0.09913984,0.077880859375,0.08640008373185992,168,-1.6389864310622215,0.0002478496,-20.25531914893617,3600.276595744681,,,,
488,44,45056,92,0.019359581172466278,0.0013167387,0.7445293664932251,-0.0002269584801979363,0.09911936,0.03955078125,0.06792280939407647,172,-1.6528251767158508,0.0002477984,-20.25531914893617,3600.276595744681,,,,
499,45,46080,92,0.02100382186472416,0.0049946327,0.3771354556083679,-0.0037050119135528803,0.09909888,0.156982421875,0.10642498172819614,176,-1.6440036967396736,0.0002477472,-20.25,3597.75,,,,
510,46,47104,92,-0.007453798316419125,0.001981866,0.8007107973098755,-0.0005893913621548563,0.09907840000000001,0.03857421875,0.032307019107975066,180,-1.63634192943573,0.000247696,-20.25,3597.75,,,,
521,47,48128,92,-0.0007208958268165588,0.0011773079,0.7290018796920776,-0.0008527931349817663,0.09905792000000001,0.025634765625,0.031099205021746457,184,-1.6229516193270683,0.0002476448,-20.244897959183675,3605.183673469388,,,,
531,48,49152,92,0.007896782830357552,0.0016452575,0.7568210363388062,-0.0015632381837349385,0.09903744,0.113037109375,0.047288452042266726,188,-1.5959924906492233,0.0002475936,-20.235294117647058,3604.8823529411766,,,,
,,50000,,0.02206311747431755,0.0020911854,0.625308096408844,-0.00043426458432804793,0.09901696,0.044677734375,0.0869323518127203,192,-1.6171244457364082,0.0002475424,,,-0.49000000000000005,-21.0,3056.0,3056.0
576,49,50176,86,,,,,,,,,,,-20.23076923076923,3600.3653846153848,,,,
587,50,51200,87,0.007968442514538765,0.0019843837,0.7573903799057007,-0.0013779768050881103,0.09899648,0.072021484375,0.05945140542462468,196,-1.5853127092123032,0.0002474912,-20.21818181818182,3599.890909090909,,,,
597,51,52224,87,0.012074382975697517,0.00094151276,0.7238495349884033,-0.0007814015552867204,0.09897600000000001,0.021484375,0.0717893373221159,200,-1.6039490401744843,0.00024744,-20.232142857142858,3591.5178571428573,,,,
608,52,53248,87,0.018229354172945023,0.0040417514,0.5182127952575684,-0.0010896629828494042,0.09895552,0.151611328125,0.09592443099245429,204,-1.57468943297863,0.00024738879999999997,-20.232142857142858,3591.5178571428573,,,,
618,53,54272,87,-0.010806409642100334,0.001913105,0.7129226326942444,-0.0017973908397834748,0.09893504,0.042236328125,0.029344252194277942,208,-1.590883195400238,0.0002473376,-20.232142857142858,3591.5178571428573,,,,
628,54,55296,87,0.010870181955397129,0.0025062822,0.7632334232330322,-0.0015920602309051901,0.09891456,0.06494140625,0.04754467308521271,212,-1.5754452273249626,0.0002472864,-20.24137931034483,3580.344827586207,,,,
639,55,56320,88,0.002748701721429825,0.0039982954,0.8435792922973633,-0.0024102026800392196,0.09889408,0.19189453125,0.04259547684341669,216,-1.5346778854727745,0.0002472352,-20.25423728813559,3575.9322033898306,,,,
649,56,57344,88,-0.005121774971485138,0.0029890868,0.7717331647872925,-0.00194320990704,0.0988736,0.12890625,0.04392601363360882,220,-1.5334646552801132,0.000247184,-20.278688524590162,3563.1803278688526,,,,
660,57,58368,88,0.006847282871603966,0.004781251,0.781719446182251,-0.002921290142694488,0.09885312000000002,0.262451171875,0.06860415101982653,224,-1.5710286349058151,0.0002471328,-20.26984126984127,3556.3492063492063,,,,
670,58,59392,88,0.007379591464996338,0.0015151784,0.6890326738357544,-0.0009360050316900015,0.09883264000000001,0.02490234375,0.0636379448696971,228,-1.5754727870225906,0.0002470816,-20.265625,3553.390625,,,,
681,59,60416,88,0.030826352536678314,0.0025427171,0.5593172311782837,-0.001792680413927883,0.09881216000000001,0.170166015625,0.1043410119600594,232,-1.5621304363012314,0.0002470304,-20.265625,3553.390625,,,,
691,60,61440,88,0.0015441440045833588,0.0029636167,0.6707046031951904,-0.002585047077445779,0.09879168,0.11181640625,0.04825709550641477,236,-1.5837418287992477,0.0002469792,-20.276923076923076,3549.1846153846154,,,,
702,61,62464,88,0.035414475947618484,0.002929999,0.5129833817481995,-0.0005416341591626406,0.0987712,0.057861328125,0.1201528892852366,240,-1.5898256823420525,0.000246928,-20.28787878787879,3545.1060606060605,,,,
712,62,63488,89,0.0206973385065794,0.0013747478,0.6401386260986328,-0.0003222774394089356,0.09875072000000001,0.004150390625,0.07744498271495104,244,-1.5952788293361664,0.0002468768,-20.264705882352942,3549.1323529411766,,,,
722,63,64512,89,0.006735082715749741,0.0020726318,0.7534148097038269,-0.0006642322114203125,0.09873024000000001,0.0126953125,0.051027344074100256,248,-1.6118501648306847,0.00024682560000000004,-20.264705882352942,3549.1323529411766,,,,
