time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_object_ep_length,eval/mean_score_reward
1024,1,173,5,,,,,,,,,,,,,,,,
2048,2,246,8,4,0.0002499488,-1.790451057255268,0.054931640625,0.3805970991961658,0.027004482224583626,-0.0028487451490946114,0.0024415245,0.007690727710723877,0.09997952,,,,,,
3072,3,329,9,8,0.0002498976,-1.7902830019593239,0.020263671875,0.1259683733806014,0.032494597136974335,-0.0030785707058385015,0.0015004738,0.00987917184829712,0.09995904,,,,,,
4096,4,395,10,12,0.0002498464,-1.7909901589155197,0.0,0.1345844753086567,0.05745077133178711,-0.00010273914085701108,0.00043743447,0.008240282535552979,0.09993856000000001,,,,,,
5120,5,450,11,16,0.0002497952,-1.7907217890024185,0.0,0.10717055620625615,0.03444443643093109,0.0002664418425410986,0.00022891589,0.019297301769256592,0.09991808,,,,,,
6144,6,495,12,20,0.000249744,-1.7907827720046043,0.0,0.12456498946994543,0.03975262492895126,-0.00048536990652792156,0.0004955114,0.028065741062164307,0.0998976,,,,,,
7168,7,533,13,24,0.0002496928,-1.7886300086975098,0.0,0.12483737664297223,0.04028543084859848,-0.0014153648226056248,0.0014300793,0.03709244728088379,0.09987712,3267.5,-20.5,,,,
8192,8,565,14,28,0.0002496416,-1.7799131721258163,0.0,0.10209861816838384,0.026658186689019203,-2.8707581805065274e-05,0.0016784994,0.03572624921798706,0.09985664,3603.0,-19.8,,,,
9216,9,593,15,32,0.0002495904,-1.7757936120033264,0.0,0.11031918693333864,0.03785043954849243,-0.00016573668108321726,0.00062102196,0.03606694936752319,0.09983616000000001,3838.0,-19.857142857142858,,,,
10240,10,617,16,36,0.00024953919999999997,-1.775569424033165,0.032958984375,0.11031851265579462,0.025714265182614326,-0.0015099312586244196,0.0016255111,0.07666319608688354,0.09981568,3971.125,-19.625,,,,
11264,11,640,17,40,0.00024948799999999997,-1.7802654579281807,0.0,0.09065914992243052,0.021445434540510178,-0.0010243203141726553,0.0010751475,0.1201816201210022,0.0997952,3971.125,-19.625,,,,
12288,12,660,18,44,0.0002494368,-1.779978446662426,0.041259765625,0.09528611181303859,0.01886664517223835,-0.002898403734434396,0.0022187084,0.05925983190536499,0.09977472,3971.125,-19.625,,,,
13312,13,678,19,48,0.0002493856,-1.7757117599248886,0.072021484375,0.09075423423200846,0.02151504158973694,-0.002651398186571896,0.0034564915,0.14863139390945435,0.09975424000000001,3971.125,-19.625,,,,
14336,14,693,20,52,0.0002493344,-1.7674181014299393,0.06396484375,0.0959889218211174,0.021463803946971893,-0.002507720229914412,0.0029130285,0.1266019344329834,0.09973376,3852.3636363636365,-19.818181818181817,,,,
15360,15,707,21,56,0.0002492832,-1.7656304463744164,0.0,0.09075414156541228,0.012718744575977325,-0.0008685588545631617,0.0014900669,0.1574886441230774,0.09971328000000002,3838.4166666666665,-19.833333333333332,,,,
16384,16,720,22,60,0.000249232,-1.767212063074112,0.03271484375,0.09364041453227401,0.016480550169944763,-0.0022606384591199458,0.0026537606,0.20536935329437256,0.09969280000000001,3851.0714285714284,-19.928571428571427,,,,
17408,17,732,23,64,0.0002491808,-1.760697528719902,0.0,0.0970944482833147,0.03444115072488785,0.00018394511425867677,0.0006086359,0.22047406435012817,0.09967232000000001,3818.0,-20.0,,,,
18432,18,743,24,68,0.0002491296,-1.7681806683540344,0.0,0.09559497749432921,0.03367414325475693,-0.0011762631474994123,0.0014716024,0.22944283485412598,0.09965184,3869.6875,-20.0,,,,
19456,19,753,25,72,0.0002490784,-1.7627562433481216,0.02294921875,0.07437911722809076,0.009515821933746338,-0.0005622366152238101,0.0019089745,0.4239242672920227,0.09963136,3869.6875,-20.0,,,,
20480,20,763,26,76,0.0002490272,-1.7485544458031654,0.05615234375,0.057439385214820504,0.014959670603275299,-0.0026049513544421643,0.0025568565,0.43089598417282104,0.09961088000000001,3869.6875,-20.0,,,,
21504,21,771,27,80,0.000248976,-1.7598350271582603,0.073486328125,0.09745142795145512,0.029270805418491364,-0.0009656460315454751,0.0022504288,0.19053107500076294,0.09959040000000001,3820.157894736842,-20.105263157894736,,,,
22528,22,779,28,84,0.00024892480000000003,-1.7598287984728813,0.058349609375,0.09567840257659554,0.02567289024591446,-0.0015416996902786195,0.0023791722,0.3924676179885864,0.09956992,3796.75,-20.15,,,,
23552,23,786,29,88,0.00024887360000000003,-1.7543096095323563,0.0625,0.07642365782521665,0.018422167748212814,-0.0008594966493546963,0.0028569973,0.28773075342178345,0.09954944,3785.0476190476193,-20.142857142857142,,,,
24576,24,793,30,92,0.0002488224,-1.7518302500247955,0.000244140625,0.09899227228015661,0.03057286888360977,-0.0009956958529073745,0.0018619986,0.43500494956970215,0.09952896,3816.304347826087,-20.130434782608695,,,,
25000,,,,96,0.0002487712,-1.7469421029090881,0.03173828125,0.09582177735865116,0.02249775268137455,-0.001302062184549868,0.0011754143,0.5461759567260742,0.09950848000000001,,,-21.073332999999998,3056.0,3056.0,-21.0
25600,25,572,44,,,,,,,,,,,3816.304347826087,-20.130434782608695,,,,
26624,26,582,45,100,0.00024872,-1.7354442328214645,0.0,0.1008085897192359,0.012591999024152756,-0.0008444779668934643,0.0008279345,0.30117350816726685,0.09948800000000001,3816.304347826087,-20.130434782608695,,,,
27648,27,591,46,104,0.0002486688,-1.7269967049360275,0.04931640625,0.05962742958217859,0.00927780382335186,-0.0017325522494502366,0.0022716238,0.5545294880867004,0.09946752,3839.5,-20.083333333333332,,,,
28672,28,599,47,108,0.0002486176,-1.734726719558239,0.1201171875,0.05514852865599096,0.004455253481864929,-0.0019471936684567481,0.002989803,0.5819524526596069,0.09944704,3801.185185185185,-20.11111111111111,,,,
29696,29,607,48,112,0.0002485664,-1.7250245288014412,0.051025390625,0.09998049587011337,0.02780691348016262,-0.0004588319861795753,0.0026238714,0.4867708683013916,0.09942656,3801.185185185185,-20.11111111111111,,,,
30720,30,615,49,116,0.0002485152,-1.735454760491848,0.04541015625,0.1011255020275712,0.02543080598115921,-0.00175044551724568,0.0017044065,0.4356873035430908,0.09940608000000001,3794.3928571428573,-20.142857142857142,,,,
31744,31,623,50,120,0.000248464,-1.7288105189800262,0.07177734375,0.05027907411567867,0.009690575301647186,-0.0015067949425429106,0.00251307,0.6534873247146606,0.0993856,3775.2903225806454,-20.129032258064516,,,,
32768,32,630,51,124,0.0002484128,-1.726027987897396,0.074951171875,0.08693866292014718,0.018307212740182877,-0.0013772670645266771,0.002470979,0.5668424367904663,0.09936512,3775.2903225806454,-20.129032258064516,,,,
33792,33,637,52,128,0.0002483616,-1.715085282921791,0.0,0.0800784167367965,0.011081574484705925,-0.0006970035319682211,0.0008357478,0.3100849986076355,0.09934464,3775.2903225806454,-20.129032258064516,,,,
34816,34,644,54,132,0.0002483104,-1.701260931789875,0.093017578125,0.06612949399277568,0.008732777088880539,-0.000998256728053093,0.0021031993,0.4880255460739136,0.09932416,3748.235294117647,-20.147058823529413,,,,
35840,35,651,55,136,0.00024825920000000004,-1.7149761468172073,0.052978515625,0.0588519130833447,0.012319564819335938,-0.001315953239100054,0.0021275235,0.7457777857780457,0.09930368,3751.4285714285716,-20.114285714285714,,,,
36864,36,657,56,140,0.00024820800000000003,-1.7154418900609016,0.04052734375,0.08718210482038558,0.010234717279672623,-0.0013435646833386272,0.003141781,0.4664428234100342,0.09928320000000002,3751.4285714285716,-20.114285714285714,,,,
