#{"t_start": 1752506645.752422, "env_id": "SafeCartPole-v0"}
r,l,t,c
11.0,11,0.014996,0.0
12.0,12,0.02553,0.0
10.0,10,0.034225,0.0
11.0,11,0.043812,0.0
18.0,18,0.059412,0.0
12.0,12,0.069909,0.0
23.0,23,0.089775,0.0
17.0,17,0.104538,0.0
33.0,33,0.132905,0.0
22.0,22,0.151821,0.0
18.0,18,0.167297,0.0
10.0,10,0.175942,0.0
16.0,16,0.189753,0.0
26.0,26,0.211826,0.0
17.0,17,0.226292,0.0
21.0,21,0.244195,0.0
50.0,50,0.286646,0.0
12.0,12,0.296861,0.0
14.0,14,0.308807,0.0
27.0,27,0.331713,0.0
10.0,10,0.340235,0.0
12.0,12,0.350478,0.0
14.0,14,0.362421,0.0
37.0,37,0.393966,0.0
34.0,34,0.422779,0.0
15.0,15,0.435552,0.0
13.0,13,0.446656,0.0
15.0,15,0.459442,0.0
24.0,24,0.480494,0.0
12.0,12,0.491163,0.0
30.0,30,0.517652,0.0
20.0,20,0.535281,0.0
18.0,18,0.551131,0.0
16.0,16,0.565303,0.0
22.0,22,0.584757,0.0
19.0,19,0.601537,0.0
10.0,10,0.610607,0.0
27.0,27,0.635149,0.0
22.0,22,0.654782,0.0
39.0,39,0.689565,0.0
23.0,23,0.710004,0.0
11.0,11,0.719787,0.0
13.0,13,0.73135,0.0
11.0,11,0.741153,0.0
62.0,62,0.7962,0.0
18.0,18,0.812148,0.0
26.0,26,0.835127,0.0
16.0,16,0.849394,0.0
13.0,13,0.860954,0.0
18.0,18,0.876933,0.0
14.0,14,0.889401,0.0
17.0,17,0.90498,0.0
14.0,14,0.917496,0.0
13.0,13,0.929155,0.0
16.0,16,0.943369,0.0
19.0,19,0.960241,0.0
28.0,28,0.985134,0.0
28.0,28,1.009941,0.0
16.0,16,1.0241,0.0
19.0,19,1.040911,0.0
60.0,60,1.094116,0.0
16.0,16,1.108272,0.0
15.0,15,1.121774,0.0
43.0,43,1.159347,0.0
15.0,15,1.172216,0.0
15.0,15,1.185057,0.0
25.0,25,1.206598,0.0
14.0,14,1.21871,0.0
25.0,25,1.240309,0.0
28.0,28,1.264445,0.0
13.0,13,1.275709,0.0
12.0,12,1.286203,0.0
15.0,15,1.301529,0.0
21.0,21,1.319584,0.0
43.0,43,1.356503,0.0
23.0,23,1.376289,0.0
17.0,17,1.390846,0.0
