time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward
1024,361,1,2,,,,,,,,,,,,,,,,
2048,158,2,12,-1.790054902434349,0.067626953125,0.00633472204208374,0.023846540600061417,0.0026812812,4,0.09997952,0.0002499488,0.37279395665973425,-0.0048593282990623266,,,,,,
3072,134,3,22,-1.788090042769909,0.0,0.0026984810829162598,0.03760020434856415,0.0012897069,8,0.09995904,0.0002498976,0.12056137761101127,-0.0012205147941131145,,,,,,
4096,126,4,32,-1.7845778614282608,0.0,0.012238383293151855,0.03363608568906784,0.0005408865,12,0.09993856000000001,0.0002498464,0.1309090186841786,-0.0005129683704581112,,,,,,
5120,120,5,42,-1.7847352400422096,0.012451171875,0.01590871810913086,0.037418000400066376,0.0021445951,16,0.09991808,0.0002497952,0.10695920884609222,-0.0021186950616538525,,,,,,
6144,116,6,52,-1.7821801975369453,0.0,0.010485827922821045,0.04481906443834305,0.0010013566,20,0.0998976,0.000249744,0.1379661550745368,-0.00134389303275384,,,,,,
7168,114,7,62,-1.7790326476097107,0.00927734375,0.0583001971244812,0.022537091746926308,0.0010285409,24,0.09987712,0.0002496928,0.1001609698869288,0.0005562969745369628,3418.6666666666665,-20.333333333333332,,,,
8192,112,8,72,-1.7825601994991302,0.0,0.0074735283851623535,0.023340214043855667,0.00053880684,28,0.09985664,0.0002496416,0.08704059245064855,-0.0007058928022161126,3483.0,-20.375,,,,
9216,111,9,82,-1.7764045298099518,0.0,0.019748687744140625,0.03381381928920746,0.0010076764,32,0.09983616000000001,0.0002495904,0.11345702176913619,-0.0001672967046033591,3483.0,-20.375,,,,
10240,110,10,92,-1.7678432613611221,0.02001953125,0.05211520195007324,0.04791992902755737,0.0018658962,36,0.09981568,0.00024953919999999997,0.12527176225557923,-0.0005421298556029797,3483.0,-20.375,,,,
11264,109,11,102,-1.746901348233223,0.14453125,0.08217942714691162,0.026615682989358902,0.0018816919,40,0.0997952,0.00024948799999999997,0.09602951724082232,-0.004320836276747286,3483.0,-20.375,,,,
12288,109,12,112,-1.7392179444432259,0.0263671875,0.06006258726119995,0.02303510159254074,0.0021835794,44,0.09977472,0.0002494368,0.11660117981955409,-0.0021258614724501967,3483.0,-20.375,,,,
13312,108,13,122,-1.7449913397431374,0.077392578125,0.09516042470932007,0.02494114078581333,0.0031503877,48,0.09975424000000001,0.0002493856,0.10819218680262566,-0.0022931601124582812,3483.0,-20.375,,,,
14336,108,14,132,-1.7282272353768349,0.130615234375,0.10764318704605103,0.053909510374069214,0.0025570989,52,0.09973376,0.0002493344,0.12985712895169854,-0.0009892865200527012,3524.6923076923076,-20.307692307692307,,,,
15360,108,15,142,-1.7463227063417435,0.038330078125,0.05269700288772583,0.042393870651721954,0.001657076,56,0.09971328000000002,0.0002492832,0.13590316101908684,-0.0016134752077050507,3573.9333333333334,-20.2,,,,
16384,107,16,152,-1.7282394170761108,0.09765625,0.05114102363586426,0.05125297233462334,0.0020029938,60,0.09969280000000001,0.000249232,0.1280456054955721,-0.0007890659617260098,3573.9333333333334,-20.2,,,,
17408,107,17,162,-1.7422054260969162,0.02587890625,0.12589365243911743,0.03049711138010025,0.0012464458,64,0.09967232000000001,0.0002491808,0.10207985062152147,-0.001917223838972859,3647.5625,-20.0625,,,,
18432,107,18,171,-1.742343120276928,0.043212890625,0.14291995763778687,0.035310130566358566,0.002872744,68,0.09965184,0.0002491296,0.09337265510112047,-0.0007251537608681247,3647.5625,-20.0625,,,,
19456,107,19,181,-1.7329806089401245,0.162353515625,0.1580132246017456,0.0380140095949173,0.003838045,72,0.09963136,0.0002490784,0.07997103128582239,-0.002522613824112341,3647.5625,-20.0625,,,,
20480,106,20,192,-1.7403080463409424,0.08056640625,0.12739062309265137,0.04150395840406418,0.002591437,76,0.09961088000000001,0.0002490272,0.11214640596881509,-0.0026481940876692533,3647.5625,-20.0625,,,,
21504,106,21,201,-1.7164042368531227,0.12890625,0.11726945638656616,0.03240033611655235,0.0026717735,80,0.09959040000000001,0.000248976,0.12612703163176775,-0.0025297182437498122,3616.0,-20.11111111111111,,,,
22528,106,22,212,-1.697461098432541,0.085693359375,0.11056435108184814,0.056268543004989624,0.0023781331,84,0.09956992,0.00024892480000000003,0.13392449216917157,-0.0011647940773400478,3682.4761904761904,-20.0,,,,
23552,105,23,222,-1.7116753682494164,0.16748046875,0.20968836545944214,0.04797070473432541,0.0023380732,88,0.09954944,0.00024887360000000003,0.11342135816812515,-0.0029707330249948427,3705.913043478261,-20.0,,,,
24576,105,24,232,-1.7008648365736008,0.0009765625,0.17260199785232544,0.036049243062734604,0.0005514061,92,0.09952896,0.0002488224,0.1039878586307168,-0.00013533879246097058,3705.913043478261,-20.0,,,,
25000,,,,-1.700671836733818,0.031005859375,0.3147966265678406,0.027193626388907433,0.0016960886,96,0.09950848000000001,0.0002487712,0.07299192366190255,-0.0009583395294612274,,,-21.0,3056.0,3056.0,-665.684
25600,93,25,274,,,,,,,,,,,3751.6666666666665,-19.916666666666668,,,,
26624,93,26,283,-1.6661112159490585,0.106201171875,0.3031507134437561,0.015487410128116608,0.0028449064,100,0.09948800000000001,0.00024872,0.06410486157983541,-0.001698624575510621,3751.6666666666665,-19.916666666666668,,,,
27648,94,27,293,-1.6705556958913803,0.013916015625,0.46827226877212524,0.0012651756405830383,0.00090614054,104,0.09946752,0.0002486688,0.045330180786550045,-0.00014996741083450615,3716.153846153846,-20.0,,,,
28672,94,28,303,-1.6424769833683968,0.037109375,0.47657448053359985,0.017135053873062134,0.0014812348,108,0.09944704,0.0002486176,0.07654614234343171,-0.001089170720661059,3677.0,-20.071428571428573,,,,
29696,94,29,313,-1.640249602496624,0.038330078125,0.3328063488006592,0.027885019779205322,0.0016585867,112,0.09942656,0.0002485664,0.11194723006337881,-0.00014296977315098047,3658.1724137931033,-20.103448275862068,,,,
30720,95,30,323,-1.638956069946289,0.0986328125,0.4390262961387634,0.02083047479391098,0.0029668726,116,0.09940608000000001,0.0002485152,0.07396745961159468,-0.0018945126503240317,3672.967741935484,-20.129032258064516,,,,
31744,95,31,332,-1.63580734282732,0.039306640625,0.5146925449371338,0.02529100887477398,0.0010179484,120,0.0993856,0.000248464,0.07103236322291195,-0.0006690736045129597,3672.967741935484,-20.129032258064516,,,,
32768,95,32,342,-1.6409806683659554,0.11669921875,0.3026089668273926,0.006431128829717636,0.004531799,124,0.09936512,0.0002484128,0.06135333748534322,-0.0021074554315418936,3682.65625,-20.09375,,,,
33792,95,33,352,-1.6289933994412422,0.016845703125,0.5393238067626953,0.009652405977249146,0.0010384014,128,0.09934464,0.0002483616,0.07574184099212289,0.000472722778795287,3665.939393939394,-20.12121212121212,,,,
34816,96,34,362,-1.6263619139790535,0.039306640625,0.5517135858535767,0.007937047630548477,0.0015233036,132,0.09932416,0.0002483104,0.06726347608491778,-0.001250858447747305,3657.235294117647,-20.11764705882353,,,,
35840,96,35,372,-1.6159332245588303,0.063720703125,0.5093935132026672,0.0065843574702739716,0.0021613522,136,0.09930368,0.00024825920000000004,0.053407392697408795,-0.0012714437616523355,3649.057142857143,-20.142857142857142,,,,
36864,96,36,382,-1.5926917418837547,0.048583984375,0.6108318567276001,0.010470859706401825,0.0011089356,140,0.09928320000000002,0.00024820800000000003,0.06834462354891002,-0.0014400308136828244,3641.0,-20.157894736842106,,,,
37888,96,37,392,-1.5747281312942505,0.010009765625,0.7920597791671753,0.003933874890208244,0.00028289552,144,0.09926272000000001,0.00024815680000000003,0.05965480953454971,0.00021463121811393648,3627.846153846154,-20.17948717948718,,,,
38912,96,38,402,-1.6197734326124191,0.11669921875,0.5523921251296997,0.0026825834065675735,0.0028755905,148,0.09924224000000001,0.0002481056,0.04403058206662536,-0.00217161828186363,3627.846153846154,-20.17948717948718,,,,
39936,96,39,413,-1.6260602548718452,0.000732421875,0.5335533618927002,0.011939551681280136,0.00061629695,152,0.09922176,0.0002480544,0.061841404996812344,0.0005045718571636826,3619.15,-20.2,,,,
40960,96,40,422,-1.62680222094059,0.001953125,0.561786413192749,0.01948847994208336,0.000847626,156,0.09920128,0.0002480032,0.09089911542832851,4.632462514564395e-05,3604.6190476190477,-20.214285714285715,,,,
41984,96,41,433,-1.6469000354409218,0.09326171875,0.7227588891983032,0.003700803965330124,0.0034268517,160,0.09918080000000001,0.000247952,0.06337809818796813,-0.0027572270191740245,3604.6190476190477,-20.214285714285715,,,,
43008,97,42,443,-1.625920943915844,0.0380859375,0.41828101873397827,0.03286844491958618,0.0017694768,164,0.09916032000000001,0.0002479008,0.09171389928087592,-0.0007417571905534714,3603.4883720930234,-20.209302325581394,,,,
