time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward
1,1024,6,169,,,,,,,,,,,,,,,,
2,2048,8,248,-0.001320534007390961,0.0002499488,52.84592628479004,22.17174530029297,0.00075281196,0.0012710094451904297,4,-1.7898040115833282,0.150634765625,0.09997952,,,,,,
3,3072,9,325,0.0021163708879612386,0.0002498976,52.73861026763916,19.57563018798828,0.0058155414,0.0013204216957092285,8,-1.785416603088379,0.226318359375,0.09995904,,,,,,
4,4096,10,385,0.0032612786744721234,0.0002498464,36.39517879486084,14.18239688873291,0.013002745,0.0008295178413391113,12,-1.779377169907093,0.271240234375,0.09993856000000001,,,,,,
5,5120,11,433,-0.0032010342401918024,0.0002497952,19.929067373275757,10.728041648864746,0.0058541754,0.0033806562423706055,16,-1.7580111175775528,0.373046875,0.09991808,,,,,,
6,6144,12,473,0.0037347906036302447,0.000249744,9.70603233575821,5.712643146514893,0.006556776,0.0024415254592895508,20,-1.7557554170489311,0.409912109375,0.0998976,,,,,,
7,7168,14,504,-0.0007810854003764689,0.0002496928,13.710139572620392,6.837805271148682,0.00516734,0.0020362138748168945,24,-1.7477034404873848,0.3984375,0.09987712,3361.5,-491.22499999999997,,,,
8,8192,15,531,0.0009036351111717522,0.0002496416,27.027993202209473,13.938584327697754,0.010970915,-0.028962254524230957,28,-1.7293106094002724,0.337646484375,0.09985664,3641.25,-657.422916625,,,,
9,9216,16,555,0.0020586320315487683,0.0002495904,12.783468663692474,6.650705814361572,0.008503233,0.08209604024887085,32,-1.6997980251908302,0.24853515625,0.09983616000000001,3641.25,-657.422916625,,,,
10,10240,17,575,-0.0006193427252583206,0.00024953919999999997,1.409441977739334,0.2922889292240143,0.0014879034,-0.021818876266479492,36,-1.6821201965212822,0.159423828125,0.09981568,3641.25,-657.422916625,,,,
11,11264,18,593,-0.002436807146295905,0.00024948799999999997,2.547075852751732,1.498639702796936,0.0035528194,0.0077912211418151855,40,-1.6737170219421387,0.143310546875,0.0997952,3641.25,-657.422916625,,,,
12,12288,20,609,0.000877089099958539,0.0002494368,0.6620400557294488,0.0785529613494873,0.0013743839,0.02405184507369995,44,-1.6711784675717354,0.021484375,0.09977472,3641.25,-657.422916625,,,,
13,13312,21,623,0.0003104110073763877,0.0002493856,0.37612223671749234,0.061735332012176514,0.0018688376,0.0015364289283752441,48,-1.6606153920292854,0.0634765625,0.09975424000000001,3558.2727272727275,-506.3257575454545,,,,
14,14336,22,635,0.005197053716983646,0.0002493344,1.170120995491743,0.41573411226272583,0.0007703862,-0.05515885353088379,52,-1.6686962991952896,0.162841796875,0.09973376,3523.3846153846152,-434.83974353846156,,,,
15,15360,23,646,0.003230199305107817,0.0002492832,0.756820460781455,0.21343359351158142,0.013080205,0.09205830097198486,56,-1.6449582129716873,0.165771484375,0.09971328000000002,3498.4666666666667,-382.40999999999997,,,,
16,16384,24,656,0.0011273430427536368,0.000249232,0.48115288466215134,0.1242828369140625,0.0054193637,0.04523789882659912,60,-1.6184316352009773,0.154296875,0.09969280000000001,3506.0,-359.109375,,,,
17,17408,26,665,-2.1479878341779113e-05,0.0002491808,0.08711029129335657,0.02297656238079071,0.005904386,0.030689537525177002,64,-1.6149809136986732,0.1904296875,0.09967232000000001,3506.0,-359.109375,,,,
18,18432,27,674,-0.0014496691292151809,0.0002491296,0.0407125620986335,-0.011788451112806797,0.0017416985,-0.05328094959259033,68,-1.5988547429442406,0.097900390625,0.09965184,3506.0,-359.109375,,,,
19,19456,28,682,0.0017203817260451615,0.0002490784,0.04049801919609308,-0.0020804796367883682,0.0011599814,-0.006773471832275391,72,-1.5968404561281204,0.045654296875,0.09963136,3506.0,-359.109375,,,,
20,20480,29,688,0.0003710357123054564,0.0002490272,0.019341693201567978,-0.010655193589627743,0.0033982012,-0.012601613998413086,76,-1.578071802854538,0.165771484375,0.09961088000000001,3459.3333333333335,-273.9896825714286,,,,
21,21504,30,694,-0.00032122916309162974,0.000248976,0.13113279594108462,0.027980107814073563,0.005305619,0.28373855352401733,80,-1.588973343372345,0.20361328125,0.09959040000000001,3432.7391304347825,-250.4862319130435,,,,
22,22528,32,700,0.0005536408571060747,0.00024892480000000003,0.0763660972006619,0.02530381828546524,0.0034402045,0.37067973613739014,84,-1.5892126858234406,0.13232421875,0.09956992,3427.0416666666665,-240.09513891666666,,,,
23,23552,33,706,-0.0009932562534231693,0.00024887360000000003,0.02323623903794214,-0.014177277684211731,0.0018747415,-0.010807633399963379,88,-1.5963262245059013,0.039794921875,0.09954944,3427.0416666666665,-240.09513891666666,,,,
24,24576,34,712,-0.0023598145926371217,0.0002488224,0.07099121308419853,0.014359470456838608,0.005743196,0.007354319095611572,92,-1.5651611387729645,0.158203125,0.09952896,3427.0416666666665,-240.09513891666666,,,,
,25000,,,0.0008464764687232673,0.0002487712,0.004489160495722899,-0.01454064343124628,0.0010865738,-0.04008018970489502,96,-1.5990964993834496,0.02978515625,0.09950848000000001,,,3056.0,-1.0400002,3056.0,-21.0
25,25600,48,527,,,,,,,,,,,3427.0416666666665,-240.09513891666666,,,,
26,26624,49,535,-0.001395182916894555,0.00024872,0.004797041521669598,-0.02072114869952202,0.0013333792,0.0350530743598938,100,-1.575453795492649,0.071044921875,0.09948800000000001,3406.6666666666665,-213.74135803703703,,,,
27,27648,50,543,-0.0008822607342153788,0.0002486688,0.02544067078270018,-0.005618675611913204,0.0029116378,0.46504366397857666,104,-1.5636019706726074,0.048095703125,0.09946752,3398.3333333333335,-192.56944446666665,,,,
28,28672,52,550,-0.0010600928217172623,0.0002486176,0.009742174137500115,-0.017032571136951447,0.0005723846,0.023570477962493896,108,-1.5779678001999855,0.011474609375,0.09944704,3401.1875,-180.59843753125,,,,
29,29696,53,557,-0.002215552725829184,0.0002485664,0.0032371735287597403,-0.021446455270051956,0.002644965,0.8160086274147034,112,-1.5573621913790703,0.135498046875,0.09942656,3401.1875,-180.59843753125,,,,
30,30720,54,563,-0.0030034998344490305,0.0002485152,0.00042812357014554436,-0.01665075123310089,0.0058705667,0.19598913192749023,116,-1.5876671895384789,0.2421875,0.09940608000000001,3401.1875,-180.59843753125,,,,
