time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_ep_length
6,1024,169,1,,,,,,,,,,,,,,,,
8,2048,248,2,0.213623046875,-1.7885664775967598,17.767536163330078,43.43001461029053,0.0002499488,4,0.0002650022506713867,0.09997952,0.0031171832,-0.007478516665287316,,,,,,
9,3072,326,3,0.32373046875,-1.7749454528093338,7.187541961669922,12.459649860858917,0.0002498976,8,0.00046074390411376953,0.09995904,0.00407729,-0.007347340404521674,,,,,,
10,4096,388,4,0.3662109375,-1.7660015970468521,7.88918924331665,18.17852872610092,0.0002498464,12,0.001104891300201416,0.09993856000000001,0.009817523,0.004551937454380095,,,,,,
11,5120,437,5,0.304931640625,-1.7414693757891655,2.933326005935669,6.54339063167572,0.0002497952,16,0.00371396541595459,0.09991808,0.011355261,0.00042636727448552847,,,,,,
12,6144,477,6,0.05517578125,-1.7455167472362518,1.4323009252548218,4.0226529985666275,0.000249744,20,0.00044608116149902344,0.0998976,0.0017217002,0.0028009359375573695,,,,,,
14,7168,509,7,0.32373046875,-1.7155671268701553,0.6299794316291809,1.0542941130697727,0.0002496928,24,0.003037393093109131,0.09987712,0.0039959354,-0.0015727269346825778,3292.0,-255.13333349999996,,,,
15,8192,537,8,0.06982421875,-1.7158868685364723,2.0745394229888916,3.8842293322086334,0.0002496416,28,-0.0383148193359375,0.09985664,0.005001098,-0.0010379230370745063,3414.75,-280.9708335,,,,
16,9216,561,9,0.037109375,-1.7080325186252594,0.27382993698120117,0.5062496289610863,0.0002495904,32,-0.14628243446350098,0.09983616000000001,0.0009547568,0.0005447958828881383,3414.75,-280.9708335,,,,
17,10240,582,10,0.291748046875,-1.6649901196360588,0.021008728072047234,0.1427804515697062,0.00024953919999999997,36,0.002589583396911621,0.09981568,0.00547598,0.001291353109991178,3414.75,-280.9708335,,,,
18,11264,601,11,0.125244140625,-1.6591096073389053,0.025868088006973267,0.09161499398760498,0.00024948799999999997,40,-0.0017315149307250977,0.0997952,0.002398757,-0.0010789749794639647,3414.75,-280.9708335,,,,
19,12288,617,12,0.114013671875,-1.6429249569773674,0.006683552637696266,0.04715237283380702,0.0002494368,44,-0.025346040725708008,0.09977472,0.0029810285,-0.0017231118981726468,3414.75,-280.9708335,,,,
21,13312,631,13,0.185791015625,-1.6458215862512589,1.5854793787002563,2.0449824184179306,0.0002493856,48,0.0043143630027771,0.09975424000000001,0.0049278596,-0.006699792429571971,3391.0,-225.3866668,,,,
22,14336,643,14,0.037109375,-1.6328744813799858,0.014127060770988464,0.09512529708445072,0.0002493344,52,0.18052023649215698,0.09973376,0.0014039571,8.458105730824172e-05,3427.733333333333,-156.768889,,,,
23,15360,655,15,0.254150390625,-1.6057020500302315,0.03335702419281006,0.17710792180150747,0.0002492832,56,0.25411707162857056,0.09971328000000002,0.0049337065,-0.0021509246435016394,3438.0,-147.12291675,,,,
24,16384,665,16,0.1357421875,-1.6064130291342735,-0.0035832859575748444,0.038974337629042566,0.000249232,60,0.01272439956665039,0.09969280000000001,0.004227362,-0.0015645592065993696,3438.0,-147.12291675,,,,
25,17408,675,17,0.05224609375,-1.5962038710713387,0.010183056816458702,0.02345399586192798,0.0002491808,64,-0.005818843841552734,0.09967232000000001,0.0012485057,0.00022701628040522337,3438.0,-147.12291675,,,,
26,18432,684,18,0.2763671875,-1.5536194071173668,0.004217976704239845,0.1203173496760428,0.0002491296,68,0.010972380638122559,0.09965184,0.0031097173,-0.00593821337679401,3438.0,-147.12291675,,,,
28,19456,692,19,0.14892578125,-1.5247155874967575,-0.014958742074668407,0.0018107128526025917,0.0002490784,72,-0.13390159606933594,0.09963136,0.003764406,-0.0011606395419221371,3438.0,-147.12291675,,,,
29,20480,698,20,0.100830078125,-1.5342686176300049,-0.014318748377263546,0.004812880393728847,0.0002490272,76,-0.14769470691680908,0.09961088000000001,0.0010891461,-1.9774073734879494e-05,3414.0454545454545,-108.06060613636365,,,,
30,21504,705,21,0.152099609375,-1.496349573135376,0.11275160312652588,0.1599882652517408,0.000248976,80,0.19827592372894287,0.09959040000000001,0.00939962,-0.000513498205691576,3407.1666666666665,-99.14166675000001,,,,
31,22528,711,22,0.08544921875,-1.4248426482081413,-0.013021648861467838,0.002606011592433788,0.00024892480000000003,84,0.8207353353500366,0.09956992,0.003184989,-0.0005508086178451777,3407.1666666666665,-99.14166675000001,,,,
32,23552,717,23,0.25634765625,-1.3969778344035149,-0.018884439021348953,0.0009922107974489336,0.00024887360000000003,88,-0.19447124004364014,0.09954944,0.0039681355,-0.0024525861663278192,3407.1666666666665,-99.14166675000001,,,,
33,24576,722,24,0.2685546875,-1.449874721467495,-0.01221347227692604,0.0008746222129047965,0.0002488224,92,-0.4481678009033203,0.09952896,0.00476627,-0.0007430996629409492,3407.1666666666665,-99.14166675000001,,,,
,25000,,,0.062744140625,-1.4608925879001617,-0.014725230634212494,0.00038934789608902065,0.0002487712,96,-0.503630518913269,0.09950848000000001,0.0026016366,-1.58105103764683e-05,,,-1.0400002,3056.0,-21.0,3056.0
47,25600,534,25,,,,,,,,,,,3407.1666666666665,-99.14166675000001,,,,
49,26624,542,26,0.095703125,-1.4012083113193512,-0.016213757917284966,0.00040814378508002847,0.00024872,100,-0.8723629713058472,0.09948800000000001,0.0039729383,-0.0017794047598727047,3392.576923076923,-91.6602565,,,,
50,27648,550,27,0.129638671875,-1.4377256259322166,-0.01862255483865738,0.0013441219525702763,0.0002486688,104,0.9190384745597839,0.09946752,0.0025158403,-0.002557782514486462,3397.8709677419356,-77.04301083870968,,,,
51,28672,557,28,0.14697265625,-1.4153155088424683,0.031555838882923126,0.05401932343374938,0.0002486176,108,0.4583251476287842,0.09944704,0.003115534,-0.0011851841118186712,3396.90625,-74.66875009375,,,,
52,29696,564,29,0.073974609375,-1.4620581343770027,-0.011152426712214947,0.0019216871432945482,0.0002485664,112,0.7904713749885559,0.09942656,0.0027190747,-0.001777782163117081,3396.90625,-74.66875009375,,,,
53,30720,571,30,0.103515625,-1.454863153398037,-0.007973099127411842,0.0004152282858740364,0.0002485152,116,-0.9921061992645264,0.09940608000000001,0.0032999003,-0.00023224740289151669,3396.90625,-74.66875009375,,,,
54,31744,578,31,0.03173828125,-1.458750642836094,-0.015395513735711575,0.0001711270219857397,0.000248464,120,-1.367379903793335,0.0993856,0.0014642053,-0.0005831723683513701,3396.90625,-74.66875009375,,,,
56,32768,584,32,0.0576171875,-1.4797535762190819,-0.0145044457167387,0.0005154021862381342,0.0002484128,124,-2.794889450073242,0.09936512,0.002519698,-0.00021552835823968053,3396.90625,-74.66875009375,,,,
57,33792,589,33,0.089599609375,-1.5094044730067253,-0.011892654933035374,0.0007387998448393773,0.0002483616,128,-1.1173908710479736,0.09934464,0.0013429911,0.0009948155784513801,3379.027027027027,-64.87117127027027,,,,
58,34816,595,34,0.04345703125,-1.5427278280258179,-0.01941210962831974,0.0014913977902324405,0.0002483104,132,0.9098774194717407,0.09932416,0.00020251021,-0.0014976260135881603,3381.975,-60.11083345000001,,,,
59,35840,600,35,0.020751953125,-1.5313988029956818,0.00516220647841692,0.026129447207495105,0.00024825920000000004,136,0.5491876006126404,0.09930368,0.0027321791,-0.0004630688636098057,3381.975,-60.11083345000001,,,,
60,36864,606,36,0.04833984375,-1.5533302798867226,-0.01727515272796154,0.00015708105843259546,0.00024820800000000003,140,-0.5818767547607422,0.09928320000000002,0.001612515,-0.001650084217544645,3381.975,-60.11083345000001,,,,
61,37888,611,37,0.03955078125,-1.5588097721338272,-0.01744687184691429,0.00033779429327296384,0.00024815680000000003,144,-1.1798996925354004,0.09926272000000001,0.0009917966,-0.00017312925774604082,3381.975,-60.11083345000001,,,,
63,38912,616,38,0.0712890625,-1.5585449188947678,-0.014526622369885445,0.0002799898113607924,0.0002481056,148,-0.8151067495346069,0.09924224000000001,0.001240785,-0.000948458822676912,3381.975,-60.11083345000001,,,,
64,39936,620,39,0.099365234375,-1.5603582933545113,-0.01353912241756916,0.00019991603880953335,0.0002480544,152,-0.8516974449157715,0.09922176,0.0025538646,-0.0021256511681713164,3372.9545454545455,-54.741666795454556,,,,
65,40960,625,40,0.011962890625,-1.5608645752072334,-0.02133963629603386,0.003149840293190209,0.0002480032,156,0.7660266160964966,0.09920128,0.0020230133,-0.002595885584014468,3368.2978723404253,-51.3368795531915,,,,
66,41984,629,41,0.138916015625,-1.573296956717968,-0.016243498772382736,0.0008311558110563055,0.000247952,160,0.9378252625465393,0.09918080000000001,0.0028348197,-0.005214836564846337,3368.2978723404253,-51.3368795531915,,,,
67,43008,633,42,0.056640625,-1.5762981474399567,-0.01726178079843521,4.184142801477719e-05,0.0002479008,164,-0.6158547401428223,0.09916032000000001,0.0015747908,-0.0014418760547414422,3374.375,-50.37847233333334,,,,
69,44032,637,43,0.1953125,-1.538701392710209,-0.024043453857302666,0.0003873824500715273,0.0002478496,168,0.919599711894989,0.09913984,0.0024557011,-0.004826102463994175,3374.375,-50.37847233333334,,,,
70,45056,641,44,0.182373046875,-1.5028122141957283,-0.0022568178828805685,8.440156807409949e-05,0.0002477984,172,-0.8795531988143921,0.09911936,0.0059324615,-0.0006091391551308334,3374.375,-50.37847233333334,,,,
71,46080,645,45,0.0947265625,-1.4825255200266838,-0.012848636135458946,0.0002043648148628563,0.0002477472,176,-1.131143569946289,0.09909888,0.0013826273,-0.0002977533731609583,3367.94,-48.40600012000001,,,,
72,47104,649,46,0.093017578125,-1.5074599012732506,-0.021269427612423897,0.0004227419171911606,0.000247696,180,0.9350378513336182,0.09907840000000001,0.0020016846,-0.0015244864043779671,3364.962962962963,-44.90000012962964,,,,
73,48128,652,47,0.009765625,-1.5327038168907166,0.06600238382816315,0.12619169428944588,0.0002476448,184,0.32369744777679443,0.09905792000000001,0.0010024868,-0.000828168704174459,3360.7090909090907,-44.101818309090916,,,,
74,49152,656,48,0.04296875,-1.5195811539888382,-0.02209293097257614,0.0016392124961157606,0.0002475936,188,0.40178102254867554,0.09903744,0.0018385351,-0.002717253868468106,3359.5535714285716,-43.332142982142855,,,,
,50000,,,0.00439453125,-1.495118461549282,-0.019469980150461197,0.008948701029112271,0.0002475424,192,0.4999989867210388,0.09901696,0.0006022234,-0.002362743834964931,,,-2.4466668,3056.0,-21.0,3056.0
88,50176,566,49,,,,,,,,,,,3359.5535714285716,-43.332142982142855,,,,
89,51200,570,50,0.03076171875,-1.484926551580429,-0.014879177324473858,0.00025068190507226973,0.0002474912,196,-2.115457057952881,0.09899648,0.0008571965,-0.00034798061824403703,3359.5535714285716,-43.332142982142855,,,,
90,52224,574,51,0.043212890625,-1.4968177825212479,-0.016835657879710197,0.00031219700122164795,0.00024744,200,-2.047118902206421,0.09897600000000001,0.0020094155,-0.001175785146187991,3356.3333333333335,-42.58947380701754,,,,
92,53248,578,52,0.174072265625,-1.4620847702026367,-0.020679261535406113,0.007214110613631419,0.00024738879999999997,204,-1.796600580215454,0.09895552,0.0009779623,-0.0031961469212546945,3353.2241379310344,-41.96379322413794,,,,
93,54272,581,53,0.15087890625,-1.4923348799347878,-0.02066141366958618,0.0020522407407952414,0.0002473376,208,0.859862744808197,0.09893504,0.0030351041,-0.003407792770303786,3367.9523809523807,-38.80529112698413,,,,
94,55296,585,54,0.236572265625,-1.5192359760403633,-0.020172487944364548,0.004850064905895124,0.0002472864,212,0.7798500061035156,0.09891456,0.0070111547,-0.003437962324824184,3368.03125,-38.28229178125001,,,,
95,56320,588,55,0.169921875,-1.5730697438120842,-0.015151457861065865,0.0005340600730505685,0.0002472352,216,0.9696122407913208,0.09889408,0.002339647,-0.0019679403048940003,3368.03125,-38.28229178125001,,,,
96,57344,592,56,0.0732421875,-1.5844765976071358,-0.014099029824137688,0.0003001098792765333,0.000247184,220,-4.090092658996582,0.0988736,0.00095893926,-0.0009538725134916604,3368.03125,-38.28229178125001,,,,
97,58368,595,57,0.094970703125,-1.5671704411506653,-0.017071429640054703,0.00012482850036121818,0.0002471328,224,-0.7620973587036133,0.09885312000000002,0.005032983,0.0025182634126394987,3368.03125,-38.28229178125001,,,,
99,59392,599,58,0.033447265625,-1.5427771359682083,-0.016416439786553383,8.651049199670524e-05,0.0002470816,228,-2.8969388008117676,0.09883264000000001,0.00065614755,-0.0006793771462980658,3370.7384615384617,-37.70871806153847,,,,
100,60416,602,59,0.042724609375,-1.5534417778253555,-0.017059890553355217,0.0002463719115439744,0.0002470304,232,0.953471839427948,0.09881216000000001,0.0034595183,-0.0018067160272039473,3371.6714285714284,-35.10904774285715,,,,
