time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward
110,101,11264,11,0.09602951724082232,0.08217942714691162,0.00024948799999999997,0.0018816919,40,0.026615682989358902,-0.004320836276747286,-1.746901348233223,0.14453125,0.0997952,3483.0,-20.375,,,,
109,112,12288,12,0.11660117981955409,0.06006258726119995,0.0002494368,0.0021835794,44,0.02303510159254074,-0.0021258614724501967,-1.7392179444432259,0.0263671875,0.09977472,3483.0,-20.375,,,,
109,122,13312,13,0.10819218680262566,0.09516042470932007,0.0002493856,0.0031503877,48,0.02494114078581333,-0.0022931601124582812,-1.7449913397431374,0.077392578125,0.09975424000000001,3483.0,-20.375,,,,
108,131,14336,14,0.12985712895169854,0.10764318704605103,0.0002493344,0.0025570989,52,0.053909510374069214,-0.0009892865200527012,-1.7282272353768349,0.130615234375,0.09973376,3524.6923076923076,-20.307692307692307,,,,
108,141,15360,15,0.13590316101908684,0.05269700288772583,0.0002492832,0.001657076,56,0.042393870651721954,-0.0016134752077050507,-1.7463227063417435,0.038330078125,0.09971328000000002,3573.9333333333334,-20.2,,,,
107,151,16384,16,0.1280456054955721,0.05114102363586426,0.000249232,0.0020029938,60,0.05125297233462334,-0.0007890659617260098,-1.7282394170761108,0.09765625,0.09969280000000001,3573.9333333333334,-20.2,,,,
107,161,17408,17,0.10207985062152147,0.12589365243911743,0.0002491808,0.0012464458,64,0.03049711138010025,-0.001917223838972859,-1.7422054260969162,0.02587890625,0.09967232000000001,3647.5625,-20.0625,,,,
107,171,18432,18,0.09337265510112047,0.14291995763778687,0.0002491296,0.002872744,68,0.035310130566358566,-0.0007251537608681247,-1.742343120276928,0.043212890625,0.09965184,3647.5625,-20.0625,,,,
107,181,19456,19,0.07997103128582239,0.1580132246017456,0.0002490784,0.003838045,72,0.0380140095949173,-0.002522613824112341,-1.7329806089401245,0.162353515625,0.09963136,3647.5625,-20.0625,,,,
106,191,20480,20,0.11214640596881509,0.12739062309265137,0.0002490272,0.002591437,76,0.04150395840406418,-0.0026481940876692533,-1.7403080463409424,0.08056640625,0.09961088000000001,3647.5625,-20.0625,,,,
106,201,21504,21,0.12612703163176775,0.11726945638656616,0.000248976,0.0026717735,80,0.03240033611655235,-0.0025297182437498122,-1.7164042368531227,0.12890625,0.09959040000000001,3616.0,-20.11111111111111,,,,
106,211,22528,22,0.13392449216917157,0.11056435108184814,0.00024892480000000003,0.0023781331,84,0.056268543004989624,-0.0011647940773400478,-1.697461098432541,0.085693359375,0.09956992,3682.4761904761904,-20.0,,,,
106,221,23552,23,0.11342135816812515,0.20968836545944214,0.00024887360000000003,0.0023380732,88,0.04797070473432541,-0.0029707330249948427,-1.7116753682494164,0.16748046875,0.09954944,3705.913043478261,-20.0,,,,
106,231,24576,24,0.1039878586307168,0.17260199785232544,0.0002488224,0.0005514061,92,0.036049243062734604,-0.00013533879246097058,-1.7008648365736008,0.0009765625,0.09952896,3705.913043478261,-20.0,,,,
,,25000,,0.07299192366190255,0.3147966265678406,0.0002487712,0.0016960886,96,0.027193626388907433,-0.0009583395294612274,-1.700671836733818,0.031005859375,0.09950848000000001,,,3056.0,0.0,3056.0,-21.0
93,273,25600,25,,,,,,,,,,,3751.6666666666665,-19.916666666666668,,,,
93,283,26624,26,0.06410486157983541,0.3031507134437561,0.00024872,0.0028449064,100,0.015487410128116608,-0.001698624575510621,-1.6661112159490585,0.106201171875,0.09948800000000001,3751.6666666666665,-19.916666666666668,,,,
94,293,27648,27,0.045330180786550045,0.46827226877212524,0.0002486688,0.00090614054,104,0.0012651756405830383,-0.00014996741083450615,-1.6705556958913803,0.013916015625,0.09946752,3716.153846153846,-20.0,,,,
94,303,28672,28,0.07654614234343171,0.47657448053359985,0.0002486176,0.0014812348,108,0.017135053873062134,-0.001089170720661059,-1.6424769833683968,0.037109375,0.09944704,3677.0,-20.071428571428573,,,,
94,312,29696,29,0.11194723006337881,0.3328063488006592,0.0002485664,0.0016585867,112,0.027885019779205322,-0.00014296977315098047,-1.640249602496624,0.038330078125,0.09942656,3658.1724137931033,-20.103448275862068,,,,
95,322,30720,30,0.07396745961159468,0.4390262961387634,0.0002485152,0.0029668726,116,0.02083047479391098,-0.0018945126503240317,-1.638956069946289,0.0986328125,0.09940608000000001,3672.967741935484,-20.129032258064516,,,,
95,332,31744,31,0.07103236322291195,0.5146925449371338,0.000248464,0.0010179484,120,0.02529100887477398,-0.0006690736045129597,-1.63580734282732,0.039306640625,0.0993856,3672.967741935484,-20.129032258064516,,,,
95,342,32768,32,0.06135333748534322,0.3026089668273926,0.0002484128,0.004531799,124,0.006431128829717636,-0.0021074554315418936,-1.6409806683659554,0.11669921875,0.09936512,3682.65625,-20.09375,,,,
95,352,33792,33,0.07574184099212289,0.5393238067626953,0.0002483616,0.0010384014,128,0.009652405977249146,0.000472722778795287,-1.6289933994412422,0.016845703125,0.09934464,3665.939393939394,-20.12121212121212,,,,
96,362,34816,34,0.06726347608491778,0.5517135858535767,0.0002483104,0.0015233036,132,0.007937047630548477,-0.001250858447747305,-1.6263619139790535,0.039306640625,0.09932416,3657.235294117647,-20.11764705882353,,,,
96,372,35840,35,0.053407392697408795,0.5093935132026672,0.00024825920000000004,0.0021613522,136,0.0065843574702739716,-0.0012714437616523355,-1.6159332245588303,0.063720703125,0.09930368,3649.057142857143,-20.142857142857142,,,,
96,382,36864,36,0.06834462354891002,0.6108318567276001,0.00024820800000000003,0.0011089356,140,0.010470859706401825,-0.0014400308136828244,-1.5926917418837547,0.048583984375,0.09928320000000002,3641.0,-20.157894736842106,,,,
96,392,37888,37,0.05965480953454971,0.7920597791671753,0.00024815680000000003,0.00028289552,144,0.003933874890208244,0.00021463121811393648,-1.5747281312942505,0.010009765625,0.09926272000000001,3627.846153846154,-20.17948717948718,,,,
96,402,38912,38,0.04403058206662536,0.5523921251296997,0.0002481056,0.0028755905,148,0.0026825834065675735,-0.00217161828186363,-1.6197734326124191,0.11669921875,0.09924224000000001,3627.846153846154,-20.17948717948718,,,,
96,412,39936,39,0.061841404996812344,0.5335533618927002,0.0002480544,0.00061629695,152,0.011939551681280136,0.0005045718571636826,-1.6260602548718452,0.000732421875,0.09922176,3619.15,-20.2,,,,
96,422,40960,40,0.09089911542832851,0.561786413192749,0.0002480032,0.000847626,156,0.01948847994208336,4.632462514564395e-05,-1.62680222094059,0.001953125,0.09920128,3604.6190476190477,-20.214285714285715,,,,
97,432,41984,41,0.06337809818796813,0.7227588891983032,0.000247952,0.0034268517,160,0.003700803965330124,-0.0027572270191740245,-1.6469000354409218,0.09326171875,0.09918080000000001,3604.6190476190477,-20.214285714285715,,,,
97,442,43008,42,0.09171389928087592,0.41828101873397827,0.0002479008,0.0017694768,164,0.03286844491958618,-0.0007417571905534714,-1.625920943915844,0.0380859375,0.09916032000000001,3603.4883720930234,-20.209302325581394,,,,
97,452,44032,43,0.08640008373185992,0.5259606242179871,0.0002478496,0.002690204,168,0.01390845701098442,-0.0006883837340865284,-1.6389864310622215,0.077880859375,0.09913984,3600.276595744681,-20.25531914893617,,,,
97,462,45056,44,0.06792280939407647,0.7445293664932251,0.0002477984,0.0013167387,172,0.019359581172466278,-0.0002269584801979363,-1.6528251767158508,0.03955078125,0.09911936,3600.276595744681,-20.25531914893617,,,,
97,472,46080,45,0.10642498172819614,0.3771354556083679,0.0002477472,0.0049946327,176,0.02100382186472416,-0.0037050119135528803,-1.6440036967396736,0.156982421875,0.09909888,3597.75,-20.25,,,,
97,482,47104,46,0.032307019107975066,0.8007107973098755,0.000247696,0.001981866,180,-0.007453798316419125,-0.0005893913621548563,-1.63634192943573,0.03857421875,0.09907840000000001,3597.75,-20.25,,,,
97,491,48128,47,0.031099205021746457,0.7290018796920776,0.0002476448,0.0011773079,184,-0.0007208958268165588,-0.0008527931349817663,-1.6229516193270683,0.025634765625,0.09905792000000001,3605.183673469388,-20.244897959183675,,,,
97,502,49152,48,0.047288452042266726,0.7568210363388062,0.0002475936,0.0016452575,188,0.007896782830357552,-0.0015632381837349385,-1.5959924906492233,0.113037109375,0.09903744,3604.8823529411766,-20.235294117647058,,,,
,,50000,,0.0869323518127203,0.625308096408844,0.0002475424,0.0020911854,192,0.02206311747431755,-0.00043426458432804793,-1.6171244457364082,0.044677734375,0.09901696,,,3056.0,-0.1333334,3056.0,-21.0
92,544,50176,49,,,,,,,,,,,3600.3653846153848,-20.23076923076923,,,,
92,554,51200,50,0.05945140542462468,0.7573903799057007,0.0002474912,0.0019843837,196,0.007968442514538765,-0.0013779768050881103,-1.5853127092123032,0.072021484375,0.09899648,3599.890909090909,-20.21818181818182,,,,
92,563,52224,51,0.0717893373221159,0.7238495349884033,0.00024744,0.00094151276,200,0.012074382975697517,-0.0007814015552867204,-1.6039490401744843,0.021484375,0.09897600000000001,3591.5178571428573,-20.232142857142858,,,,
92,573,53248,52,0.09592443099245429,0.5182127952575684,0.00024738879999999997,0.0040417514,204,0.018229354172945023,-0.0010896629828494042,-1.57468943297863,0.151611328125,0.09895552,3591.5178571428573,-20.232142857142858,,,,
93,583,54272,53,0.029344252194277942,0.7129226326942444,0.0002473376,0.001913105,208,-0.010806409642100334,-0.0017973908397834748,-1.590883195400238,0.042236328125,0.09893504,3591.5178571428573,-20.232142857142858,,,,
93,593,55296,54,0.04754467308521271,0.7632334232330322,0.0002472864,0.0025062822,212,0.010870181955397129,-0.0015920602309051901,-1.5754452273249626,0.06494140625,0.09891456,3580.344827586207,-20.24137931034483,,,,
93,603,56320,55,0.04259547684341669,0.8435792922973633,0.0002472352,0.0039982954,216,0.002748701721429825,-0.0024102026800392196,-1.5346778854727745,0.19189453125,0.09889408,3575.9322033898306,-20.25423728813559,,,,
93,613,57344,56,0.04392601363360882,0.7717331647872925,0.000247184,0.0029890868,220,-0.005121774971485138,-0.00194320990704,-1.5334646552801132,0.12890625,0.0988736,3563.1803278688526,-20.278688524590162,,,,
93,623,58368,57,0.06860415101982653,0.781719446182251,0.0002471328,0.004781251,224,0.006847282871603966,-0.002921290142694488,-1.5710286349058151,0.262451171875,0.09885312000000002,3556.3492063492063,-20.26984126984127,,,,
93,633,59392,58,0.0636379448696971,0.6890326738357544,0.0002470816,0.0015151784,228,0.007379591464996338,-0.0009360050316900015,-1.5754727870225906,0.02490234375,0.09883264000000001,3553.390625,-20.265625,,,,
93,643,60416,59,0.1043410119600594,0.5593172311782837,0.0002470304,0.0025427171,232,0.030826352536678314,-0.001792680413927883,-1.5621304363012314,0.170166015625,0.09881216000000001,3553.390625,-20.265625,,,,
93,653,61440,60,0.04825709550641477,0.6707046031951904,0.0002469792,0.0029636167,236,0.0015441440045833588,-0.002585047077445779,-1.5837418287992477,0.11181640625,0.09879168,3549.1846153846154,-20.276923076923076,,,,
94,663,62464,61,0.1201528892852366,0.5129833817481995,0.000246928,0.002929999,240,0.035414475947618484,-0.0005416341591626406,-1.5898256823420525,0.057861328125,0.0987712,3545.1060606060605,-20.28787878787879,,,,
94,673,63488,62,0.07744498271495104,0.6401386260986328,0.0002468768,0.0013747478,244,0.0206973385065794,-0.0003222774394089356,-1.5952788293361664,0.004150390625,0.09875072000000001,3549.1323529411766,-20.264705882352942,,,,
94,683,64512,63,0.051027344074100256,0.7534148097038269,0.00024682560000000004,0.0020726318,248,0.006735082715749741,-0.0006642322114203125,-1.6118501648306847,0.0126953125,0.09873024000000001,3549.1323529411766,-20.264705882352942,,,,
94,693,65536,64,0.0974590303376317,0.49191999435424805,0.00024677440000000003,0.0028416794,252,0.02579043246805668,-0.0012420373386703432,-1.605542741715908,0.0615234375,0.09870976000000001,3563.9859154929577,-20.197183098591548,,,,
94,704,66560,65,0.05344431335106492,0.841856062412262,0.00024672320000000003,0.0029461866,256,0.00889676809310913,-0.0006060427476768382,-1.6182575598359108,0.138671875,0.09868928,3561.25,-20.194444444444443,,,,
94,714,67584,66,0.0438434686511755,0.6582702398300171,0.000246672,0.00347765,260,-0.0004788897931575775,-0.0032027106208261102,-1.5780422762036324,0.149658203125,0.0986688,3555.3561643835615,-20.205479452054796,,,,
94,724,68608,67,0.0394570977659896,0.7983984351158142,0.0002466208,0.002943714,264,-0.0005935858935117722,-0.00044241445721127093,-1.5906619727611542,0.070556640625,0.09864832000000001,3555.3561643835615,-20.205479452054796,,,,
94,734,69632,68,0.07547527621500194,0.6388063430786133,0.0002465696,0.0014118428,268,0.018322162330150604,-5.129285273142159e-05,-1.5831567645072937,0.0087890625,0.09862784000000001,3552.810810810811,-20.2027027027027,,,,
94,744,70656,69,0.04725962318480015,0.7671217918395996,0.0002465184,0.0037458325,272,0.008657541126012802,-0.000555134960450232,-1.571235530078411,0.075927734375,0.09860736,3547.8289473684213,-20.210526315789473,,,,
95,754,71680,70,0.052053483203053474,0.8127261996269226,0.0002464672,0.00092739513,276,0.002377888187766075,8.175951370503753e-05,-1.587826132774353,0.03076171875,0.09858688,3547.8289473684213,-20.210526315789473,,,,
95,764,72704,71,0.06801725132390857,0.6207894086837769,0.000246416,0.0018053134,280,0.014403837732970715,0.0006075769488234073,-1.581362023949623,0.0283203125,0.0985664,3543.721518987342,-20.227848101265824,,,,
95,774,73728,72,0.058060413459315896,0.7421237826347351,0.0002463648,0.0020605833,284,0.02673930674791336,-0.000483688767417334,-1.561352901160717,0.030029296875,0.09854592000000001,3550.6,-20.225,,,,
95,784,74752,73,0.10628931038081646,0.6189037561416626,0.0002463136,0.0015445352,288,0.029352422803640366,-0.0007907933468231931,-1.5566632226109505,0.020751953125,0.09852544,3550.6,-20.225,,,,
,,75000,,0.0863549467176199,0.456373929977417,0.0002462624,0.0026611222,292,0.023988548666238785,-0.0007108807767508551,-1.5271351635456085,0.04833984375,0.09850496,,,3056.0,-3028.9999998,3056.0,-21.0
91,826,75776,74,,,,,,,,,,,3555.4024390243903,-20.21951219512195,,,,
91,836,76800,75,0.057381861144676805,0.7661583423614502,0.0002462112,0.0038424437,296,0.012693626806139946,-0.0013105022662784904,-1.5491843968629837,0.098388671875,0.09848448,3552.9036144578313,-20.216867469879517,,,,
91,846,77824,76,0.04163523414172232,0.8811188340187073,0.00024616,0.0018782306,300,-0.00024196691811084747,-0.0007460659689968452,-1.5407905131578445,0.02490234375,0.098464,3552.9036144578313,-20.216867469879517,,,,
92,856,78848,77,0.04049186850897968,0.8588346242904663,0.0002461088,0.0015812487,304,0.0009903404861688614,-0.0016501735372003168,-1.5461660325527191,0.045654296875,0.09844352,3559.5,-20.209302325581394,,,,
92,866,79872,78,0.055346785578876734,0.8326418995857239,0.0002460576,0.0031787134,308,0.010724317282438278,-0.0018927158816950396,-1.5439087972044945,0.052001953125,0.09842304,3553.715909090909,-20.21590909090909,,,,
92,876,80896,79,0.05694348504766822,0.6980984210968018,0.00024600640000000003,0.0022081016,312,-0.0002678241580724716,-0.0014130716444924474,-1.5392755940556526,0.065185546875,0.09840256000000001,3553.715909090909,-20.21590909090909,,,,
92,886,81920,80,0.08507638005539775,0.3292000889778137,0.0002459552,0.0010707409,316,0.019619829952716827,-0.00038458447670564055,-1.543540358543396,0.015869140625,0.09838208000000001,3553.715909090909,-20.21590909090909,,,,
92,896,82944,81,0.06633394001983106,0.5745569467544556,0.000245904,0.0027078968,320,0.011547468602657318,-0.0008516321540810168,-1.5009318739175797,0.080078125,0.09836160000000001,3550.820224719101,-20.224719101123597,,,,
92,907,83968,82,0.053303799824789166,0.7354243993759155,0.0002458528,0.0013548345,324,0.009800842963159084,-0.0019429597596172243,-1.4967339113354683,0.056884765625,0.09834112,3553.1098901098903,-20.21978021978022,,,,
92,916,84992,83,0.04262129799462855,0.7170662879943848,0.0002458016,0.0025962384,328,-0.00553571991622448,-0.002133641261025332,-1.4806467965245247,0.09912109375,0.09832064000000001,3551.532608695652,-20.22826086956522,,,,
92,927,86016,84,0.07055981922894716,0.6554216146469116,0.0002457504,0.00048190315,332,0.011857450939714909,-8.31987417768687e-05,-1.5053733736276627,0.02880859375,0.09830016000000001,3548.7849462365593,-20.236559139784948,,,,
92,937,87040,85,0.10450748167932034,0.6140899658203125,0.0002456992,0.002344859,336,0.035252902656793594,-0.001327621313976124,-1.5207623317837715,0.056884765625,0.09827968000000001,3554.6702127659573,-20.22340425531915,,,,
92,947,88064,86,0.04074658441822976,0.8022708892822266,0.000245648,0.0035601617,340,-0.00666070356965065,-0.003562848607543856,-1.5261986032128334,0.171875,0.0982592,3564.7395833333335,-20.21875,,,,
93,957,89088,87,0.06369154457934201,0.6695384979248047,0.0002455968,0.0016140882,344,0.012608975172042847,-0.0009951998363249004,-1.5507753044366837,0.061767578125,0.09823872,3563.7525773195875,-20.22680412371134,,,,
93,967,90112,88,0.05544702312909067,0.6334561109542847,0.0002455456,0.0035558983,348,0.009492779150605202,-0.0023921986867208034,-1.5433769524097443,0.117431640625,0.09821824000000001,3559.3367346938776,-20.23469387755102,,,,
93,977,91136,89,0.03462837741244584,0.7851142883300781,0.0002454944,0.0012528854,352,-0.006310764700174332,-0.00065357651328668,-1.527283139526844,0.01171875,0.09819776000000001,3561.3636363636365,-20.242424242424242,,,,
93,987,92160,90,0.06333747343160212,0.7178834080696106,0.0002454432,0.0015851401,356,0.01913945935666561,-0.0008493308851029724,-1.5251493602991104,0.0224609375,0.09817728,3557.6,-20.25,,,,
93,997,93184,91,0.0743180529680103,0.6530541181564331,0.000245392,0.0018244006,360,0.00786512903869152,-0.0010984368491335772,-1.5305320546030998,0.099365234375,0.0981568,3557.6,-20.25,,,,
