time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward
444,1,2,1024,,,,,,,,,,,,,,,,
530,2,3,2048,0.2509371666237712,0.0002499488,0.0032293121,-1.7898560836911201,0.026351293548941612,4,-0.024586796760559082,0.09997952,-0.0047506390837952495,0.0625,,,,,,
630,3,4,3072,0.11343147326260805,0.0002498976,0.0007622113,-1.7883349433541298,0.027974030002951622,8,0.001531362533569336,0.09995904,-0.0011896991054527462,0.0,,,,,,
696,4,5,4096,0.12300782045349479,0.0002498464,0.0008526988,-1.7885384038090706,0.029892250895500183,12,0.003136754035949707,0.09993856000000001,-0.0013381826865952462,0.0,,,,,,
742,5,6,5120,0.13391325157135725,0.0002497952,0.0017859564,-1.786634773015976,0.03608473390340805,16,0.003572702407836914,0.09991808,-0.001607585872989148,0.0,,,,,,
776,6,7,6144,0.12645095493644476,0.000249744,0.0025682356,-1.777845822274685,0.04939637333154678,20,0.00817042589187622,0.0998976,-0.0007899462943896651,0.063720703125,,,,,,
800,7,8,7168,0.124392444267869,0.0002496928,0.0021639154,-1.7802086770534515,0.049827419221401215,24,0.013266801834106445,0.09987712,-0.0018895554239861667,0.0615234375,-20.75,3389.0,,,,
820,8,9,8192,0.09844027180224657,0.0002496416,0.0014361467,-1.7800560891628265,0.038903944194316864,28,-0.04506397247314453,0.09985664,-0.0006550144462380558,0.0224609375,-20.4,3499.6,,,,
837,9,11,9216,0.10296445898711681,0.0002495904,0.0014618756,-1.7788027748465538,0.03447657823562622,32,0.013062238693237305,0.09983616000000001,-0.0015633687726221979,0.055419921875,-20.333333333333332,3648.0,,,,
851,10,12,10240,0.09521713061258197,0.00024953919999999997,0.0005405528,-1.7808665111660957,0.034508295357227325,36,0.042509377002716064,0.09981568,-0.0002004588022828102,0.0,-19.875,3935.875,,,,
863,11,13,11264,0.12316918233409524,0.00024948799999999997,0.0013227435,-1.7786994203925133,0.048322319984436035,40,0.07474851608276367,0.0997952,-0.0023441665980499238,0.0,-19.875,3935.875,,,,
873,12,14,12288,0.10873149149119854,0.0002494368,0.0022756504,-1.7687298357486725,0.028998449444770813,44,0.053996503353118896,0.09977472,-0.0017479198286309838,0.030517578125,-19.875,3935.875,,,,
882,13,15,13312,0.11224237643182278,0.0002493856,0.003192057,-1.7645730823278427,0.029279716312885284,48,0.08954131603240967,0.09975424000000001,-0.002979286975460127,0.07080078125,-20.0,3846.4444444444443,,,,
889,14,16,14336,0.10992974322289228,0.0002493344,0.0026571534,-1.7725121825933456,0.039484746754169464,52,0.09925276041030884,0.09973376,-0.0013817072904203087,0.080078125,-20.0,3850.3636363636365,,,,
895,15,17,15360,0.08485352760180831,0.0002492832,0.0012701061,-1.7758753076195717,0.0321003720164299,56,0.1864977478981018,0.09971328000000002,-0.0003630832361523062,0.0,-20.076923076923077,3834.6153846153848,,,,
900,16,18,16384,0.09086446417495608,0.000249232,0.0025323709,-1.7665248736739159,0.038378965109586716,60,0.13700348138809204,0.09969280000000001,-0.002015715406741947,0.038330078125,-20.133333333333333,3781.733333333333,,,,
906,17,19,17408,0.11730829114094377,0.0002491808,0.00091974624,-1.7610188201069832,0.04255843162536621,64,0.006698906421661377,0.09967232000000001,-0.0004850653640460223,0.0,-20.125,3775.0625,,,,
911,18,20,18432,0.09284072043374181,0.0002491296,0.0018088985,-1.7607296034693718,0.029359744861721992,68,0.14007484912872314,0.09965184,-0.001817320560803637,0.038330078125,-20.125,3775.0625,,,,
915,19,21,19456,0.10484365979209542,0.0002490784,0.0020945128,-1.7511425241827965,0.033732715994119644,72,0.15300244092941284,0.09963136,-0.0016332411905750632,0.094482421875,-20.125,3775.0625,,,,
920,20,22,20480,0.08287408808246255,0.0002490272,0.0010983443,-1.7459542527794838,0.014445642940700054,76,0.2802925109863281,0.09961088000000001,-0.0008842513780109584,0.00146484375,-20.125,3775.0625,,,,
923,21,23,21504,0.07147142291069031,0.000248976,0.0010223712,-1.7520954832434654,0.017039084807038307,80,0.3007305860519409,0.09959040000000001,-0.0011444022820796818,0.0,-20.166666666666668,3766.4444444444443,,,,
926,22,24,22528,0.14811360836029053,0.00024892480000000003,0.0024590106,-1.759609878063202,0.05116058886051178,84,0.2573944926261902,0.09956992,-0.001577563351020217,0.045654296875,-20.157894736842106,3759.157894736842,,,,
928,23,25,23552,0.0727580995298922,0.00024887360000000003,0.0014446318,-1.757195346057415,0.01439967192709446,88,0.5180811882019043,0.09954944,-0.00022618932416662574,0.000732421875,-20.181818181818183,3794.9545454545455,,,,
931,24,26,24576,0.07568933395668864,0.0002488224,0.0011141608,-1.754863202571869,0.014178453013300896,92,0.432282030582428,0.09952896,0.00027033407241106033,0.01513671875,-20.217391304347824,3804.5652173913045,,,,
,,,25000,0.12130397884175181,0.0002487712,0.0025756601,-1.7607124522328377,0.06255774199962616,96,0.20134711265563965,0.09950848000000001,-0.002024743123911321,0.068359375,,,3056.0,0.0,3056.0,-21.0
637,25,40,25600,,,,,,,,,,,-20.208333333333332,3816.9166666666665,,,,
646,26,41,26624,0.06389393168501556,0.00024872,0.0018050415,-1.7664099857211113,0.008795039728283882,100,0.4706239700317383,0.09948800000000001,-0.0012955082347616553,0.031982421875,-20.208333333333332,3816.9166666666665,,,,
655,27,42,27648,0.03735553892329335,0.0002486688,0.00067357183,-1.767871506512165,-0.005047934129834175,104,0.6729423999786377,0.09946752,-0.0002522717113606632,0.0,-20.208333333333332,3816.9166666666665,,,,
663,28,43,28672,0.03207687009125948,0.0002486176,0.00054086384,-1.7697221338748932,-0.010265979915857315,108,0.6768090724945068,0.09944704,-0.00040483100747223943,0.0,-20.26923076923077,3802.3846153846152,,,,
670,29,44,29696,0.03793577919714153,0.0002485664,0.0030924038,-1.7645888552069664,-0.000616811215877533,112,0.7423168420791626,0.09942656,-0.0015885434113442898,0.095947265625,-20.275862068965516,3756.9310344827586,,,,
678,30,45,30720,0.048436209093779325,0.0002485152,0.0032029294,-1.7553385347127914,-0.0011291839182376862,116,0.7344132661819458,0.09940608000000001,-0.002323856926523149,0.10302734375,-20.29032258064516,3723.6451612903224,,,,
685,31,46,31744,0.07282297126948833,0.000248464,0.0020410381,-1.7574724107980728,0.0068070534616708755,120,0.5445239543914795,0.0993856,-0.0010522327793296427,0.104736328125,-20.29032258064516,3723.6451612903224,,,,
692,32,47,32768,0.07648022659122944,0.0002484128,0.0018963884,-1.7370977997779846,0.02602221444249153,124,0.33454835414886475,0.09936512,-0.0009891955996863544,0.0673828125,-20.28125,3711.96875,,,,
698,33,48,33792,0.051259622909128666,0.0002483616,0.0013826059,-1.744219608604908,0.0036612506955862045,128,0.5573893785476685,0.09934464,-0.001226494088768959,0.038818359375,-20.28125,3711.96875,,,,
705,34,49,34816,0.04833503789268434,0.0002483104,0.0008836024,-1.7435949966311455,0.013758206740021706,132,0.5447288155555725,0.09932416,-0.0008164669270627201,0.0,-20.303030303030305,3694.3636363636365,,,,
710,35,50,35840,0.037258982891216874,0.00024825920000000004,0.0017029238,-1.7478322610259056,-0.0071113258600234985,136,0.8026049137115479,0.09930368,-0.0012537969159893692,0.006103515625,-20.323529411764707,3689.9411764705883,,,,
716,36,51,36864,0.035052798106335104,0.00024820800000000003,0.0024317359,-1.7227773219347,-0.003258129581809044,140,0.772730827331543,0.09928320000000002,-0.0023067030706442893,0.120849609375,-20.394736842105264,3649.6052631578946,,,,
721,37,52,37888,0.10003406088799238,0.00024815680000000003,0.0013633315,-1.7362987846136093,0.028983641415834427,144,0.6772104501724243,0.09926272000000001,-0.0010247400496155024,0.005615234375,-20.41025641025641,3662.4871794871797,,,,
727,38,53,38912,0.08065692195668817,0.0002481056,0.0016703091,-1.7237830236554146,0.022963428869843483,148,0.49279195070266724,0.09924224000000001,-0.0010205340222455561,0.025390625,-20.425,3653.325,,,,
732,39,54,39936,0.07237425958737731,0.0002480544,0.00075305137,-1.7312841415405273,0.013488924130797386,152,0.4576895833015442,0.09922176,-0.00016562981181778014,0.0,-20.425,3653.325,,,,
737,40,55,40960,0.07746455492451787,0.0002480032,0.0014358149,-1.717312566936016,0.01111537590622902,156,0.32388293743133545,0.09920128,-0.001336970366537571,0.03515625,-20.425,3653.325,,,,
742,41,56,41984,0.03029887902084738,0.000247952,0.002432215,-1.7033409103751183,-0.008394446223974228,160,0.7506890892982483,0.09918080000000001,-0.0014556791866198182,0.023193359375,-20.414634146341463,3652.1951219512193,,,,
746,42,57,43008,0.055618731770664454,0.0002479008,0.0023028099,-1.7099029645323753,0.008528517559170723,164,0.8133963942527771,0.09916032000000001,-0.0008138491248246282,0.033935546875,-20.41860465116279,3642.5116279069766,,,,
750,43,58,44032,0.07818440697155893,0.0002478496,0.0013588539,-1.6947569251060486,0.021425599232316017,168,0.5926307439804077,0.09913984,-0.00039185647619888186,0.0,-20.444444444444443,3642.7555555555555,,,,
754,44,59,45056,0.09212716622278094,0.0002477984,0.00212558,-1.6873206496238708,0.03108884021639824,172,0.6066972017288208,0.09911936,-0.0008266950899269432,0.049560546875,-20.4468085106383,3639.0425531914893,,,,
759,45,60,46080,0.06145863723941147,0.0002477472,0.0018963353,-1.6586010083556175,0.012369340285658836,176,0.7044045925140381,0.09909888,-0.0012078315194230527,0.056396484375,-20.458333333333332,3641.6458333333335,,,,
763,46,61,47104,0.07661850331351161,0.000247696,0.0042651785,-1.6749486327171326,0.020909005776047707,180,0.3636623024940491,0.09907840000000001,-0.0021415602532215416,0.12109375,-20.458333333333332,3641.6458333333335,,,,
767,47,62,48128,0.053739334689453244,0.0002476448,0.0029166923,-1.6656846329569817,0.005257973447442055,184,0.5601691007614136,0.09905792000000001,-0.00273895135615021,0.087890625,-20.458333333333332,3641.6458333333335,,,,
770,48,63,49152,0.02908996748737991,0.0002475936,0.0021913769,-1.680243231356144,-0.007953270338475704,188,0.703650712966919,0.09903744,-0.0012785725120920688,0.066650390625,-20.46938775510204,3639.6530612244896,,,,
,,,50000,0.037618204834870994,0.0002475424,0.0035297368,-1.6869280561804771,-0.010370766744017601,192,0.7876378297805786,0.09901696,-0.0022224544954951853,0.1123046875,,,3056.0,-408.525,3056.0,-21.0
648,49,77,50176,,,,,,,,,,,-20.49056603773585,3623.377358490566,,,,
653,50,78,51200,0.0581831862218678,0.0002474912,0.0018713677,-1.675247572362423,0.014261489734053612,196,0.8387196063995361,0.09899648,-0.0004679172416217625,0.05419921875,-20.48148148148148,3618.277777777778,,,,
657,51,79,52224,0.07110289041884243,0.00024744,0.0020340728,-1.6755172088742256,0.006682904437184334,200,0.6014429330825806,0.09897600000000001,-0.0015225113602355123,0.072998046875,-20.464285714285715,3612.1785714285716,,,,
661,52,80,53248,0.06812013778835535,0.00024738879999999997,0.0010132168,-1.6616940051317215,0.015760863199830055,204,0.800697922706604,0.09895552,-0.001084132440155372,0.065673828125,-20.464285714285715,3612.1785714285716,,,,
666,53,81,54272,0.044719201512634754,0.0002473376,0.0042260857,-1.6560054793953896,0.008066294714808464,208,0.525351881980896,0.09893504,-0.0015313081676140428,0.127685546875,-20.464285714285715,3612.1785714285716,,,,
670,54,82,55296,0.03299056808464229,0.0002472864,0.0029861885,-1.6293636709451675,-0.004297325387597084,212,0.6426132917404175,0.09891456,-0.0020013742614537477,0.062255859375,-20.464285714285715,3612.1785714285716,,,,
674,55,83,56320,0.029864486888982356,0.0002472352,0.003190917,-1.5967223793268204,-0.0044658128172159195,216,0.856583297252655,0.09889408,-0.001944094809005037,0.146728515625,-20.482758620689655,3599.206896551724,,,,
678,56,84,57344,0.03836749214679003,0.000247184,0.003935655,-1.5928920358419418,0.0034698452800512314,220,0.8518211841583252,0.0988736,-0.0013916637108195573,0.069091796875,-20.508196721311474,3594.065573770492,,,,
681,57,85,58368,0.06521857040934265,0.0002471328,0.0023043216,-1.5864627808332443,0.01722913235425949,224,0.7613146901130676,0.09885312000000002,-0.0023621811997145414,0.04345703125,-20.523809523809526,3586.3809523809523,,,,
685,58,86,59392,0.08273307513445616,0.0002470816,0.0016039335,-1.5683478340506554,0.023224875330924988,228,0.6540851593017578,0.09883264000000001,-0.0012016117107123137,0.04443359375,-20.53125,3581.90625,,,,
689,59,87,60416,0.04497816227376461,0.0002470304,0.0009296806,-1.536134697496891,0.009167484939098358,232,0.704641580581665,0.09881216000000001,-0.0006247518467716873,0.174560546875,-20.53125,3581.90625,,,,
692,60,88,61440,0.07136312103830278,0.0002469792,0.0021427604,-1.52513038367033,0.003293631598353386,236,0.4189600348472595,0.09879168,-0.0019005841459147632,0.0615234375,-20.53125,3581.90625,,,,
696,61,89,62464,0.033556368201971054,0.000246928,0.0027502885,-1.4956316873431206,-0.00870585162192583,240,0.6986773014068604,0.0987712,-0.001350263599306345,0.091064453125,-20.53125,3581.90625,,,,
699,62,90,63488,0.05169643345288932,0.0002468768,0.0059201205,-1.5072602182626724,0.0006971685215830803,244,0.7878552675247192,0.09875072000000001,-0.0020916344365105033,0.235595703125,-20.55072463768116,3561.5652173913045,,,,
702,63,91,64512,0.054192597744986415,0.00024682560000000004,0.0027656516,-1.5647960379719734,0.0036142822355031967,248,0.813589334487915,0.09873024000000001,-0.0028268261230550706,0.11572265625,-20.549295774647888,3554.450704225352,,,,
706,64,92,65536,0.061513827880844474,0.00024677440000000003,0.00177604,-1.5803098678588867,0.012675276957452297,252,0.7422568798065186,0.09870976000000001,-0.0009606759413145483,0.047607421875,-20.549295774647888,3554.450704225352,,,,
