time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_ep_length
1,1024,2,362,,,,,,,,,,,,,,,,
2,2048,13,151,0.024363553151488304,-1.7905218973755836,-0.01952981948852539,0.225933778565377,4,0.09997952,0.040771484375,-0.0016763221647124738,0.0021665061,0.0002499488,,,,,,
3,3072,23,131,0.028689641505479813,-1.790348008275032,0.0026993155479431152,0.11579833598807454,8,0.09995904,0.0,-0.000644142332021147,0.00061228825,0.0002498976,,,,,,
4,4096,33,122,0.036821600049734116,-1.7911515906453133,0.0049839019775390625,0.13527790969237685,12,0.09993856000000001,0.0,-0.00019244827853981405,0.00015602907,0.0002498464,,,,,,
5,5120,43,117,0.03944561257958412,-1.791037268936634,0.0038638710975646973,0.1349272900260985,16,0.09991808,0.0,-0.000549601943930611,0.00035027385,0.0002497952,,,,,,
6,6144,53,114,0.029382355511188507,-1.7896865755319595,0.008630096912384033,0.10597316920757294,20,0.0998976,0.0,0.00011220798478461802,0.0004594702,0.000249744,-21.0,3056.0,,,,
7,7168,63,113,0.035653579980134964,-1.7882194742560387,0.008322000503540039,0.117157815489918,24,0.09987712,0.0,-0.0007739691209280863,0.00078642066,0.0002496928,-21.0,3303.8,,,,
8,8192,73,111,0.02746010012924671,-1.7866604998707771,0.022289156913757324,0.08835443807765841,28,0.09985664,0.023681640625,-0.0017046587308868766,0.002166829,0.0002496416,-20.75,3480.25,,,,
9,9216,83,110,0.027587484568357468,-1.7837103977799416,0.04609084129333496,0.09306410374119878,32,0.09983616000000001,0.0,-0.000311055569909513,0.0008355176,0.0002495904,-20.75,3480.25,,,,
10,10240,93,109,0.038509100675582886,-1.7730702310800552,0.030061721801757812,0.11554726120084524,36,0.09981568,0.0830078125,-0.0029575969674624503,0.0021796296,0.00024953919999999997,-20.75,3480.25,,,,
11,11264,103,108,0.029450954869389534,-1.7747963145375252,0.06511080265045166,0.10232636844739318,40,0.0997952,0.01953125,-0.0005187071801628917,0.0016711439,0.00024948799999999997,-20.75,3480.25,,,,
12,12288,113,108,0.019109146669507027,-1.7708232402801514,0.13677847385406494,0.08959884103387594,44,0.09977472,0.008056640625,-0.0003020667645614594,0.0013333054,0.0002494368,-20.75,3480.25,,,,
13,13312,123,108,0.04025379940867424,-1.7709794119000435,0.13791054487228394,0.11082404479384422,48,0.09975424000000001,0.013916015625,-0.0010696480894694105,0.0010436496,0.0002493856,-20.8,3428.2,,,,
14,14336,133,107,0.021351633593440056,-1.7668885812163353,0.20735204219818115,0.08560744812712073,52,0.09973376,0.1201171875,-0.004235413682181388,0.0026993528,0.0002493344,-20.818181818181817,3416.181818181818,,,,
15,15360,143,107,0.016090651974081993,-1.7616466581821442,0.15184909105300903,0.08529190951958299,56,0.09971328000000002,0.0703125,-0.0018374708597548306,0.002830993,0.0002492832,-20.666666666666668,3491.3333333333335,,,,
16,16384,153,106,0.025606639683246613,-1.749233640730381,0.1766766905784607,0.1014525811187923,60,0.09969280000000001,0.07958984375,-0.0020253987167961895,0.0022364692,0.000249232,-20.6875,3544.5625,,,,
17,17408,163,106,0.040875740349292755,-1.739585094153881,0.1745617389678955,0.10428517311811447,64,0.09967232000000001,0.119140625,-0.002127029816620052,0.0033820525,0.0002491808,-20.6875,3544.5625,,,,
18,18432,173,106,0.028635866940021515,-1.7384988144040108,0.34671396017074585,0.07636499451473355,68,0.09965184,0.06689453125,-0.0008265265496447682,0.0027755776,0.0002491296,-20.6875,3544.5625,,,,
19,19456,183,106,0.014529366046190262,-1.7330627664923668,0.40331166982650757,0.07486261986196041,72,0.09963136,0.098388671875,-0.0023496156209148467,0.004531226,0.0002490784,-20.705882352941178,3530.176470588235,,,,
20,20480,193,105,0.007023351266980171,-1.7208650261163712,0.48734766244888306,0.06032163859345019,76,0.09961088000000001,0.0,-0.00025755923707038164,0.0010826424,0.0002490272,-20.68421052631579,3517.4210526315787,,,,
