time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/entropy_loss,train/loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_object_reward
362,1024,2,1,,,,,,,,,,,,,,,,
152,2048,13,2,-1.7902107760310173,0.020798616111278534,0.2088436116464436,0.09997952,-0.012323141098022461,-0.0038400062185246497,4,0.0023241537,0.0002499488,0.042724609375,,,,,,
129,3072,23,3,-1.7889890223741531,0.038361504673957825,0.12348981015384197,0.09995904,0.006215095520019531,-0.0004007222014479339,8,0.00033941073,0.0002498976,0.0,,,,,,
122,4096,33,4,-1.7902391701936722,0.040154799818992615,0.1426384039223194,0.09993856000000001,0.005311548709869385,-0.0007923173034214415,12,0.0003915656,0.0002498464,0.0,,,,,,
118,5120,43,5,-1.7889950796961784,0.027476094663143158,0.11238716216757894,0.09991808,0.009116590023040771,0.00012281652016099542,16,0.00022383448,0.0002497952,0.0,,,,,,
115,6144,53,6,-1.7876612767577171,0.03810209035873413,0.11868795659393072,0.0998976,0.008743107318878174,4.665368760470301e-05,20,0.00069472514,0.000249744,0.0,,,,,,
113,7168,63,7,-1.7835213392972946,0.04075456038117409,0.11185304122045636,0.09987712,0.018185198307037354,-0.0014460355159826577,24,0.001511134,0.0002496928,0.029296875,-20.666666666666668,3484.6666666666665,,,,
111,8192,73,8,-1.7794705629348755,0.03767804801464081,0.11324790772050619,0.09985664,-0.021691203117370605,-0.0015126826765481383,28,0.0027047456,0.0002496416,0.046875,-20.571428571428573,3689.0,,,,
110,9216,83,9,-1.7830790579319,0.05766545236110687,0.1291790036484599,0.09983616000000001,0.006384134292602539,-0.0005823913088534027,32,0.0007794131,0.0002495904,0.0,-20.25,3763.875,,,,
109,10240,93,10,-1.7789192646741867,0.05138559639453888,0.12388113373890519,0.09981568,0.006726622581481934,-0.001107811083784327,36,0.0012088151,0.00024953919999999997,0.0,-20.25,3763.875,,,,
