time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length
336,3,1,1024,,,,,,,,,,,,,,,,
144,14,2,2048,0.0029154867,0.4153360156342387,4,-0.005535609438084066,-0.046419739723205566,-1.789419136941433,0.09997952,0.071533203125,0.0002499488,0.013472326099872589,,,,,,
123,24,3,3072,0.00048801035,0.12808457715436816,8,-0.00010938116611214355,0.004009723663330078,-1.7890886887907982,0.09995904,0.0,0.0002498976,0.030999187380075455,,,,,,
113,36,4,4096,0.0002965993,0.1585179315879941,12,-0.00031085123191587627,0.0012944340705871582,-1.7901866734027863,0.09993856000000001,0.0,0.0002498464,0.05414385348558426,,,,,,
109,46,5,5120,0.00032978947,0.10327043104916811,16,3.111103433184326e-05,0.008526384830474854,-1.7901547029614449,0.09991808,0.0,0.0002497952,0.03322206065058708,,,,,,
106,57,6,6144,0.0006483015,0.12419776897877455,20,-0.0007876716845203191,0.015696942806243896,-1.789793610572815,0.0998976,0.0,0.000249744,0.03651253879070282,,,,,,
103,69,7,7168,0.0006643551,0.11348019074648619,24,-8.632594835944474e-05,0.021121323108673096,-1.7880658358335495,0.09987712,0.0,0.0002496928,0.03333791345357895,-21.0,3373.6666666666665,,,,
102,79,8,8192,0.0022596344,0.10247230622917414,28,-0.0016085554379969835,0.021723508834838867,-1.7837478443980217,0.09985664,0.029541015625,0.0002496416,0.023684153333306313,-20.571428571428573,3638.5714285714284,,,,
101,90,9,9216,0.002790251,0.09658200806006789,32,-0.0021554618142545223,0.029208362102508545,-1.7725920975208282,0.09983616000000001,0.060302734375,0.0002495904,0.03151912987232208,-20.5,3743.625,,,,
100,101,10,10240,0.0030970308,0.10945348301902413,36,-0.0010260088893119246,0.045582592487335205,-1.7606671899557114,0.09981568,0.06396484375,0.00024953919999999997,0.030262961983680725,-20.5,3743.625,,,,
99,112,11,11264,0.0021258828,0.12957691168412566,40,-0.00015421556599903852,0.02826911211013794,-1.749325804412365,0.0997952,0.02392578125,0.00024948799999999997,0.047271039336919785,-20.5,3743.625,,,,
99,123,12,12288,0.0011221272,0.13515346683561802,44,-0.0007611665059812367,0.025268614292144775,-1.7474235892295837,0.09977472,0.00537109375,0.0002494368,0.053329989314079285,-20.5,3743.625,,,,
99,133,13,13312,0.00096898206,0.10227080760523677,48,-0.0015789230819791555,0.07083410024642944,-1.7390010878443718,0.09975424000000001,0.0380859375,0.0002493856,0.034508898854255676,-20.5,3743.625,,,,
99,144,14,14336,0.0030956515,0.11058279173448682,52,-0.0006769872561562806,0.14109700918197632,-1.7290039137005806,0.09973376,0.0986328125,0.0002493344,0.022014133632183075,-20.454545454545453,3679.2727272727275,,,,
99,154,15,15360,0.0028078782,0.08974355086684227,56,-0.001733083016006276,0.19501686096191406,-1.731368213891983,0.09971328000000002,0.047119140625,0.0002492832,0.0319715291261673,-20.357142857142858,3674.3571428571427,,,,
98,165,16,16384,0.0032715548,0.0888938452117145,60,-0.002613698976347223,0.16522586345672607,-1.7247556000947952,0.09969280000000001,0.099609375,0.000249232,0.01683395355939865,-20.357142857142858,3674.3571428571427,,,,
98,176,17,17408,0.0012600082,0.09008709480985999,64,-0.001438523264368996,0.23393458127975464,-1.7298313453793526,0.09967232000000001,0.005615234375,0.0002491808,0.028109082952141762,-20.1875,3778.125,,,,
98,187,18,18432,0.00045663054,0.10110782459378242,68,-0.00021333133918233216,0.21334576606750488,-1.721369132399559,0.09965184,0.0,0.0002491296,0.027471302077174187,-20.1875,3778.125,,,,
98,197,19,19456,0.0014898151,0.0699274882208556,72,-0.0007569876033812761,0.3465452790260315,-1.7021262422204018,0.09963136,0.1025390625,0.0002490784,0.012331157922744751,-20.1875,3778.125,,,,
98,208,20,20480,0.0015073313,0.049785847309976816,76,-0.0006655192119069397,0.5239901542663574,-1.684493251144886,0.09961088000000001,0.052978515625,0.0002490272,0.008431600406765938,-20.1875,3778.125,,,,
98,218,21,21504,0.0021455395,0.059189738938584924,80,-0.0016103709931485355,0.6558552980422974,-1.644041657447815,0.09959040000000001,0.152587890625,0.000248976,-0.003920672461390495,-20.38095238095238,3666.5238095238096,,,,
98,229,22,22528,0.0010917417,0.12332626106217504,84,-0.0006412495567929,0.2429523468017578,-1.6439445838332176,0.09956992,0.02001953125,0.00024892480000000003,0.04146357253193855,-20.38095238095238,3666.5238095238096,,,,
98,239,23,23552,0.0016366928,0.0674692161846906,88,-0.0013286700705066323,0.3900189995765686,-1.6579905897378922,0.09954944,0.065673828125,0.00024887360000000003,0.0005376134067773819,-20.416666666666668,3657.8333333333335,,,,
98,250,24,24576,0.0016382821,0.1260023140348494,92,-1.5266676200553775e-05,0.13537174463272095,-1.665065124630928,0.09952896,0.06591796875,0.0002488224,0.04626697301864624,-20.416666666666668,3657.8333333333335,,,,
,,,25000,0.0017856006,0.07703106431290507,96,-0.002770072460407391,0.1804371476173401,-1.6378992572426796,0.09950848000000001,0.066650390625,0.0002487712,0.016871904954314232,,,-21.0,3056.0,-0.128,3056.0
87,293,25,25600,,,,,,,,,,,-20.416666666666668,3657.8333333333335,,,,
