time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
1024,2,366,1,,,,,,,,,,,,,,,,
2048,12,158,2,0.0029154867,0.0002499488,0.013472326099872589,4,0.071533203125,-0.005535609438084066,0.09997952,-0.046419739723205566,-1.789419136941433,0.4153360156342387,,,,,,
3072,23,132,3,0.00048801035,0.0002498976,0.030999187380075455,8,0.0,-0.00010938116611214355,0.09995904,0.004009723663330078,-1.7890886887907982,0.12808457715436816,,,,,,
4096,32,124,4,0.0002965993,0.0002498464,0.05414385348558426,12,0.0,-0.00031085123191587627,0.09993856000000001,0.0012944340705871582,-1.7901866734027863,0.1585179315879941,,,,,,
5120,42,120,5,0.00032978947,0.0002497952,0.03322206065058708,16,0.0,3.111103433184326e-05,0.09991808,0.008526384830474854,-1.7901547029614449,0.10327043104916811,,,,,,
6144,52,117,6,0.0006483015,0.000249744,0.03651253879070282,20,0.0,-0.0007876716845203191,0.0998976,0.015696942806243896,-1.789793610572815,0.12419776897877455,,,,,,
7168,62,114,7,0.0006643551,0.0002496928,0.03333791345357895,24,0.0,-8.632594835944474e-05,0.09987712,0.021121323108673096,-1.7880658358335495,0.11348019074648619,-21.0,3373.6666666666665,,,,
8192,72,113,8,0.0022596344,0.0002496416,0.023684153333306313,28,0.029541015625,-0.0016085554379969835,0.09985664,0.021723508834838867,-1.7837478443980217,0.10247230622917414,-20.571428571428573,3638.5714285714284,,,,
9216,82,112,9,0.002790251,0.0002495904,0.03151912987232208,32,0.060302734375,-0.0021554618142545223,0.09983616000000001,0.029208362102508545,-1.7725920975208282,0.09658200806006789,-20.5,3743.625,,,,
10240,92,111,10,0.0030970308,0.00024953919999999997,0.030262961983680725,36,0.06396484375,-0.0010260088893119246,0.09981568,0.045582592487335205,-1.7606671899557114,0.10945348301902413,-20.5,3743.625,,,,
11264,101,110,11,0.0021258828,0.00024948799999999997,0.047271039336919785,40,0.02392578125,-0.00015421556599903852,0.0997952,0.02826911211013794,-1.749325804412365,0.12957691168412566,-20.5,3743.625,,,,
12288,111,109,12,0.0011221272,0.0002494368,0.053329989314079285,44,0.00537109375,-0.0007611665059812367,0.09977472,0.025268614292144775,-1.7474235892295837,0.13515346683561802,-20.5,3743.625,,,,
13312,121,109,13,0.00096898206,0.0002493856,0.034508898854255676,48,0.0380859375,-0.0015789230819791555,0.09975424000000001,0.07083410024642944,-1.7390010878443718,0.10227080760523677,-20.5,3743.625,,,,
