time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2,1024,444,1,,,,,,,,,,,,,,,,
3,2048,531,2,0.09997952,0.0002499488,0.3771376581862569,0.031982421875,-1.7904182821512222,-0.001465513021685183,-0.015395760536193848,4,0.0016155087,0.01788654737174511,,,,,,
4,3072,631,3,0.09995904,0.0002498976,0.14646425563842058,0.059814453125,-1.7875043600797653,-0.003029251311090775,0.006200850009918213,8,0.002947495,0.051774878054857254,,,,,,
5,4096,696,4,0.09993856000000001,0.0002498464,0.1600512284785509,0.099365234375,-1.7737441509962082,-0.0030840825638733804,0.0030335187911987305,12,0.0036158925,0.04270134121179581,,,,,,
6,5120,743,5,0.09991808,0.0002497952,0.11501609114930034,0.0,-1.7737574949860573,-0.0004999756929464638,0.00844508409500122,16,0.0010197752,0.030662942677736282,,,,,,
7,6144,778,6,0.0998976,0.000249744,0.12652906961739063,0.014404296875,-1.7748702242970467,-0.0015098520671017468,0.010204017162322998,20,0.0023199643,0.030503027141094208,,,,,,
8,7168,802,7,0.09987712,0.0002496928,0.10747081786394119,0.0,-1.7824017405509949,-0.0011825328692793846,0.035365939140319824,24,0.0012516836,0.029745202511548996,-20.333333333333332,3463.0,,,,
9,8192,821,8,0.09985664,0.0002496416,0.1168653997592628,0.001708984375,-1.7829136401414871,-0.0012933212565258145,-0.016861438751220703,28,0.0011702025,0.027987023815512657,-19.833333333333332,3676.6666666666665,,,,
10,9216,838,9,0.09983616000000001,0.0002495904,0.10137347411364317,0.1083984375,-1.766642265021801,-0.001395932340528816,0.01728755235671997,32,0.003037272,0.023964641615748405,-19.875,3842.5,,,,
12,10240,852,10,0.09981568,0.00024953919999999997,0.0955691090784967,0.013916015625,-1.7651309445500374,-0.0012901080772280693,0.02768838405609131,36,0.0015745354,0.024812661111354828,-19.875,3842.5,,,,
13,11264,865,11,0.0997952,0.00024948799999999997,0.13541627349331975,0.0888671875,-1.7448007985949516,-0.0019169792940374464,0.02389359474182129,40,0.0021211023,0.04717326909303665,-19.875,3842.5,,,,
14,12288,875,12,0.09977472,0.0002494368,0.09712453838437796,0.083984375,-1.7306827828288078,-0.0026492440956644714,0.09444403648376465,44,0.0029189372,0.017591426149010658,-19.875,3842.5,,,,
15,13312,884,13,0.09975424000000001,0.0002493856,0.10310849733650684,0.0,-1.7238284945487976,-9.447352204006165e-05,0.0994216799736023,48,0.00072104717,0.034733615815639496,-20.0,3763.1111111111113,,,,
16,14336,890,14,0.09973376,0.0002493344,0.08486044639721513,0.02392578125,-1.727286472916603,-0.0008210867526941001,0.19791489839553833,52,0.002098158,0.029933007434010506,-20.166666666666668,3681.5833333333335,,,,
17,15360,897,15,0.09971328000000002,0.0002492832,0.09392003621906042,0.048828125,-1.7133887484669685,-0.00167328113457188,0.18321818113327026,56,0.002922568,0.03248825669288635,-20.23076923076923,3639.230769230769,,,,
18,16384,903,16,0.09969280000000001,0.000249232,0.0827772794291377,0.189453125,-1.6844052597880363,-0.00012427708134055138,0.12715458869934082,60,0.0029122296,0.02514246292412281,-20.266666666666666,3618.4666666666667,,,,
19,17408,908,17,0.09967232000000001,0.0002491808,0.09578390000388026,0.007080078125,-1.7149156779050827,-0.0012641216162592173,0.2512522339820862,64,0.00125412,0.022766288369894028,-20.25,3677.5625,,,,
20,18432,913,18,0.09965184,0.0002491296,0.06529668881557882,0.09716796875,-1.7384855449199677,-0.0016979635984171182,0.35408443212509155,68,0.0028744438,0.009439613670110703,-20.25,3677.5625,,,,
21,19456,918,19,0.09963136,0.0002490784,0.07298526237718761,0.15087890625,-1.723713219165802,-0.0032473478640895337,0.45130598545074463,72,0.0027106053,0.009694928303360939,-20.294117647058822,3645.4117647058824,,,,
22,20480,921,20,0.09961088000000001,0.0002490272,0.08611157722771168,0.10400390625,-1.7058143466711044,-0.0036500482237897813,0.39926546812057495,76,0.0024823034,0.0224287249147892,-20.36842105263158,3608.0526315789475,,,,
23,21504,925,21,0.09959040000000001,0.000248976,0.06742017297074199,0.011474609375,-1.6971387192606926,-0.00030043849255889654,0.44343453645706177,80,0.0013795685,0.02279544807970524,-20.428571428571427,3590.5238095238096,,,,
24,22528,928,22,0.09956992,0.00024892480000000003,0.0870008715428412,0.224365234375,-1.67344568669796,-0.002160254865884781,0.2869495749473572,84,0.0055435505,0.02995251677930355,-20.454545454545453,3569.6363636363635,,,,
25,23552,931,23,0.09954944,0.00024887360000000003,0.07672727154567838,0.169677734375,-1.665623776614666,-0.002583042427431792,0.2794603109359741,88,0.0034802738,0.01784694753587246,-20.47826086956522,3578.608695652174,,,,
26,24576,934,24,0.09952896,0.0002488224,0.08691549953073263,0.19091796875,-1.6627552881836891,-0.003628192382166162,0.36972278356552124,92,0.004701839,0.03388321399688721,-20.47826086956522,3578.608695652174,,,,
,25000,,,0.09950848000000001,0.0002487712,0.08558030007407069,0.0869140625,-1.6724874004721642,-0.0035500398371368647,0.24513471126556396,96,0.0018481307,0.024178821593523026,,,-21.0,3056.0,0.0,3056.0
40,25600,639,25,,,,,,,,,,,-20.416666666666668,3602.4166666666665,,,,
41,26624,648,26,0.09948800000000001,0.00024872,0.06196669233031571,0.10791015625,-1.6983319446444511,-0.002154571848222986,0.5014777779579163,100,0.0022123768,0.0061838701367378235,-20.44,3590.16,,,,
42,27648,657,27,0.09946752,0.0002486688,0.10316094709560275,0.0048828125,-1.7192253172397614,-0.00046600616769865155,0.3961600661277771,104,0.0015520583,0.022373083978891373,-20.444444444444443,3566.259259259259,,,,
43,28672,665,28,0.09944704,0.0002486176,0.07067290134727955,0.072509765625,-1.7128073275089264,-0.0028566697728820145,0.495797336101532,108,0.0032974132,0.010965423658490181,-20.448275862068964,3587.655172413793,,,,
44,29696,672,29,0.09942656,0.0002485664,0.07467672508209944,0.01806640625,-1.7178588584065437,-0.00034211864112876356,0.45141398906707764,112,0.0006112679,0.0178383681923151,-20.451612903225808,3575.967741935484,,,,
45,30720,680,30,0.09940608000000001,0.0002485152,0.0965169733390212,0.029541015625,-1.7150946259498596,-0.0016189719317480922,0.3255476951599121,116,0.0018678592,0.023743774741888046,-20.451612903225808,3575.967741935484,,,,
46,31744,687,31,0.0993856,0.000248464,0.08323557581752539,0.031005859375,-1.7056863903999329,-0.000680353376083076,0.27479076385498047,120,0.0011154411,0.016513235867023468,-20.451612903225808,3575.967741935484,,,,
47,32768,694,32,0.09936512,0.0002484128,0.0381540497764945,0.02294921875,-1.69514911621809,-0.0017918372177518904,0.5995655059814453,124,0.0026981519,-0.005049543455243111,-20.4375,3575.90625,,,,
48,33792,701,33,0.09934464,0.0002483616,0.05000702245160937,0.05126953125,-1.6793009340763092,-0.001401100045768544,0.6485549211502075,128,0.003440098,0.0045809391885995865,-20.454545454545453,3563.5454545454545,,,,
49,34816,707,34,0.09932416,0.0002483104,0.0626293821260333,0.0419921875,-1.6725327894091606,-0.0009752833866514266,0.6287397742271423,132,0.0016369337,0.022952675819396973,-20.47222222222222,3554.8611111111113,,,,
50,35840,713,35,0.09930368,0.00024825920000000004,0.08366074552759528,0.021240234375,-1.685910850763321,-0.0006023058376740664,0.6364085674285889,136,0.0015923592,0.02897493913769722,-20.47222222222222,3554.8611111111113,,,,
51,36864,718,36,0.09928320000000002,0.00024820800000000003,0.10324486251920462,0.12939453125,-1.6670481339097023,-0.0006125563522800803,0.2807345986366272,140,0.0038672406,0.0286687221378088,-20.46153846153846,3569.4615384615386,,,,
52,37888,724,37,0.09926272000000001,0.00024815680000000003,0.058419756358489394,0.18115234375,-1.6515360325574875,-0.0030525316251441836,0.6433532238006592,144,0.003117466,0.005276063457131386,-20.46153846153846,3569.4615384615386,,,,
53,38912,729,38,0.09924224000000001,0.0002481056,0.11438583116978407,0.079833984375,-1.6398680359125137,-0.0018273588502779603,0.08019429445266724,148,0.0020834801,0.026081718504428864,-20.46153846153846,3569.4615384615386,,,,
54,39936,735,39,0.09922176,0.0002480544,0.08983842330053449,0.014892578125,-1.6305141672492027,-0.0014466412249021232,0.3956272006034851,152,0.0012085629,0.03252580016851425,-20.46153846153846,3569.4615384615386,,,,
55,40960,740,40,0.09920128,0.0002480032,0.05416554142720997,0.061767578125,-1.614921621978283,-0.002688471518922597,0.5109018087387085,156,0.0034088653,0.00916895642876625,-20.463414634146343,3577.243902439024,,,,
56,41984,744,41,0.09918080000000001,0.000247952,0.07120719202794135,0.080322265625,-1.649111621081829,-0.0016487156972289085,0.5946229100227356,160,0.0033198704,0.003805665299296379,-20.441860465116278,3593.7906976744184,,,,
57,43008,749,42,0.09916032000000001,0.0002479008,0.06498167337849736,0.0751953125,-1.6658735945820808,-0.0038875449972692877,0.7843822836875916,164,0.0026224693,0.0059189945459365845,-20.444444444444443,3594.733333333333,,,,
58,44032,753,43,0.09913984,0.0002478496,0.09830638347193599,0.003173828125,-1.6686059832572937,-0.00014593364903703332,0.5788865089416504,168,0.00047875504,0.026964856311678886,-20.4468085106383,3599.0851063829787,,,,
59,45056,757,44,0.09911936,0.0002477984,0.05980793898925185,0.095703125,-1.6801977530121803,-0.002105241030221805,0.6379877328872681,172,0.0021539922,0.005454130470752716,-20.4468085106383,3599.0851063829787,,,,
60,46080,762,45,0.09909888,0.0002477472,0.05423492565751076,0.0498046875,-1.6958682760596275,-0.0018304208642803133,0.4785988926887512,176,0.0019171427,-0.006661087274551392,-20.4468085106383,3599.0851063829787,,,,
61,47104,766,46,0.09907840000000001,0.000247696,0.05609373142942786,0.000244140625,-1.6881312429904938,-0.0001858534524217248,0.5494080185890198,180,0.00071391737,0.003563918173313141,-20.4468085106383,3599.0851063829787,,,,
62,48128,769,47,0.09905792000000001,0.0002476448,0.06329226377420127,0.0966796875,-1.6843746602535248,-0.001801184203941375,0.6069285869598389,184,0.00255012,0.02156115509569645,-20.428571428571427,3592.8979591836733,,,,
63,49152,773,48,0.09903744,0.0002475936,0.06296403077431023,0.03076171875,-1.6651912033557892,-0.0017948764143511653,0.6133153438568115,188,0.0019010832,0.008842755109071732,-20.423076923076923,3585.0384615384614,,,,
,50000,,,0.09901696,0.0002475424,0.06427164049819112,0.087890625,-1.6766164004802704,-0.002320236002560705,0.701530933380127,192,0.0022021313,0.014574667438864708,,,-21.0,3056.0,-406.02500000000003,3056.0
77,50176,651,49,,,,,,,,,,,-20.433962264150942,3579.5849056603774,,,,
78,51200,656,50,0.09899648,0.0002474912,0.06380514148622751,0.107666015625,-1.6853896751999855,-0.001370761136058718,0.5703258514404297,196,0.003305066,0.003949547186493874,-20.418181818181818,3584.072727272727,,,,
79,52224,660,51,0.09897600000000001,0.00024744,0.0778328413143754,0.001220703125,-1.696860820055008,-0.00031603395473212004,0.5518332719802856,200,0.002158919,0.008981568738818169,-20.418181818181818,3584.072727272727,,,,
