time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length
428032,418,86,4964,0.0002286496,0.018191054463386536,0.077880859375,0.09145984000000001,-1.1949713975191116,0.0815902603790164,0.0013913489,0.5427911877632141,1668,-0.0023843942617531866,4459.8,-19.29,,,,
429056,419,86,4975,0.00022859840000000002,0.02792850323021412,0.12353515625,0.09143936000000001,-1.1776040345430374,0.08247791975736618,0.0015350303,0.5080145001411438,1672,0.0013848932576365769,4470.42,-19.29,,,,
430080,420,86,4985,0.00022854720000000002,0.023534126579761505,0.05517578125,0.09141888000000001,-1.1851555779576302,0.09149975003674626,0.0012178484,0.5424213409423828,1676,-0.0012365295260678977,4499.54,-19.27,,,,
431104,421,86,4998,0.00022849600000000002,0.015489930287003517,0.16650390625,0.0913984,-1.1257310584187508,0.06351496302522719,0.0031897777,0.6449013948440552,1680,-0.002759422466624528,4499.54,-19.27,,,,
432128,422,86,5010,0.0002284448,0.009660175070166588,0.07763671875,0.09137792,-1.172110877931118,0.05900390422903001,0.0016753899,0.6400417685508728,1684,-0.0006388259353116155,4542.7,-19.23,,,,
433152,423,86,5022,0.0002283936,0.020729389041662216,0.065673828125,0.09135744000000001,-1.1873040050268173,0.07104148692451417,0.0013479583,0.5344479084014893,1688,-0.0016799946315586567,4553.37,-19.23,,,,
434176,424,86,5033,0.0002283424,0.0201897993683815,0.095458984375,0.09133696000000001,-1.1549367606639862,0.07713532913476229,0.0021645934,0.31961148977279663,1692,7.086695404723287e-05,4553.37,-19.23,,,,
435200,425,86,5044,0.0002282912,0.018344024196267128,0.08837890625,0.09131648,-1.1389749646186829,0.07516176579520106,0.0012136216,0.32105565071105957,1696,-0.0013497090840246528,4553.37,-19.23,,,,
436224,426,86,5055,0.00022824,0.00784820131957531,0.024658203125,0.091296,-1.1537493169307709,0.06326743285171688,0.0007022806,0.4545077681541443,1700,-0.002157278184313327,4553.37,-19.23,,,,
437248,427,86,5067,0.0002281888,0.027270328253507614,0.024658203125,0.09127552,-1.1395043730735779,0.091384366620332,0.0010821846,0.3077436685562134,1704,-0.0008997249533422291,4556.63,-19.21,,,,
438272,428,86,5078,0.0002281376,0.01372196152806282,0.086181640625,0.09125504000000001,-1.1777887120842934,0.07252316898666322,0.0014875622,0.40371787548065186,1708,-0.00024244285305030644,4575.42,-19.2,,,,
439296,429,86,5089,0.0002280864,0.014725730754435062,0.074951171875,0.09123456,-1.1715130358934402,0.06845731753855944,0.0017583205,0.49392127990722656,1712,-0.002988875115988776,4575.42,-19.2,,,,
440320,430,86,5100,0.0002280352,0.025352448225021362,0.0390625,0.09121408,-1.1648866757750511,0.08259638864547014,0.0010582228,0.31078672409057617,1716,-0.0019124043465126306,4575.42,-19.2,,,,
441344,431,86,5111,0.000227984,0.0180523619055748,0.12744140625,0.0911936,-1.1377689093351364,0.0763373444788158,0.0028138566,0.44650179147720337,1720,-0.0038375328294932842,4575.42,-19.2,,,,
442368,432,86,5122,0.0002279328,0.02896142564713955,0.0400390625,0.09117312,-1.1860509738326073,0.10277040116488934,0.0008441654,0.43013709783554077,1724,-0.0009724446863401681,4624.12,-19.14,,,,
443392,433,86,5133,0.0002278816,0.002508305013179779,0.041015625,0.09115264000000001,-1.167768694460392,0.05667319102212787,0.002114661,0.6783571839332581,1728,-0.005205368448514491,4647.48,-19.1,,,,
444416,434,86,5144,0.0002278304,0.014249483123421669,0.059326171875,0.09113216,-1.136479027569294,0.05053915223106742,0.001134902,0.664232611656189,1732,-0.0014041052490938455,4675.12,-19.08,,,,
445440,435,86,5155,0.00022777920000000002,0.018259387463331223,0.045166015625,0.09111168000000001,-1.127757951617241,0.08713011955842376,0.0015955267,0.3468970060348511,1736,-0.0018395598162896931,4693.96,-19.08,,,,
446464,436,86,5167,0.00022772799999999999,0.012420492246747017,0.15087890625,0.0910912,-1.0882362723350525,0.06736107310280204,0.0025736562,0.5424920320510864,1740,-0.0027955172990914434,4693.96,-19.08,,,,
447488,437,86,5178,0.0002276768,0.01659238152205944,0.111083984375,0.09107072000000001,-1.0622019469738007,0.06760954204946756,0.0017118917,0.4225371479988098,1744,-0.003084003255935386,4693.96,-19.08,,,,
448512,438,86,5189,0.0002276256,0.025965463370084763,0.09375,0.09105024,-1.0306803062558174,0.07126733381301165,0.0014302239,0.3860780596733093,1748,-0.00023006834089756012,4693.96,-19.08,,,,
449536,439,86,5200,0.00022757440000000003,0.01158122532069683,0.0419921875,0.09102976000000002,-1.0692114606499672,0.07609293889254332,0.0013926915,0.5301340818405151,1752,-0.0017740378098096699,4693.96,-19.08,,,,
450000,,,,0.00022752320000000002,0.025320321321487427,0.067626953125,0.09100928000000001,-1.018057331442833,0.08049112418666482,0.0019269639,0.40800172090530396,1756,-0.0029402429063338786,,,-453.68999999999994,7142.0,-19.8,7142.0
450560,440,85,5287,,,,,,,,,,,4720.49,-19.03,,,,
451584,441,85,5300,0.00022747200000000002,0.021432582288980484,0.10498046875,0.09098880000000001,-1.0559858456254005,0.05776119418442249,0.0015615474,0.5857001543045044,1760,-0.001013598928693682,4720.49,-19.03,,,,
452608,442,85,5312,0.00022742080000000002,0.02397077903151512,0.095703125,0.09096832,-1.0277955867350101,0.08491915510967374,0.0018588547,0.3893412947654724,1764,-0.0033076874387916178,4755.45,-18.99,,,,
453632,443,85,5323,0.0002273696,0.011282913386821747,0.068359375,0.09094784,-1.0297079347074032,0.05142422020435333,0.0012960208,0.4920881390571594,1768,-0.0006033578829374164,4755.45,-18.99,,,,
454656,444,85,5333,0.0002273184,0.015743639320135117,0.06982421875,0.09092736000000001,-1.0017934888601303,0.0647314467933029,0.0015734065,0.4332566261291504,1772,-0.0020736441656481475,4763.35,-19.01,,,,
455680,445,85,5343,0.0002272672,0.011934494599699974,0.087890625,0.09090688000000001,-1.008853331208229,0.07212354778312147,0.002940105,0.48494958877563477,1776,-0.0025460478427703492,4792.77,-18.97,,,,
456704,446,85,5354,0.000227216,0.021399762481451035,0.1689453125,0.0908864,-1.0384543500840664,0.057549051474779844,0.0008584697,0.5636807680130005,1780,-3.531223046593368e-05,4810.41,-18.98,,,,
457728,447,85,5365,0.0002271648,0.021860245615243912,0.05810546875,0.09086592,-1.0152260027825832,0.07556406455114484,0.0021335604,0.5137932300567627,1784,-0.0026886439591180533,4876.96,-18.94,,,,
458752,448,85,5376,0.0002271136,0.006447424180805683,0.096923828125,0.09084544,-1.0066686533391476,0.04981176625005901,0.0017356613,0.6182006597518921,1788,-0.0012772797490470111,4876.96,-18.94,,,,
459776,449,85,5387,0.0002270624,0.01608487218618393,0.147705078125,0.09082496000000001,-1.0389285758137703,0.05876027047634125,0.0031498885,0.5446432828903198,1792,-0.0016643031558487564,4902.77,-18.94,,,,
460800,450,85,5397,0.0002270112,0.013936899602413177,0.161865234375,0.09080448,-1.0429209545254707,0.06624114303849638,0.0011379998,0.5066125392913818,1796,-0.0008677391160745174,4902.77,-18.94,,,,
461824,451,85,5408,0.00022696,0.02464032918214798,0.051025390625,0.090784,-1.0207194164395332,0.063968202797696,0.0017455316,0.48692941665649414,1800,-0.0006758421222912148,4902.77,-18.94,,,,
462848,452,85,5418,0.0002269088,0.008633553981781006,0.132568359375,0.09076352,-1.0115543566644192,0.06292168819345534,0.0009155955,0.4718203544616699,1804,-0.000779463502112776,4902.77,-18.94,,,,
463872,453,85,5429,0.0002268576,0.016118135303258896,0.154541015625,0.09074304,-1.0327700786292553,0.08571037836372852,0.001262468,0.46692508459091187,1808,-0.0016325475880876184,4902.77,-18.94,,,,
464896,454,85,5439,0.0002268064,0.0199880413711071,0.047607421875,0.09072256000000001,-1.0030131302773952,0.07833783770911396,0.0010086132,0.5920590162277222,1812,-0.0013310156791703776,4910.33,-18.95,,,,
465920,455,85,5450,0.0002267552,0.017234990373253822,0.040283203125,0.09070208,-1.0278182812035084,0.06866435008123517,0.0009493267,0.6454248428344727,1816,-0.0014466371794696897,4948.22,-18.94,,,,
466944,456,85,5462,0.000226704,0.03086244687438011,0.137939453125,0.0906816,-0.9957922622561455,0.06999172293581069,0.003146057,0.4908319115638733,1820,-0.0004295596154406667,4977.35,-18.92,,,,
467968,457,85,5472,0.00022665279999999999,0.014716548845171928,0.090576171875,0.09066112,-1.0039635710418224,0.055744282668456435,0.0016896994,0.5329533815383911,1824,-0.0011431612656451762,4977.35,-18.92,,,,
468992,458,85,5483,0.0002266016,0.01722685620188713,0.0595703125,0.09064064000000001,-1.0083645805716515,0.06490776874125004,0.0011186406,0.5666090250015259,1828,-0.0010944623791147023,4999.08,-18.89,,,,
470016,459,85,5493,0.00022655039999999998,0.015023868530988693,0.047607421875,0.09062016,-1.0302910134196281,0.06270597595721483,0.0017160324,0.571522057056427,1832,-0.001958421024028212,5034.58,-18.85,,,,
471040,460,85,5505,0.00022649920000000003,0.01437385194003582,0.164306640625,0.09059968000000002,-1.0256829336285591,0.0760717112571001,0.0028680537,0.6144165992736816,1836,-0.002196096203988418,5034.58,-18.85,,,,
472064,461,85,5516,0.00022644800000000002,0.009746350347995758,0.126708984375,0.09057920000000001,-1.0331900715827942,0.059218398528173566,0.0013263104,0.5802431106567383,1840,-0.004142960999161005,5034.58,-18.85,,,,
473088,462,85,5527,0.00022639680000000002,0.011446239426732063,0.13671875,0.09055872000000001,-1.0652830824255943,0.07216608244925737,0.0023639905,0.5254614949226379,1844,-0.0040326647576875985,5061.71,-18.82,,,,
474112,463,85,5537,0.00022634560000000002,0.013189847581088543,0.052490234375,0.09053824,-1.1046845689415932,0.05780948232859373,0.0014753904,0.6556591987609863,1848,-0.002134399546775967,5097.11,-18.76,,,,
475000,,,,0.0002262944,0.007591100409626961,0.04345703125,0.09051776,-1.0693066790699959,0.043436439242213964,0.0015078194,0.676918625831604,1852,-0.002703044156078249,,,-2336.62,6394.6,-20.0,6394.6
475136,464,84,5617,,,,,,,,,,,5144.91,-18.68,,,,
476160,465,84,5627,0.0002262432,0.017051611095666885,0.077392578125,0.09049728000000001,-1.055825598537922,0.06167809688486159,0.0011917925,0.48860639333724976,1856,-0.001980630593607202,5144.91,-18.68,,,,
477184,466,84,5638,0.000226192,0.02525479719042778,0.111328125,0.09047680000000001,-1.0214188992977142,0.07019656850025058,0.0030491995,0.42094749212265015,1860,-0.0009442488371860236,5186.21,-18.67,,,,
478208,467,84,5649,0.0002261408,0.010881648398935795,0.1259765625,0.09045632,-1.0866799652576447,0.06442483025602996,0.0014130101,0.5090673565864563,1864,-0.0017572091601323336,5186.21,-18.67,,,,
479232,468,84,5660,0.0002260896,0.02093271166086197,0.057373046875,0.09043584,-1.0692783072590828,0.06905231741257012,0.0017043827,0.46633100509643555,1868,-0.002820506051648408,5186.21,-18.67,,,,
480256,469,84,5671,0.0002260384,0.008008331060409546,0.076171875,0.09041536,-1.0598627403378487,0.06008856906555593,0.0022064734,0.5844534039497375,1872,-0.0037265992432367057,5216.88,-18.65,,,,
481280,470,84,5682,0.00022598720000000002,0.03325353190302849,0.126708984375,0.09039488000000001,-1.0031275637447834,0.08029128913767636,0.0026804074,0.36430859565734863,1876,-0.0006716684001730755,5246.55,-18.62,,,,
482304,471,84,5694,0.000225936,0.007908068597316742,0.073974609375,0.09037440000000001,-1.0889180526137352,0.06893436913378537,0.0017806995,0.5259784460067749,1880,-0.0020200577564537525,5246.55,-18.62,,,,
483328,472,84,5711,0.0002258848,0.03268609941005707,0.093994140625,0.09035392,-1.0422518476843834,0.07978313602507114,0.002448091,0.40537405014038086,1884,-0.0016943218652158976,5246.55,-18.62,,,,
484352,473,84,5722,0.0002258336,0.02252046763896942,0.14404296875,0.09033344,-0.9820671267807484,0.06733602844178677,0.0024109962,0.5370355844497681,1888,0.001141444459790364,5246.55,-18.62,,,,
485376,474,84,5733,0.0002257824,0.021711863577365875,0.057373046875,0.09031296,-0.9893005713820457,0.0766423970926553,0.0012167334,0.5881179571151733,1892,-0.0020166396570857614,5286.36,-18.6,,,,
486400,475,84,5745,0.0002257312,0.012564522214233875,0.14404296875,0.09029248000000001,-0.9750024080276489,0.06088328990153968,0.0034302077,0.6265677809715271,1896,-0.0019282253051642329,5330.49,-18.52,,,,
487424,476,84,5757,0.00022568,0.012536666356027126,0.08740234375,0.090272,-0.9800035580992699,0.06579467467963696,0.0028628767,0.31218212842941284,1900,-0.0029464969120454043,5330.49,-18.52,,,,
488448,477,84,5769,0.0002256288,0.023980656638741493,0.123046875,0.09025152,-0.9997032582759857,0.06415640795603395,0.0024964164,0.5511219501495361,1904,-0.0018428251496516168,5352.54,-18.51,,,,
489472,478,84,5781,0.00022557759999999999,0.0276254303753376,0.064208984375,0.09023104,-1.029486782848835,0.09097425360232592,0.002114763,0.4402579665184021,1908,-0.0019492759893182665,5352.54,-18.51,,,,
490496,479,84,5792,0.00022552639999999998,0.028332659974694252,0.0615234375,0.09021056,-1.046018809080124,0.09711607359349728,0.001497207,0.4260333180427551,1912,-0.0011985440796706825,5352.54,-18.51,,,,
491520,480,84,5804,0.00022547519999999998,0.020639725029468536,0.060546875,0.09019008,-1.0558515638113022,0.07257519708946347,0.0017171855,0.35421091318130493,1916,-0.0024548989458708093,5376.38,-18.48,,,,
492544,481,84,5816,0.00022542400000000003,0.011638933792710304,0.105224609375,0.09016960000000002,-1.0607257187366486,0.08089466555975378,0.0027139995,0.33183783292770386,1920,-0.004397963784867898,5411.54,-18.4,,,,
493568,482,84,5828,0.00022537280000000003,0.010897883214056492,0.12451171875,0.09014912000000001,-1.0410993546247482,0.05884574167430401,0.0023695277,0.5948907136917114,1924,0.00020051325554959476,5411.54,-18.4,,,,
494592,483,84,5840,0.00022532160000000002,0.013923084363341331,0.12158203125,0.09012864000000001,-1.0102655962109566,0.06305812415666878,0.0024513,0.49916940927505493,1928,-0.005057366739492863,5437.04,-18.39,,,,
495616,484,84,5852,0.00022527040000000002,0.004207001067698002,0.102294921875,0.09010816,-1.0272644348442554,0.0521311282645911,0.0026826041,0.6053441166877747,1932,-0.0036968930799048394,5437.04,-18.39,,,,
496640,485,84,5862,0.00022521920000000001,0.020270876586437225,0.116455078125,0.09008768,-0.9703093394637108,0.06174211855977774,0.0019509171,0.4937310814857483,1936,-0.0014881484094075859,5437.04,-18.39,,,,
497664,486,84,5874,0.000225168,0.019712405279278755,0.103271484375,0.09006720000000001,-0.9621233381330967,0.06176944961771369,0.0020093902,0.5384052991867065,1940,-0.0036362173850648105,5437.04,-18.39,,,,
498688,487,84,5886,0.0002251168,0.019663028419017792,0.091552734375,0.09004672000000001,-0.978244423866272,0.07884735893458128,0.0022569161,0.35306984186172485,1944,-0.0028272693161852658,5437.04,-18.39,,,,
499712,488,84,5897,0.0002250656,0.00789465382695198,0.053955078125,0.09002624000000001,-0.9590719640254974,0.050168943125754595,0.0010065065,0.49131524562835693,1948,-0.0009482178138568997,5514.29,-18.32,,,,
500000,,,,0.0002250144,0.01444770023226738,0.16064453125,0.09000576,-0.9790355339646339,0.07051844848319888,0.0026294498,0.5802530646324158,1952,-0.0034000754239968956,,,-2440.9300000000003,6486.8,-20.2,6486.8
500736,489,83,5974,,,,,,,,,,,5549.69,-18.27,,,,
501760,490,83,5985,0.0002249632,0.008019402623176575,0.153564453125,0.08998528,-0.9255895353853703,0.05752691929228604,0.0033363851,0.5283358097076416,1956,-0.0021306584822013974,5549.69,-18.27,,,,
502784,491,83,5996,0.00022491200000000002,0.007312193512916565,0.121826171875,0.08996480000000001,-0.9535534754395485,0.04756891657598317,0.0021799156,0.5686855316162109,1960,-0.0043974705040454865,5599.37,-18.18,,,,
503808,492,83,6006,0.00022486080000000001,0.008355395868420601,0.105712890625,0.08994432000000001,-0.9325072355568409,0.05744809121824801,0.0019518896,0.5606051683425903,1964,-0.003105325245996937,5599.37,-18.18,,,,
504832,493,83,6017,0.0002248096,0.02178296633064747,0.115478515625,0.08992384,-0.9219537191092968,0.06607652944512665,0.0015610873,0.3558467626571655,1968,-0.000616248493315652,5646.37,-18.12,,,,
505856,494,83,6027,0.0002247584,0.01952323690056801,0.07373046875,0.08990336,-0.924110297113657,0.05822199955582619,0.0023128781,0.24745780229568481,1972,-0.0022574886825168505,5646.37,-18.12,,,,
506880,495,83,6038,0.0002247072,0.01751101389527321,0.076904296875,0.08988288,-0.9100071713328362,0.05470977700315416,0.0015226426,0.45989394187927246,1976,-0.0022929575643502176,5718.48,-18.06,,,,
507904,496,83,6049,0.000224656,0.01516968198120594,0.044921875,0.08986240000000001,-0.9151987433433533,0.06725910189561546,0.0013317721,0.5640572309494019,1980,-0.002648092631716281,5718.48,-18.06,,,,
508928,497,83,6059,0.0002246048,0.025719087570905685,0.095458984375,0.08984192,-0.9293786734342575,0.08348073903471231,0.0016242482,0.3791084289550781,1984,-0.0021773703047074378,5718.48,-18.06,,,,
509952,498,84,6070,0.0002245536,0.012170206755399704,0.18505859375,0.08982144,-0.8744106292724609,0.06957450695335865,0.0027615512,0.4935529828071594,1988,-0.0023325384099734947,5718.48,-18.06,,,,
510976,499,84,6080,0.0002245024,0.019418127834796906,0.11474609375,0.08980096,-0.8901115879416466,0.0743520357646048,0.0018819078,0.21582525968551636,1992,-0.00244434540218208,5718.48,-18.06,,,,
512000,500,84,6091,0.00022445119999999998,0.01880824938416481,0.11328125,0.08978048,-0.9105269685387611,0.058676689863204956,0.0014019411,0.2548978924751282,1996,-0.0022297301911748946,5734.65,-18.07,,,,
513024,501,84,6102,0.0002244,0.02118965983390808,0.118408203125,0.08976,-0.9419233687222004,0.07062447350472212,0.0023155615,0.36106210947036743,2000,-0.0031582624360453337,5781.47,-18.03,,,,
514048,502,84,6112,0.00022434880000000003,0.009920300915837288,0.123046875,0.08973952000000002,-0.9000595211982727,0.05743939150124788,0.0013882383,0.5201404690742493,2004,-0.001001571217784658,5781.47,-18.03,,,,
515072,503,84,6122,0.0002242976,0.005253723822534084,0.1689453125,0.08971904,-0.8818851709365845,0.0343680459773168,0.0022548493,0.6189593076705933,2008,-0.00041300052544102073,5781.47,-18.03,,,,
516096,504,84,6133,0.00022424640000000002,0.03689005970954895,0.09912109375,0.08969856000000001,-0.9015245363116264,0.07328399457037449,0.002104619,0.11060875654220581,2012,-0.0029606456810142845,5781.47,-18.03,,,,
517120,505,84,6144,0.00022419520000000002,0.0055585261434316635,0.102294921875,0.08967808000000001,-0.9202611930668354,0.038943078950978816,0.002945771,0.596152663230896,2016,-0.002793303196085617,5781.47,-18.03,,,,
518144,506,84,6155,0.00022414400000000001,0.00029611214995384216,0.099853515625,0.0896576,-0.9268319271504879,0.044270547572523355,0.0021547563,0.4859890341758728,2020,-0.003517536766594276,5898.22,-17.97,,,,
519168,507,84,6165,0.0002240928,0.011305314488708973,0.118408203125,0.08963712000000001,-0.9550897218286991,0.052504583494737744,0.0011512078,0.6240382790565491,2024,-0.0020541655540000647,5898.22,-17.97,,,,
520192,508,84,6175,0.0002240416,0.028545774519443512,0.146484375,0.08961664000000001,-0.9750611372292042,0.05918078147806227,0.0044080005,0.3584110140800476,2028,0.0020630797516787425,5898.22,-17.97,,,,
521216,509,84,6186,0.0002239904,0.017952091991901398,0.10888671875,0.08959616000000001,-0.9110548831522465,0.06716808443889022,0.0020815495,0.3940150737762451,2032,-0.0009571470727678388,5938.26,-17.97,,,,
522240,510,84,6197,0.0002239392,0.03108517825603485,0.07421875,0.08957568,-0.9239834547042847,0.08480444131419063,0.0013443234,0.3999742269515991,2036,-0.0011602783342823386,5938.26,-17.97,,,,
523264,511,84,6207,0.000223888,0.00570916011929512,0.06494140625,0.0895552,-0.9474837705492973,0.05425561359152198,0.0019589392,0.5149264335632324,2040,-0.002485309902112931,5967.48,-17.95,,,,
524288,512,84,6217,0.00022383680000000002,0.013902553357183933,0.094970703125,0.08953472000000001,-0.94959856569767,0.0660594457294792,0.002774404,0.4256017804145813,2044,-0.0024552455288358033,5967.48,-17.95,,,,
525000,,,,0.00022378560000000001,0.017030954360961914,0.077880859375,0.08951424000000001,-0.9534581676125526,0.06466941861435771,0.0018511711,0.38137906789779663,2048,-0.001864628167822957,,,-877.54,7804.0,-17.6,7804.0
525312,513,83,6308,,,,,,,,,,,5967.48,-17.95,,,,
526336,514,83,6321,0.0002237344,0.009455349296331406,0.05712890625,0.08949376,-0.9663249514997005,0.05686721741221845,0.0013789996,0.5294769406318665,2052,-0.0028634123591473326,6044.99,-17.88,,,,
527360,515,83,6334,0.0002236832,0.008100699633359909,0.08203125,0.08947328,-0.9564229883253574,0.043605339480564,0.001992892,0.38013356924057007,2056,-0.0017239677254110575,6044.99,-17.88,,,,
528384,516,83,6345,0.000223632,0.01507541909813881,0.115478515625,0.0894528,-0.9467941150069237,0.05065613938495517,0.0026841045,0.4265722632408142,2060,-0.001217272540088743,6076.38,-17.87,,,,
529408,517,83,6357,0.0002235808,0.013457338325679302,0.114013671875,0.08943232000000001,-1.029985561966896,0.06077580410055816,0.0018888294,0.33945655822753906,2064,-0.0012562580523081124,6076.38,-17.87,,,,
530432,518,83,6367,0.0002235296,0.002336869016289711,0.0654296875,0.08941184,-0.9720936976373196,0.0454063443467021,0.0018043623,0.5732784271240234,2068,-0.0027374479395803064,6091.82,-17.87,,,,
531456,519,83,6377,0.0002234784,0.014600487425923347,0.11279296875,0.08939136,-1.0052939169108868,0.05655143316835165,0.0012686367,0.46426576375961304,2072,-0.002782506955554709,6091.82,-17.87,,,,
532480,520,83,6388,0.0002234272,0.01904144696891308,0.123779296875,0.08937088,-0.9780428484082222,0.07516724988818169,0.0026659642,0.17456305027008057,2076,-0.0030400051327887923,6091.82,-17.87,,,,
533504,521,83,6399,0.00022337599999999998,0.012405438348650932,0.12646484375,0.0893504,-0.9724495150148869,0.0555716697126627,0.0017804834,0.3728771209716797,2080,-0.0031151027069427073,6127.94,-17.84,,,,
534528,522,83,6409,0.0002233248,0.010075060650706291,0.125732421875,0.08932992000000001,-0.9801329523324966,0.06569403479807079,0.0037246812,0.5187395811080933,2084,-0.0030088830535532907,6166.44,-17.81,,,,
535552,523,83,6420,0.0002232736,0.014967646449804306,0.080078125,0.08930944,-0.9859748743474483,0.06847288180142641,0.0021489789,0.5039207339286804,2088,-0.002454112211125903,6166.44,-17.81,,,,
536576,524,83,6431,0.0002232224,0.010623050853610039,0.080322265625,0.08928896,-0.9948971383273602,0.06453179195523262,0.0012868221,0.438018262386322,2092,-0.002640336097101681,6166.44,-17.81,,,,
537600,525,83,6441,0.00022317120000000002,0.022440213710069656,0.1591796875,0.08926848000000001,-0.9544819220900536,0.0752219413407147,0.0019100189,0.37101125717163086,2096,-0.002218885885667987,6166.44,-17.81,,,,
