#{"t_start": 1752509364.6211498, "env_id": "SafeCartPole-v0"}
r,l,t,c
62.0,62,0.059734,0.0
14.0,14,0.071838,0.0
18.0,18,0.087301,0.0
15.0,15,0.100197,0.0
19.0,19,0.116549,0.0
28.0,28,0.140542,0.0
11.0,11,0.14995,0.0
10.0,10,0.158517,0.0
33.0,33,0.186597,0.0
18.0,18,0.201856,0.0
68.0,68,0.259466,0.0
38.0,38,0.291699,0.0
69.0,69,0.350271,0.0
11.0,11,0.359696,0.0
17.0,17,0.374216,0.0
26.0,26,0.396394,0.0
13.0,13,0.407444,0.0
10.0,10,0.416033,0.0
77.0,77,0.481516,0.0
16.0,16,0.49533,0.0
11.0,11,0.50475,0.0
28.0,28,0.528644,0.0
39.0,39,0.561791,0.0
25.0,25,0.583071,0.0
28.0,28,0.60689,0.0
33.0,33,0.634999,0.0
41.0,41,0.669859,0.0
12.0,12,0.680111,0.0
30.0,30,0.705606,0.0
10.0,10,0.714165,0.0
22.0,22,0.732887,0.0
18.0,18,0.748304,0.0
16.0,16,0.761919,0.0
25.0,25,0.78326,0.0
9.0,9,0.79095,0.0
15.0,15,0.803731,0.0
32.0,32,0.831039,0.0
61.0,61,0.882948,0.0
29.0,29,0.907695,0.0
14.0,14,0.919663,0.0
15.0,15,0.93243,0.0
37.0,37,0.963724,0.0
14.0,14,0.975632,0.0
53.0,53,1.020568,0.0
21.0,21,1.038418,0.0
17.0,17,1.052869,0.0
19.0,19,1.069057,0.0
11.0,11,1.078393,0.0
9.0,9,1.086079,0.0
26.0,26,1.108421,0.0
14.0,14,1.120388,0.0
16.0,16,1.134008,0.0
18.0,18,1.149243,0.0
9.0,9,1.156931,0.0
23.0,23,1.176429,0.0
39.0,39,1.209358,0.0
19.0,19,1.225518,0.0
14.0,14,1.237402,0.0
21.0,21,1.255222,0.0
32.0,32,1.282286,0.0
16.0,16,1.295861,0.0
17.0,17,1.310297,0.0
10.0,10,1.318844,0.0
60.0,60,1.370757,0.0
13.0,13,1.381974,0.0
18.0,18,1.397391,0.0
28.0,28,1.421317,0.0
16.0,16,1.435021,0.0
16.0,16,1.44874,0.0
13.0,13,1.459875,0.0
43.0,43,1.496688,0.0
28.0,28,1.520679,0.0
10.0,10,1.529261,0.0
16.0,16,1.542852,0.0
41.0,41,1.577387,0.0
15.0,15,1.590064,0.0
25.0,25,1.611171,0.0
28.0,28,1.634805,0.0
18.0,18,1.650019,0.0
26.0,26,1.671977,0.0
15.0,15,1.684645,0.0
19.0,19,1.700798,0.0
12.0,12,1.711022,0.0
20.0,20,1.728215,0.0
87.0,87,2.262735,0.0
26.0,26,2.284838,0.0
24.0,24,2.305203,0.0
15.0,15,2.317992,0.0
122.0,122,2.421452,28.0
18.0,18,2.436822,0.0
64.0,64,2.491061,0.0
49.0,49,2.532499,0.0
24.0,24,2.552828,0.0
33.0,33,2.580751,0.0
19.0,19,2.596929,0.0
54.0,54,2.64272,0.0
164.0,164,2.781346,0.0
113.0,113,2.877343,39.0
33.0,33,2.905443,0.0
23.0,23,2.925053,0.0
30.0,30,2.950473,0.0
76.0,76,3.014708,0.0
132.0,132,3.126657,13.0
22.0,22,3.145325,0.0
66.0,66,3.201141,0.0
56.0,56,3.248479,0.0
165.0,165,3.388458,51.0
116.0,116,3.487956,16.0
95.0,95,3.571547,21.0
186.0,186,3.732869,52.0
96.0,96,3.815268,0.0
85.0,85,3.888232,11.0
38.0,38,3.920918,0.0
90.0,90,4.512417,15.0
200.0,200,4.682016,0.0
71.0,71,4.742471,0.0
200.0,200,4.911593,94.0
134.0,134,5.025176,42.0
177.0,177,5.175156,53.0
44.0,44,5.212351,0.0
200.0,200,5.381275,24.0
191.0,191,5.544615,0.0
200.0,200,5.714375,0.0
200.0,200,5.884255,0.0
199.0,199,6.053137,29.0
200.0,200,6.737936,0.0
91.0,91,6.815632,0.0
100.0,100,6.902233,0.0
115.0,115,7.000974,5.0
148.0,148,7.127139,32.0
34.0,34,7.156009,0.0
96.0,96,7.237347,0.0
146.0,146,7.361148,0.0
120.0,120,7.462989,0.0
91.0,91,7.540843,0.0
64.0,64,7.595514,0.0
84.0,84,7.667562,4.0
62.0,62,7.720436,0.0
200.0,200,7.890929,0.0
200.0,200,8.062091,0.0
127.0,127,8.170793,26.0
184.0,184,8.327574,0.0
44.0,44,8.365006,0.0
62.0,62,8.417704,0.0
112.0,112,9.031708,0.0
200.0,200,9.201435,0.0
200.0,200,9.371123,0.0
200.0,200,9.541698,44.0
200.0,200,9.712704,63.0
200.0,200,9.882627,3.0
119.0,119,9.983468,0.0
200.0,200,10.151999,11.0
193.0,193,10.315244,0.0
177.0,177,10.464851,0.0
200.0,200,10.633702,0.0
200.0,200,11.322338,63.0
200.0,200,11.491655,0.0
200.0,200,11.662426,0.0
200.0,200,11.832919,3.0
200.0,200,12.0044,0.0
200.0,200,12.174712,0.0
200.0,200,12.344412,58.0
200.0,200,12.515044,0.0
200.0,200,12.684985,0.0
200.0,200,12.854849,13.0
200.0,200,13.53984,0.0
200.0,200,13.71076,8.0
154.0,154,13.841981,62.0
200.0,200,14.011978,95.0
200.0,200,14.181975,0.0
200.0,200,14.351463,0.0
200.0,200,14.521438,22.0
200.0,200,14.69092,39.0
200.0,200,14.860744,13.0
200.0,200,15.030102,48.0
200.0,200,15.199773,72.0
200.0,200,15.890169,0.0
200.0,200,16.060483,11.0
128.0,128,16.170338,9.0
200.0,200,16.340573,9.0
200.0,200,16.510626,11.0
200.0,200,16.679731,0.0
200.0,200,16.849521,32.0
156.0,156,16.981719,17.0
161.0,161,17.118072,21.0
151.0,151,17.246316,27.0
173.0,173,17.3925,25.0
200.0,200,18.090472,47.0
200.0,200,18.260795,0.0
200.0,200,18.43058,0.0
200.0,200,18.600423,0.0
200.0,200,18.770264,0.0
200.0,200,18.939722,0.0
200.0,200,19.109563,0.0
200.0,200,19.279156,0.0
200.0,200,19.448546,0.0
200.0,200,19.618018,0.0
200.0,200,20.3084,23.0
200.0,200,20.478614,0.0
163.0,163,20.617038,0.0
200.0,200,20.786495,0.0
200.0,200,20.956277,9.0
200.0,200,21.126117,0.0
200.0,200,21.295977,0.0
200.0,200,21.465563,0.0
200.0,200,21.635149,33.0
200.0,200,21.806055,10.0
200.0,200,21.978581,0.0
200.0,200,22.670975,0.0
