time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
13,831,11,11264,-1.777436003088951,0.00024948799999999997,0.01172858476638794,-0.003945717471651733,0.0036195256,0.0997952,0.07470703125,0.09452367248013616,0.01182234100997448,40,4002.5,-20.25,,,,
14,843,12,12288,-1.7657049670815468,0.0002494368,0.02837967872619629,-0.00112617076956667,0.0015125107,0.09977472,0.0,0.09679805673658848,0.020384373143315315,44,4002.5,-20.25,,,,
15,853,13,13312,-1.7668511793017387,0.0002493856,0.022139012813568115,-0.00231225453899242,0.0021963015,0.09975424000000001,0.012451171875,0.12954756384715438,0.04879060387611389,48,3905.6666666666665,-20.333333333333332,,,,
16,862,14,14336,-1.7557954639196396,0.0002493344,0.041030943393707275,-0.0026309932582080364,0.0025883564,0.09973376,0.098876953125,0.08975802268832922,0.01741032674908638,52,3905.6666666666665,-20.333333333333332,,,,
17,869,15,15360,-1.7387817427515984,0.0002492832,0.06662189960479736,-0.003415005427086726,0.004238044,0.09971328000000002,0.1376953125,0.09067088086158037,0.028919639065861702,56,3832.846153846154,-20.46153846153846,,,,
18,876,16,16384,-1.7386998683214188,0.000249232,0.03067004680633545,-0.0008451848989352584,0.0008369385,0.09969280000000001,0.000244140625,0.11491351248696446,0.02770589105784893,60,3794.785714285714,-20.5,,,,
19,882,17,17408,-1.7438961267471313,0.0002491808,0.04512214660644531,-0.0005924602155573666,0.0019636005,0.09967232000000001,0.045654296875,0.10686349403113127,0.04099111258983612,64,3798.3125,-20.4375,,,,
20,889,18,18432,-1.7524143382906914,0.0002491296,0.09886282682418823,9.302300168201327e-05,0.0006521236,0.09965184,0.0,0.09459467465057969,0.027128368616104126,68,3798.3125,-20.4375,,,,
21,894,19,19456,-1.7603974416851997,0.0002490784,0.1071786880493164,-0.0018639744666870683,0.0011644566,0.09963136,0.017578125,0.0939668957144022,0.02515241503715515,72,3798.3125,-20.4375,,,,
22,899,20,20480,-1.7656965106725693,0.0002490272,0.07520788908004761,-0.0012720827071461827,0.0018586437,0.09961088000000001,0.0,0.1099840309470892,0.041111674159765244,76,3784.0588235294117,-20.41176470588235,,,,
23,903,21,21504,-1.7770986109972,0.000248976,0.06369322538375854,-0.002216306049376726,0.0027292676,0.09959040000000001,0.0654296875,0.09316846774891019,0.02640059031546116,80,3731.6315789473683,-20.473684210526315,,,,
24,907,22,22528,-1.7749437615275383,0.00024892480000000003,0.10092216730117798,-0.0015007648908067495,0.0020824028,0.09956992,0.020263671875,0.11252970714122057,0.03409918397665024,84,3725.05,-20.5,,,,
25,911,23,23552,-1.7580414116382599,0.00024887360000000003,0.125310480594635,-0.0017371800495311618,0.0022219955,0.09954944,0.031982421875,0.11932365829125047,0.05030070245265961,88,3725.05,-20.5,,,,
26,914,24,24576,-1.7482396811246872,0.0002488224,0.07449430227279663,-0.0007140209199860692,0.0010280093,0.09952896,0.010986328125,0.13264122745022178,0.0449221134185791,92,3775.217391304348,-20.434782608695652,,,,
,,,25000,-1.750890389084816,0.0002487712,0.12575781345367432,-0.00017113127978518605,0.0005534567,0.09950848000000001,0.0,0.11682942090556026,0.02615804225206375,96,,,3056.0,3056.0,0.0,-21.0
40,629,25,25600,,,,,,,,,,,3799.375,-20.375,,,,
41,638,26,26624,-1.7509490624070168,0.00024872,0.1552256941795349,-0.0011224920745007694,0.001354221,0.09948800000000001,0.012939453125,0.10891903517767787,0.0325004942715168,100,3785.8,-20.36,,,,
