time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
324,3,1024,1,,,,,,,,,,,,,,,,
101,20,2048,2,-1.7902107760310173,0.042724609375,-0.012323141098022461,4,0.0023241537,-0.0038400062185246497,0.09997952,0.2088436116464436,0.0002499488,0.020798616111278534,,,,,,
91,33,3072,3,-1.7889890223741531,0.0,0.006215095520019531,8,0.00033941073,-0.0004007222014479339,0.09995904,0.12348981015384197,0.0002498976,0.038361504673957825,,,,,,
81,50,4096,4,-1.7902391701936722,0.0,0.005311548709869385,12,0.0003915656,-0.0007923173034214415,0.09993856000000001,0.1426384039223194,0.0002498464,0.040154799818992615,,,,,,
76,67,5120,5,-1.7889950796961784,0.0,0.009116590023040771,16,0.00022383448,0.00012281652016099542,0.09991808,0.11238716216757894,0.0002497952,0.027476094663143158,,,,,,
73,83,6144,6,-1.7876612767577171,0.0,0.008743107318878174,20,0.00069472514,4.665368760470301e-05,0.0998976,0.11868795659393072,0.000249744,0.03810209035873413,,,,,,
71,100,7168,7,-1.7835213392972946,0.029296875,0.018185198307037354,24,0.001511134,-0.0014460355159826577,0.09987712,0.11185304122045636,0.0002496928,0.04075456038117409,-20.666666666666668,3484.6666666666665,,,,
70,116,8192,8,-1.7794705629348755,0.046875,-0.021691203117370605,28,0.0027047456,-0.0015126826765481383,0.09985664,0.11324790772050619,0.0002496416,0.03767804801464081,-20.571428571428573,3689.0,,,,
69,132,9216,9,-1.7830790579319,0.0,0.006384134292602539,32,0.0007794131,-0.0005823913088534027,0.09983616000000001,0.1291790036484599,0.0002495904,0.05766545236110687,-20.25,3763.875,,,,
68,149,10240,10,-1.7789192646741867,0.0,0.006726622581481934,36,0.0012088151,-0.001107811083784327,0.09981568,0.12388113373890519,0.00024953919999999997,0.05138559639453888,-20.25,3763.875,,,,
68,164,11264,11,-1.7723151966929436,0.00927734375,0.009819567203521729,40,0.0016432723,-0.0005160425935173407,0.0997952,0.12686747452244163,0.00024948799999999997,0.04580266773700714,-20.25,3763.875,,,,
68,179,12288,12,-1.7545836046338081,0.0390625,0.026298105716705322,44,0.0028576225,-0.00252258701948449,0.09977472,0.09193284576758742,0.0002494368,0.022447679191827774,-20.25,3763.875,,,,
67,196,13312,13,-1.7415766939520836,0.093017578125,0.030372917652130127,48,0.001503307,-0.0015459179994650185,0.09975424000000001,0.12374662794172764,0.0002493856,0.036971110850572586,-20.25,3763.875,,,,
66,215,14336,14,-1.7466633021831512,0.0,0.037143826484680176,52,0.0008675119,-0.0006302137044258416,0.09973376,0.1311016334220767,0.0002493344,0.04985499382019043,-20.1,3721.0,,,,
65,233,15360,15,-1.756756104528904,0.00634765625,0.042659759521484375,56,0.0012772182,-0.001445459871320054,0.09971328000000002,0.1290321135893464,0.0002492832,0.03987376391887665,-20.0,3721.3846153846152,,,,
65,248,16384,16,-1.7592203095555305,0.12255859375,0.021774232387542725,60,0.0034081028,-0.003226119530154392,0.09969280000000001,0.10409443313255906,0.000249232,0.029337413609027863,-19.933333333333334,3771.8,,,,
66,262,17408,17,-1.747840590775013,0.097900390625,0.053310394287109375,64,0.0019485727,-0.0016083325317595154,0.09967232000000001,0.09758395655080676,0.0002491808,0.031926751136779785,-19.9375,3802.625,,,,
66,278,18432,18,-1.7506592720746994,0.03125,0.031297385692596436,68,0.0011287373,-0.0005363822565414011,0.09965184,0.12751251365989447,0.0002491296,0.05247584730386734,-19.9375,3802.625,,,,
66,292,19456,19,-1.7426077127456665,0.0,0.027579545974731445,72,0.0017009651,-0.001467150985263288,0.09963136,0.12690018489956856,0.0002490784,0.04323187470436096,-19.9375,3802.625,,,,
66,307,20480,20,-1.7378329187631607,0.109375,-0.02113807201385498,76,0.0029243224,-0.0025016876170411706,0.09961088000000001,0.09051608247682452,0.0002490272,0.01869259588420391,-19.9375,3802.625,,,,
66,322,21504,21,-1.7470499649643898,0.0634765625,0.058313608169555664,80,0.0034413522,-0.0033356659405399114,0.09959040000000001,0.08865164639428258,0.000248976,0.012692106887698174,-20.055555555555557,3760.3888888888887,,,,
66,336,22528,22,-1.7478377223014832,0.06591796875,0.04810774326324463,84,0.0028691927,-0.001442919106921181,0.09956992,0.12817529635503888,0.00024892480000000003,0.0562216192483902,-20.1,3775.5,,,,
66,353,23552,23,-1.748989924788475,0.004150390625,0.09713762998580933,88,0.0010654593,-0.0008302386268042028,0.09954944,0.10263119917362928,0.00024887360000000003,0.025844819843769073,-20.0,3798.5,,,,
66,371,24576,24,-1.7630658373236656,0.0,0.0794910192489624,92,0.00045506324,-0.00010293956438545138,0.09952896,0.11712119029834867,0.0002488224,0.04053853079676628,-20.043478260869566,3797.2608695652175,,,,
,,25000,,-1.7519774958491325,0.03759765625,0.11179035902023315,96,0.001677704,-0.0017282480548601598,0.09950848000000001,0.08732261881232262,0.0002487712,0.020447082817554474,,,3056.0,3056.0,-3036.4880000000003,-21.0
59,428,25600,25,,,,,,,,,,,-20.083333333333332,3806.2083333333335,,,,
59,447,26624,26,-1.7523483484983444,0.0,0.10606056451797485,100,0.00023189379,0.00023006860283203423,0.09948800000000001,0.11734776711091399,0.00024872,0.031064553186297417,-20.083333333333332,3806.2083333333335,,,,
59,464,27648,27,-1.7516380995512009,0.0,0.11460024118423462,104,0.00061792455,-0.000536471838131547,0.09946752,0.10994847677648067,0.0002486688,0.0408925823867321,-20.083333333333332,3806.2083333333335,,,,
59,479,28672,28,-1.7506694495677948,0.025390625,0.02844822406768799,108,0.0017897802,-0.001425963593646884,0.09944704,0.10769259370863438,0.0002486176,0.024522561579942703,-20.12,3783.68,,,,
59,497,29696,29,-1.731972523033619,0.0,0.17563152313232422,112,0.00067516573,0.0005488721071742475,0.09942656,0.08750311145558953,0.0002485664,0.02984413504600525,-20.115384615384617,3800.8076923076924,,,,
59,513,30720,30,-1.7282751500606537,0.031494140625,0.1735609769821167,116,0.0021401825,-0.0018397115491097793,0.09940608000000001,0.11951722530648112,0.0002485152,0.04674630984663963,-20.137931034482758,3774.4137931034484,,,,
59,532,31744,31,-1.702161356806755,0.041748046875,0.20395410060882568,120,0.0015213664,-0.0017811935395002365,0.0993856,0.09159018145874143,0.000248464,0.029668018221855164,-20.161290322580644,3768.548387096774,,,,
59,550,32768,32,-1.6946184411644936,0.037353515625,0.29830241203308105,124,0.0024117057,-0.0006350500625558197,0.09936512,0.10258978605270386,0.0002484128,0.032644838094711304,-20.0625,3807.53125,,,,
59,568,33792,33,-1.6834013909101486,0.0341796875,0.3528432250022888,128,0.002076371,-0.00015487404016312212,0.09934464,0.0807765987701714,0.0002483616,0.019408222287893295,-20.0625,3807.53125,,,,
