#{"t_start": 1752507550.553202, "env_id": "SafeCartPole-v0"}
r,l,t,c
25.0,25,0.02814,0.0
26.0,26,0.051168,0.0
22.0,22,0.070596,0.0
15.0,15,0.083768,0.0
10.0,10,0.092537,0.0
20.0,20,0.110255,0.0
12.0,12,0.120842,0.0
15.0,15,0.133981,0.0
13.0,13,0.145374,0.0
28.0,28,0.169966,0.0
13.0,13,0.181393,0.0
19.0,19,0.198156,0.0
23.0,23,0.218359,0.0
27.0,27,0.24209,0.0
18.0,18,0.25796,0.0
13.0,13,0.269394,0.0
40.0,40,0.304147,0.0
31.0,31,0.331013,0.0
24.0,24,0.351708,0.0
14.0,14,0.363796,0.0
32.0,32,0.391361,0.0
16.0,16,0.405167,0.0
18.0,18,0.420759,0.0
34.0,34,0.450139,0.0
13.0,13,0.46147,0.0
40.0,40,0.495953,0.0
16.0,16,0.509792,0.0
18.0,18,0.525597,0.0
13.0,13,0.536848,0.0
11.0,11,0.546379,0.0
34.0,34,0.575595,0.0
16.0,16,0.589387,0.0
20.0,20,0.60663,0.0
34.0,34,0.636097,0.0
38.0,38,0.668901,0.0
67.0,67,0.727479,0.0
15.0,15,0.740819,0.0
12.0,12,0.75147,0.0
42.0,42,0.788445,0.0
16.0,16,0.802597,0.0
13.0,13,0.814111,0.0
18.0,18,0.830003,0.0
16.0,16,0.844136,0.0
42.0,42,0.880996,0.0
13.0,13,0.892376,0.0
11.0,11,0.902374,0.0
15.0,15,0.915602,0.0
16.0,16,0.929727,0.0
53.0,53,0.976048,0.0
18.0,18,0.991876,0.0
51.0,51,1.036892,0.0
14.0,14,1.049237,0.0
13.0,13,1.060686,0.0
17.0,17,1.07564,0.0
28.0,28,1.100249,0.0
47.0,47,1.141159,0.0
12.0,12,1.151663,0.0
18.0,18,1.167198,0.0
14.0,14,1.179262,0.0
18.0,18,1.194752,0.0
39.0,39,1.228258,0.0
29.0,29,1.253369,0.0
14.0,14,1.265482,0.0
37.0,37,1.297242,0.0
36.0,36,1.32836,0.0
56.0,56,1.3764,0.0
16.0,16,1.390282,0.0
15.0,15,1.403305,0.0
26.0,26,1.425841,0.0
14.0,14,1.437972,0.0
12.0,12,1.44835,0.0
21.0,21,1.466413,0.0
28.0,28,1.490519,0.0
20.0,20,1.50774,0.0
30.0,30,1.533484,0.0
11.0,11,1.543228,0.0
12.0,12,1.553584,0.0
31.0,31,1.580324,0.0
28.0,28,1.605179,0.0
14.0,14,1.617871,0.0
11.0,11,1.627846,0.0
36.0,36,1.66029,0.0
21.0,21,1.679341,0.0
13.0,13,1.69121,0.0
14.0,14,1.704006,0.0
14.0,14,1.716759,0.0
30.0,30,1.745815,0.0
17.0,17,1.767325,0.0
25.0,25,1.790064,0.0
20.0,20,2.272062,0.0
46.0,46,2.311682,0.0
55.0,55,2.358891,0.0
40.0,40,2.393051,0.0
43.0,43,2.429669,0.0
26.0,26,2.451745,0.0
22.0,22,2.4704,0.0
75.0,75,2.53441,0.0
46.0,46,2.573341,0.0
16.0,16,2.586931,0.0
23.0,23,2.606491,0.0
56.0,56,2.654135,0.0
23.0,23,2.673692,0.0
56.0,56,2.721189,0.0
33.0,33,2.749183,0.0
84.0,84,2.820564,0.0
11.0,11,2.82999,0.0
20.0,20,2.847004,0.0
92.0,92,2.925025,1.0
40.0,40,2.95888,0.0
17.0,17,2.973393,0.0
25.0,25,2.994594,0.0
15.0,15,3.007407,0.0
51.0,51,3.050759,0.0
88.0,88,3.125123,0.0
21.0,21,3.142987,0.0
34.0,34,3.171753,0.0
76.0,76,3.236041,0.0
46.0,46,3.275058,0.0
38.0,38,3.307302,0.0
20.0,20,3.324328,0.0
45.0,45,3.362437,0.0
69.0,69,3.420699,0.0
26.0,26,3.442746,0.0
164.0,164,3.58184,0.0
42.0,42,3.617445,0.0
18.0,18,3.632765,0.0
54.0,54,3.678552,0.0
23.0,23,3.698043,0.0
24.0,24,3.71836,0.0
35.0,35,3.748107,0.0
46.0,46,3.787015,0.0
28.0,28,3.810722,0.0
54.0,54,3.85643,0.0
14.0,14,3.868385,0.0
58.0,58,3.91758,0.0
42.0,42,3.95319,0.0
121.0,121,4.51616,0.0
41.0,41,4.5511,0.0
101.0,101,4.636708,0.0
176.0,176,4.786173,0.0
60.0,60,4.837066,0.0
37.0,37,4.868521,0.0
50.0,50,4.910969,0.0
59.0,59,4.960954,0.0
82.0,82,5.030378,6.0
19.0,19,5.04655,0.0
91.0,91,5.12354,0.0
17.0,17,5.138026,0.0
61.0,61,5.189623,0.0
79.0,79,5.256872,0.0
21.0,21,5.274674,0.0
34.0,34,5.303494,0.0
68.0,68,5.361091,0.0
22.0,22,5.379754,0.0
64.0,64,5.433917,0.0
69.0,69,5.492291,0.0
113.0,113,5.588111,24.0
117.0,117,5.687415,20.0
16.0,16,5.701171,0.0
167.0,167,5.842911,46.0
59.0,59,5.89382,0.0
134.0,134,6.007512,2.0
19.0,19,6.023682,0.0
72.0,72,6.084877,0.0
79.0,79,6.153176,0.0
159.0,159,6.754867,24.0
123.0,123,6.859109,34.0
60.0,60,6.910328,0.0
121.0,121,7.01285,0.0
68.0,68,7.070544,0.0
162.0,162,7.207726,38.0
131.0,131,7.319058,27.0
22.0,22,7.337868,0.0
124.0,124,7.442919,0.0
155.0,155,7.574291,0.0
128.0,128,7.682776,29.0
128.0,128,7.791157,0.0
51.0,51,7.834373,0.0
111.0,111,7.928251,0.0
183.0,183,8.083183,0.0
139.0,139,8.202479,42.0
140.0,140,8.321865,24.0
121.0,121,8.890981,0.0
200.0,200,9.060817,0.0
50.0,50,9.103534,0.0
87.0,87,9.17736,0.0
200.0,200,9.346927,26.0
81.0,81,9.415891,0.0
200.0,200,9.585211,0.0
200.0,200,9.755141,39.0
200.0,200,9.925045,38.0
119.0,119,10.026031,29.0
31.0,31,10.052398,0.0
133.0,133,10.165047,30.0
200.0,200,10.336652,0.0
200.0,200,10.507614,0.0
200.0,200,11.154741,16.0
197.0,197,11.324414,61.0
200.0,200,11.50107,31.0
149.0,149,11.632736,49.0
200.0,200,11.808831,0.0
200.0,200,11.986068,0.0
131.0,131,12.101987,39.0
200.0,200,12.279408,43.0
200.0,200,12.455349,35.0
200.0,200,12.625674,0.0
200.0,200,12.796306,0.0
200.0,200,13.442958,71.0
163.0,163,13.581558,31.0
112.0,112,13.676534,0.0
136.0,136,13.791872,41.0
104.0,104,13.880023,28.0
200.0,200,14.049709,0.0
200.0,200,14.219652,77.0
196.0,196,14.387962,20.0
170.0,170,14.533874,42.0
111.0,111,14.628304,21.0
200.0,200,14.798119,0.0
160.0,160,14.934152,0.0
94.0,94,15.013787,0.0
200.0,200,15.667364,48.0
200.0,200,15.837306,0.0
200.0,200,16.008612,0.0
200.0,200,16.17954,0.0
200.0,200,16.35053,0.0
200.0,200,16.523767,27.0
200.0,200,16.695155,0.0
179.0,179,16.846977,76.0
200.0,200,17.017232,0.0
200.0,200,17.187073,39.0
200.0,200,17.838271,0.0
175.0,175,17.986889,52.0
189.0,189,18.146764,1.0
189.0,189,18.306796,48.0
200.0,200,18.478157,40.0
122.0,122,18.583085,29.0
200.0,200,18.754328,0.0
174.0,174,18.903158,43.0
200.0,200,19.072741,0.0
127.0,127,19.180416,25.0
200.0,200,19.349837,0.0
200.0,200,19.51936,0.0
200.0,200,20.178516,0.0
175.0,175,20.327569,0.0
200.0,200,20.498621,0.0
200.0,200,20.669873,0.0
175.0,175,20.820239,50.0
200.0,200,20.993714,0.0
200.0,200,21.166337,0.0
200.0,200,21.338049,0.0
200.0,200,21.508139,8.0
200.0,200,21.677745,0.0
200.0,200,22.334785,0.0
200.0,200,22.505405,59.0
200.0,200,22.676995,0.0
200.0,200,22.846894,75.0
164.0,164,22.986169,0.0
200.0,200,23.155561,0.0
200.0,200,23.325858,48.0
200.0,200,23.496033,0.0
200.0,200,23.666096,84.0
200.0,200,23.835924,0.0
189.0,189,23.996204,44.0
200.0,200,24.672622,0.0
170.0,170,24.818061,17.0
200.0,200,24.992614,0.0
200.0,200,25.163922,0.0
200.0,200,25.334928,0.0
200.0,200,25.505914,0.0
200.0,200,25.67668,0.0
200.0,200,25.847384,67.0
200.0,200,26.018384,0.0
200.0,200,26.189684,0.0
188.0,188,26.846728,12.0
132.0,132,26.959793,29.0
150.0,150,27.087686,24.0
200.0,200,27.258508,16.0
200.0,200,27.430102,0.0
200.0,200,27.600984,0.0
200.0,200,27.771344,0.0
200.0,200,27.941039,0.0
200.0,200,28.110888,48.0
200.0,200,28.28094,0.0
168.0,168,28.423516,31.0
173.0,173,29.070256,0.0
125.0,125,29.176554,18.0
108.0,108,29.268217,11.0
144.0,144,29.390334,31.0
134.0,134,29.504128,0.0
169.0,169,29.647227,7.0
200.0,200,29.817043,0.0
65.0,65,29.872564,0.0
108.0,108,29.964209,6.0
107.0,107,30.054733,0.0
135.0,135,30.172276,9.0
185.0,185,30.328608,17.0
105.0,105,30.417128,6.0
200.0,200,30.586019,0.0
115.0,115,30.684524,0.0
76.0,76,30.749395,0.0
141.0,141,31.361803,32.0
161.0,161,31.497412,35.0
200.0,200,31.665376,30.0
154.0,154,31.794896,31.0
149.0,149,31.920538,25.0
154.0,154,32.05001,28.0
174.0,174,32.196692,23.0
200.0,200,32.365532,0.0
137.0,137,32.48156,44.0
200.0,200,32.650056,0.0
135.0,135,32.765613,28.0
200.0,200,32.935843,0.0
154.0,154,33.560791,12.0
114.0,114,33.656817,11.0
200.0,200,33.825342,31.0
197.0,197,33.991712,46.0
180.0,180,34.143188,40.0
193.0,193,34.30553,8.0
125.0,125,34.410404,12.0
141.0,141,34.529014,22.0
196.0,196,34.693857,31.0
200.0,200,34.86645,0.0
146.0,146,34.993874,33.0
112.0,112,35.089884,19.0
133.0,133,35.204117,36.0
200.0,200,35.862455,41.0
176.0,176,36.011558,7.0
138.0,138,36.128569,18.0
147.0,147,36.252469,22.0
163.0,163,36.389416,39.0
110.0,110,36.482075,0.0
122.0,122,36.584858,10.0
191.0,191,36.745822,11.0
81.0,81,36.814666,0.0
200.0,200,36.9851,0.0
157.0,157,37.11891,35.0
144.0,144,37.241754,36.0
106.0,106,37.331192,15.0
121.0,121,37.433074,9.0
200.0,200,38.086666,20.0
158.0,158,38.220147,41.0
200.0,200,38.388259,16.0
191.0,191,38.549249,42.0
189.0,189,38.708323,36.0
200.0,200,38.877506,0.0
188.0,188,39.037423,34.0
174.0,174,39.184237,31.0
179.0,179,39.335104,28.0
198.0,198,39.50178,55.0
200.0,200,40.157974,34.0
142.0,142,40.277819,34.0
181.0,181,40.430255,30.0
128.0,128,40.538177,0.0
146.0,146,40.66097,37.0
200.0,200,40.829288,0.0
182.0,182,40.98633,12.0
144.0,144,41.10883,22.0
137.0,137,41.22482,20.0
157.0,157,41.357183,30.0
194.0,194,41.520286,24.0
145.0,145,41.642136,28.0
137.0,137,41.757432,27.0
161.0,161,42.38399,33.0
200.0,200,42.552711,0.0
200.0,200,42.721615,0.0
200.0,200,42.89007,0.0
200.0,200,43.060395,0.0
200.0,200,43.229994,11.0
200.0,200,43.399366,6.0
173.0,173,43.545468,43.0
200.0,200,43.713955,37.0
