#{"t_start": 1752505676.7818449, "env_id": "SafeCartPole-v0"}
r,l,t,c
20.0,20,7.024154,0.0
27.0,27,7.047348,0.0
16.0,16,7.06114,0.0
10.0,10,7.069769,0.0
13.0,13,7.081011,0.0
69.0,69,7.140376,0.0
20.0,20,7.157658,0.0
14.0,14,7.169756,0.0
39.0,39,7.203297,0.0
16.0,16,7.217121,0.0
28.0,28,7.241231,0.0
16.0,16,7.255065,0.0
41.0,41,7.290341,0.0
24.0,24,7.311111,0.0
21.0,21,7.329199,0.0
35.0,35,7.359364,0.0
11.0,11,7.36887,0.0
53.0,53,7.414817,0.0
26.0,26,7.437376,0.0
18.0,18,7.453002,0.0
22.0,22,7.472264,0.0
28.0,28,7.49649,0.0
60.0,60,7.548183,0.0
12.0,12,7.558655,0.0
18.0,18,7.57418,0.0
29.0,29,7.599211,0.0
18.0,18,8.082479,0.0
24.0,24,8.10329,0.0
20.0,20,8.120537,0.0
32.0,32,8.148135,0.0
28.0,28,8.172378,0.0
38.0,38,8.205115,0.0
48.0,48,8.246407,0.0
17.0,17,8.261103,0.0
54.0,54,8.307731,0.0
23.0,23,8.327684,0.0
20.0,20,8.344931,0.0
16.0,16,8.358773,0.0
33.0,33,8.38714,0.0
26.0,26,8.40947,0.0
85.0,85,8.482592,0.0
31.0,31,8.509305,0.0
33.0,33,8.537727,0.0
96.0,96,8.620653,0.0
49.0,49,8.662787,0.0
12.0,12,8.673194,0.0
55.0,55,8.720575,0.0
19.0,19,8.736967,0.0
30.0,30,8.762846,0.0
37.0,37,8.794793,0.0
28.0,28,8.818939,0.0
81.0,81,8.888601,13.0
22.0,22,8.907593,0.0
23.0,23,8.927395,0.0
27.0,27,8.950694,0.0
47.0,47,8.99118,0.0
32.0,32,9.018789,0.0
22.0,22,9.037756,0.0
24.0,24,9.058501,0.0
20.0,20,9.075912,0.0
55.0,55,9.123423,0.0
49.0,49,9.165667,0.0
50.0,50,9.208825,0.0
75.0,75,9.273331,0.0
22.0,22,9.29237,0.0
156.0,156,9.42702,45.0
16.0,16,9.441026,0.0
39.0,39,9.474949,0.0
45.0,45,9.514039,0.0
30.0,30,9.540102,0.0
26.0,26,9.56275,0.0
30.0,30,9.588805,0.0
93.0,93,9.669632,0.0
13.0,13,9.680971,0.0
19.0,19,9.697521,0.0
15.0,15,9.710578,0.0
12.0,12,9.721038,0.0
20.0,20,9.738444,0.0
48.0,48,9.780108,0.0
16.0,16,9.794043,0.0
35.0,35,9.824386,0.0
13.0,13,9.835691,0.0
29.0,29,10.328452,0.0
15.0,15,10.341445,0.0
22.0,22,10.360411,0.0
37.0,37,10.392234,0.0
110.0,110,10.486879,0.0
104.0,104,10.57628,0.0
44.0,44,10.614226,0.0
37.0,37,10.646088,0.0
33.0,33,10.674726,0.0
124.0,124,10.781392,8.0
42.0,42,10.817529,0.0
29.0,29,10.842472,0.0
67.0,67,10.900038,0.0
38.0,38,10.932698,0.0
107.0,107,11.024656,0.0
32.0,32,11.052169,0.0
59.0,59,11.103116,0.0
38.0,38,11.135813,0.0
75.0,75,11.20037,0.0
34.0,34,11.22964,0.0
34.0,34,11.258833,0.0
67.0,67,11.31637,0.0
27.0,27,11.339616,0.0
71.0,71,11.400703,0.0
12.0,12,11.411129,0.0
19.0,19,11.427452,0.0
25.0,25,11.448987,0.0
62.0,62,11.502516,0.0
34.0,34,11.532001,0.0
47.0,47,11.572751,0.0
20.0,20,11.590159,0.0
24.0,24,11.611026,0.0
139.0,139,11.730909,0.0
24.0,24,11.75166,0.0
37.0,37,11.783558,0.0
49.0,49,11.82577,0.0
58.0,58,11.875664,0.0
26.0,26,11.898036,0.0
121.0,121,12.002014,22.0
27.0,27,12.025266,0.0
38.0,38,12.057899,0.0
84.0,84,12.613696,0.0
47.0,47,12.654265,0.0
60.0,60,12.70589,0.0
22.0,22,12.724836,0.0
52.0,52,12.769448,0.0
32.0,32,12.79691,0.0
53.0,53,12.842518,0.0
95.0,95,12.924401,0.0
78.0,78,12.991494,0.0
46.0,46,13.031132,0.0
43.0,43,13.068128,0.0
29.0,29,13.093049,0.0
31.0,31,13.119659,0.0
48.0,48,13.161125,0.0
64.0,64,13.216094,0.0
46.0,46,13.255702,0.0
122.0,122,13.360552,0.0
84.0,84,13.432711,0.0
63.0,63,13.487072,0.0
28.0,28,13.511599,0.0
61.0,61,13.564981,0.0
54.0,54,13.613541,0.0
23.0,23,13.633559,0.0
28.0,28,13.657898,0.0
152.0,152,13.790045,0.0
72.0,72,13.852412,0.0
30.0,30,13.878229,0.0
44.0,44,13.916028,0.0
66.0,66,13.972673,0.0
37.0,37,14.004507,0.0
90.0,90,14.081891,0.0
69.0,69,14.14116,0.0
121.0,121,14.245296,0.0
86.0,86,14.319236,0.0
179.0,179,14.958961,39.0
59.0,59,15.010027,0.0
133.0,133,15.124838,39.0
42.0,42,15.161147,0.0
22.0,22,15.180207,0.0
31.0,31,15.206953,0.0
118.0,118,15.308572,0.0
159.0,159,15.445431,0.0
84.0,84,15.517849,0.0
92.0,92,15.597597,0.0
100.0,100,15.684579,23.0
46.0,46,15.72452,0.0
61.0,61,15.777773,0.0
44.0,44,15.816013,0.0
124.0,124,15.922955,43.0
