time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
436,1024,2,1,,,,,,,,,,,,,,,,
477,2048,4,2,4,-1.790451057255268,0.3805970991961658,0.054931640625,0.007690727710723877,0.027004482224583626,0.0002499488,0.0024415245,0.09997952,-0.0028487451490946114,,,,,,
576,3072,5,3,8,-1.7902830019593239,0.1259683733806014,0.020263671875,0.00987917184829712,0.032494597136974335,0.0002498976,0.0015004738,0.09995904,-0.0030785707058385015,,,,,,
645,4096,6,4,12,-1.7909901589155197,0.1345844753086567,0.0,0.008240282535552979,0.05745077133178711,0.0002498464,0.00043743447,0.09993856000000001,-0.00010273914085701108,,,,,,
694,5120,7,5,16,-1.7907217890024185,0.10717055620625615,0.0,0.019297301769256592,0.03444443643093109,0.0002497952,0.00022891589,0.09991808,0.0002664418425410986,,,,,,
732,6144,8,6,20,-1.7907827720046043,0.12456498946994543,0.0,0.028065741062164307,0.03975262492895126,0.000249744,0.0004955114,0.0998976,-0.00048536990652792156,,,,,,
757,7168,9,7,24,-1.7886300086975098,0.12483737664297223,0.0,0.03709244728088379,0.04028543084859848,0.0002496928,0.0014300793,0.09987712,-0.0014153648226056248,-20.5,3267.5,,,,
778,8192,10,8,28,-1.7799131721258163,0.10209861816838384,0.0,0.03572624921798706,0.026658186689019203,0.0002496416,0.0016784994,0.09985664,-2.8707581805065274e-05,-19.8,3603.0,,,,
796,9216,11,9,32,-1.7757936120033264,0.11031918693333864,0.0,0.03606694936752319,0.03785043954849243,0.0002495904,0.00062102196,0.09983616000000001,-0.00016573668108321726,-19.857142857142858,3838.0,,,,
812,10240,12,10,36,-1.775569424033165,0.11031851265579462,0.032958984375,0.07666319608688354,0.025714265182614326,0.00024953919999999997,0.0016255111,0.09981568,-0.0015099312586244196,-19.625,3971.125,,,,
