time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward
24,24576,27,907,0.004701839,0.08691549953073263,92,-1.6627552881836891,-0.003628192382166162,0.0002488224,0.03388321399688721,0.36972278356552124,0.09952896,0.19091796875,-20.47826086956522,3578.608695652174,,,,
,25000,,,0.0018481307,0.08558030007407069,96,-1.6724874004721642,-0.0035500398371368647,0.0002487712,0.024178821593523026,0.24513471126556396,0.09950848000000001,0.0869140625,,,-21.0,3056.0,3056.0,0.0
25,25600,41,623,,,,,,,,,,,-20.416666666666668,3602.4166666666665,,,,
26,26624,42,632,0.0022123768,0.06196669233031571,100,-1.6983319446444511,-0.002154571848222986,0.00024872,0.0061838701367378235,0.5014777779579163,0.09948800000000001,0.10791015625,-20.44,3590.16,,,,
27,27648,43,640,0.0015520583,0.10316094709560275,104,-1.7192253172397614,-0.00046600616769865155,0.0002486688,0.022373083978891373,0.3961600661277771,0.09946752,0.0048828125,-20.444444444444443,3566.259259259259,,,,
28,28672,44,648,0.0032974132,0.07067290134727955,108,-1.7128073275089264,-0.0028566697728820145,0.0002486176,0.010965423658490181,0.495797336101532,0.09944704,0.072509765625,-20.448275862068964,3587.655172413793,,,,
29,29696,45,656,0.0006112679,0.07467672508209944,112,-1.7178588584065437,-0.00034211864112876356,0.0002485664,0.0178383681923151,0.45141398906707764,0.09942656,0.01806640625,-20.451612903225808,3575.967741935484,,,,
30,30720,46,663,0.0018678592,0.0965169733390212,116,-1.7150946259498596,-0.0016189719317480922,0.0002485152,0.023743774741888046,0.3255476951599121,0.09940608000000001,0.029541015625,-20.451612903225808,3575.967741935484,,,,
31,31744,47,671,0.0011154411,0.08323557581752539,120,-1.7056863903999329,-0.000680353376083076,0.000248464,0.016513235867023468,0.27479076385498047,0.0993856,0.031005859375,-20.451612903225808,3575.967741935484,,,,
32,32768,48,677,0.0026981519,0.0381540497764945,124,-1.69514911621809,-0.0017918372177518904,0.0002484128,-0.005049543455243111,0.5995655059814453,0.09936512,0.02294921875,-20.4375,3575.90625,,,,
33,33792,49,684,0.003440098,0.05000702245160937,128,-1.6793009340763092,-0.001401100045768544,0.0002483616,0.0045809391885995865,0.6485549211502075,0.09934464,0.05126953125,-20.454545454545453,3563.5454545454545,,,,
34,34816,50,690,0.0016369337,0.0626293821260333,132,-1.6725327894091606,-0.0009752833866514266,0.0002483104,0.022952675819396973,0.6287397742271423,0.09932416,0.0419921875,-20.47222222222222,3554.8611111111113,,,,
35,35840,51,696,0.0015923592,0.08366074552759528,136,-1.685910850763321,-0.0006023058376740664,0.00024825920000000004,0.02897493913769722,0.6364085674285889,0.09930368,0.021240234375,-20.47222222222222,3554.8611111111113,,,,
36,36864,52,701,0.0038672406,0.10324486251920462,140,-1.6670481339097023,-0.0006125563522800803,0.00024820800000000003,0.0286687221378088,0.2807345986366272,0.09928320000000002,0.12939453125,-20.46153846153846,3569.4615384615386,,,,
37,37888,53,707,0.003117466,0.058419756358489394,144,-1.6515360325574875,-0.0030525316251441836,0.00024815680000000003,0.005276063457131386,0.6433532238006592,0.09926272000000001,0.18115234375,-20.46153846153846,3569.4615384615386,,,,
38,38912,54,712,0.0020834801,0.11438583116978407,148,-1.6398680359125137,-0.0018273588502779603,0.0002481056,0.026081718504428864,0.08019429445266724,0.09924224000000001,0.079833984375,-20.46153846153846,3569.4615384615386,,,,
39,39936,55,718,0.0012085629,0.08983842330053449,152,-1.6305141672492027,-0.0014466412249021232,0.0002480544,0.03252580016851425,0.3956272006034851,0.09922176,0.014892578125,-20.46153846153846,3569.4615384615386,,,,
40,40960,56,722,0.0034088653,0.05416554142720997,156,-1.614921621978283,-0.002688471518922597,0.0002480032,0.00916895642876625,0.5109018087387085,0.09920128,0.061767578125,-20.463414634146343,3577.243902439024,,,,
41,41984,57,727,0.0033198704,0.07120719202794135,160,-1.649111621081829,-0.0016487156972289085,0.000247952,0.003805665299296379,0.5946229100227356,0.09918080000000001,0.080322265625,-20.441860465116278,3593.7906976744184,,,,
42,43008,58,731,0.0026224693,0.06498167337849736,164,-1.6658735945820808,-0.0038875449972692877,0.0002479008,0.0059189945459365845,0.7843822836875916,0.09916032000000001,0.0751953125,-20.444444444444443,3594.733333333333,,,,
43,44032,59,736,0.00047875504,0.09830638347193599,168,-1.6686059832572937,-0.00014593364903703332,0.0002478496,0.026964856311678886,0.5788865089416504,0.09913984,0.003173828125,-20.4468085106383,3599.0851063829787,,,,
44,45056,60,740,0.0021539922,0.05980793898925185,172,-1.6801977530121803,-0.002105241030221805,0.0002477984,0.005454130470752716,0.6379877328872681,0.09911936,0.095703125,-20.4468085106383,3599.0851063829787,,,,
45,46080,61,744,0.0019171427,0.05423492565751076,176,-1.6958682760596275,-0.0018304208642803133,0.0002477472,-0.006661087274551392,0.4785988926887512,0.09909888,0.0498046875,-20.4468085106383,3599.0851063829787,,,,
46,47104,62,748,0.00071391737,0.05609373142942786,180,-1.6881312429904938,-0.0001858534524217248,0.000247696,0.003563918173313141,0.5494080185890198,0.09907840000000001,0.000244140625,-20.4468085106383,3599.0851063829787,,,,
47,48128,63,752,0.00255012,0.06329226377420127,184,-1.6843746602535248,-0.001801184203941375,0.0002476448,0.02156115509569645,0.6069285869598389,0.09905792000000001,0.0966796875,-20.428571428571427,3592.8979591836733,,,,
48,49152,65,756,0.0019010832,0.06296403077431023,188,-1.6651912033557892,-0.0017948764143511653,0.0002475936,0.008842755109071732,0.6133153438568115,0.09903744,0.03076171875,-20.423076923076923,3585.0384615384614,,,,
,50000,,,0.0022021313,0.06427164049819112,192,-1.6766164004802704,-0.002320236002560705,0.0002475424,0.014574667438864708,0.701530933380127,0.09901696,0.087890625,,,-21.0,3056.0,3056.0,-260.3533334
49,50176,78,636,,,,,,,,,,,-20.433962264150942,3579.5849056603774,,,,
50,51200,79,641,0.003305066,0.06380514148622751,196,-1.6853896751999855,-0.001370761136058718,0.0002474912,0.003949547186493874,0.5703258514404297,0.09899648,0.107666015625,-20.418181818181818,3584.072727272727,,,,
51,52224,80,645,0.002158919,0.0778328413143754,200,-1.696860820055008,-0.00031603395473212004,0.00024744,0.008981568738818169,0.5518332719802856,0.09897600000000001,0.001220703125,-20.418181818181818,3584.072727272727,,,,
52,53248,81,650,0.0034201972,0.11259823059663177,204,-1.720112681388855,-0.0021728522842749953,0.00024738879999999997,0.035080768167972565,0.052201807498931885,0.09895552,0.067138671875,-20.418181818181818,3584.072727272727,,,,
53,54272,82,654,0.0011093557,0.06347276596352458,208,-1.7074076160788536,-0.001648679026402533,0.0002473376,0.0024389922618865967,0.2697019577026367,0.09893504,0.153076171875,-20.418181818181818,3584.072727272727,,,,
54,55296,83,658,0.0019394625,0.08451459649950266,212,-1.7225941568613052,-0.0016902967472560704,0.0002472864,0.014255883172154427,0.27398681640625,0.09891456,0.039794921875,-20.418181818181818,3584.072727272727,,,,
55,56320,85,662,0.0013670343,0.07233383413404226,216,-1.7298585548996925,-0.000647436419967562,0.0002472352,0.014319287613034248,0.2788580060005188,0.09889408,0.01318359375,-20.45762711864407,3609.3898305084745,,,,
56,57344,86,666,0.0033215752,0.11340770358219743,220,-1.7400895655155182,-0.0018741335079539567,0.000247184,0.012218629941344261,0.6362632513046265,0.0988736,0.0771484375,-20.42622950819672,3617.9508196721313,,,,
57,58368,87,669,0.0010484278,0.059691944392398,224,-1.7307883352041245,-0.0009558343444950879,0.0002471328,0.008497849106788635,0.6954225301742554,0.09885312000000002,0.005126953125,-20.419354838709676,3619.7580645161293,,,,
58,59392,88,673,0.0018820629,0.05149705405347049,228,-1.733382523059845,-0.000784466159529984,0.0002470816,0.004044884815812111,0.7359559535980225,0.09883264000000001,0.00732421875,-20.428571428571427,3626.1746031746034,,,,
59,60416,89,677,0.00090836326,0.052638107910752296,232,-1.7430779486894608,-0.0002895011566579342,0.0002470304,-0.003206845372915268,0.754665732383728,0.09881216000000001,0.0,-20.428571428571427,3626.1746031746034,,,,
60,61440,90,680,0.0011117877,0.042545409174636006,236,-1.7440372556447983,-0.0007130444864742458,0.0002469792,-0.00017529353499412537,0.5557371377944946,0.09879168,0.0009765625,-20.428571428571427,3626.1746031746034,,,,
61,62464,91,684,0.0025159074,0.03322507662232965,240,-1.7422301843762398,-0.0016277587274089456,0.000246928,-0.005493074655532837,0.761195719242096,0.0987712,0.01513671875,-20.454545454545453,3600.257575757576,,,,
62,63488,92,687,0.0028460533,0.08012345712631941,244,-1.7542387172579765,-0.0023527832818217576,0.0002468768,0.008038323372602463,0.7424737215042114,0.09875072000000001,0.081787109375,-20.47826086956522,3580.072463768116,,,,
63,64512,93,690,0.003086206,0.06332220323383808,248,-1.7569709718227386,-0.0023230009828694165,0.00024682560000000004,0.005249546840786934,0.7777949571609497,0.09873024000000001,0.090087890625,-20.47826086956522,3580.072463768116,,,,
64,65536,94,694,0.002630888,0.050197162898257375,252,-1.771112136542797,-0.002643003885168582,0.00024677440000000003,0.0025950446724891663,0.7733933925628662,0.09870976000000001,0.097412109375,-20.485714285714284,3576.0142857142855,,,,
65,66560,95,697,0.0031273747,0.043128959368914366,256,-1.7666130363941193,-0.0033565388584975153,0.00024672320000000003,-0.006620112806558609,0.6318754553794861,0.09868928,0.11376953125,-20.47887323943662,3578.521126760563,,,,
66,67584,96,700,0.002057661,0.09501868952065706,260,-1.7602670565247536,-0.002398470649495721,0.000246672,0.01947132498025894,0.5251712799072266,0.0986688,0.09716796875,-20.47887323943662,3578.521126760563,,,,
67,68608,97,703,0.0027442875,0.08701264159753919,264,-1.7577330768108368,-0.00012649432756006718,0.0002466208,0.02072831057012081,0.3649461269378662,0.09864832000000001,0.03564453125,-20.48611111111111,3571.2638888888887,,,,
68,69632,98,706,0.0017145156,0.05409019044600427,268,-1.7435752898454666,-0.0016531232395209372,0.0002465696,0.007459744811058044,0.7184523344039917,0.09862784000000001,0.02197265625,-20.48,3569.306666666667,,,,
69,70656,99,709,0.005211789,0.062477484345436096,272,-1.7324612215161324,-0.0017308797396253794,0.0002465184,-0.00039918720722198486,0.7658991813659668,0.09860736,0.0615234375,-20.473684210526315,3568.5394736842104,,,,
70,71680,100,711,0.0013426642,0.06938207778148353,276,-1.7158771082758904,-0.0006088127265684307,0.0002464672,0.01807592436671257,0.5495978593826294,0.09858688,0.087890625,-20.48051948051948,3572.7402597402597,,,,
71,72704,101,714,0.0029791368,0.07434140145778656,280,-1.7071411982178688,-0.0008435898635070771,0.000246416,0.012351179495453835,0.4648175835609436,0.0985664,0.038818359375,-20.487179487179485,3573.8076923076924,,,,
72,73728,102,717,0.0025770029,0.06375677790492773,284,-1.7190446704626083,-0.0019030851544812322,0.0002463648,0.004543483257293701,0.5771032571792603,0.09854592000000001,0.068603515625,-20.487179487179485,3573.8076923076924,,,,
73,74752,103,720,0.0028580884,0.03335976495873183,288,-1.723014511168003,-0.0028907324885949492,0.0002463136,-0.008133172988891602,0.8934633731842041,0.09852544,0.078369140625,-20.49367088607595,3580.8227848101264,,,,
,75000,,,0.0009140443,0.04619991686195135,292,-1.7364550232887268,-0.0004446107486728579,0.0002462624,0.0016114376485347748,0.8639873266220093,0.09850496,0.0263671875,,,-21.0,3056.0,3056.0,-262.31333340000003
74,75776,117,644,,,,,,,,,,,-20.5,3578.7125,,,,
75,76800,118,647,0.0020149369,0.04764821124263108,296,-1.7170503437519073,-0.00048773951129987836,0.0002462112,0.006147605367004871,0.6857547760009766,0.09848448,0.04150390625,-20.51219512195122,3577.768292682927,,,,
76,77824,119,650,0.0011647011,0.06597140082158148,300,-1.729643002152443,-0.0012116258149035275,0.00024616,0.008032511919736862,0.8434414863586426,0.098464,0.027099609375,-20.49411764705882,3578.3529411764707,,,,
77,78848,120,653,0.002150157,0.06360502890311182,304,-1.7181534245610237,-0.0007332653040066361,0.0002461088,0.02040441520512104,0.7111697196960449,0.09844352,0.000732421875,-20.49411764705882,3578.3529411764707,,,,
78,79872,121,655,0.0024109837,0.07542870589531958,308,-1.7036552727222443,-0.0006988794193603098,0.0002460576,0.007661297917366028,0.34364455938339233,0.09842304,0.0478515625,-20.49411764705882,3578.3529411764707,,,,
79,80896,122,658,0.0019681398,0.04148384043946862,312,-1.6844943389296532,-0.0014185140025801957,0.00024600640000000003,0.008377768099308014,0.7078790664672852,0.09840256000000001,0.061767578125,-20.5,3584.7906976744184,,,,
80,81920,123,661,0.00028859492,0.05611352855339646,316,-1.7126792669296265,0.00017600954743102193,0.0002459552,0.0005570724606513977,0.6244528293609619,0.09838208000000001,0.0,-20.50574712643678,3582.3563218390805,,,,
81,82944,124,664,0.0023614282,0.0553119326941669,320,-1.7084313705563545,-0.002468943508574739,0.000245904,0.0015154331922531128,0.6664995551109314,0.09836160000000001,0.060302734375,-20.511363636363637,3583.193181818182,,,,
82,83968,125,666,0.0014431744,0.0707353656180203,324,-1.7231805548071861,-0.0003611826687119901,0.0002458528,0.014303212985396385,0.5412988662719727,0.09834112,0.004638671875,-20.52747252747253,3577.5934065934066,,,,
83,84992,126,669,0.0010598204,0.0705140579957515,328,-1.739040806889534,-0.0003982590860687196,0.0002458016,0.013062829151749611,0.7006559371948242,0.09832064000000001,0.0146484375,-20.526881720430108,3588.05376344086,,,,
84,86016,127,672,0.0027370001,0.05314715672284365,332,-1.745178110897541,-0.00317925593117252,0.0002457504,-0.00633653812110424,0.708200991153717,0.09830016000000001,0.1533203125,-20.526881720430108,3588.05376344086,,,,
85,87040,129,674,0.0011878335,0.08855526801198721,336,-1.7437132596969604,0.00012380443513393402,0.0002456992,0.03022034280002117,0.30982595682144165,0.09827968000000001,0.0,-20.52127659574468,3586.978723404255,,,,
86,88064,130,677,0.002235864,0.07193789444863796,340,-1.7250444293022156,-0.0026521888212300837,0.000245648,7.808394730091095e-05,0.665717363357544,0.0982592,0.09375,-20.526315789473685,3585.178947368421,,,,
87,89088,131,679,0.0023372886,0.042876450810581446,344,-1.6991606652736664,-0.0025470145628787577,0.0002455968,-0.01228361576795578,0.7968478202819824,0.09823872,0.06103515625,-20.526315789473685,3585.178947368421,,,,
88,90112,132,681,0.0023824547,0.02646977175027132,348,-1.6898895874619484,-0.0020581427379511297,0.0002455456,-0.014596456661820412,0.7291062474250793,0.09821824000000001,0.061279296875,-20.520833333333332,3587.7083333333335,,,,
89,91136,133,684,0.0051629026,0.04103215201757848,352,-1.6755258291959763,-0.003532690490828827,0.0002454944,-0.005986543372273445,0.8331665992736816,0.09819776000000001,0.18408203125,-20.53,3580.48,,,,
90,92160,134,686,0.0008329411,0.0593144497834146,356,-1.677878051996231,-0.0003474158584140241,0.0002454432,0.016051221638917923,0.7788782119750977,0.09817728,0.05615234375,-20.53,3582.88,,,,
91,93184,135,688,0.0022679653,0.04903815104626119,360,-1.692694552242756,-0.001417306630173698,0.000245392,0.014428524300456047,0.718093752861023,0.0981568,0.04931640625,-20.53,3582.88,,,,
92,94208,136,691,0.0016020497,0.08223894680850208,364,-1.6892350614070892,-0.0013636349758598953,0.0002453408,0.018117791041731834,0.6060689687728882,0.09813632,0.009521484375,-20.54,3580.84,,,,
93,95232,137,693,0.002438548,0.047959455056115985,368,-1.6849373206496239,-0.0015893896343186498,0.0002452896,0.001810658723115921,0.709875226020813,0.09811584000000001,0.023193359375,-20.54,3581.94,,,,
94,96256,138,695,0.00052294607,0.07264597923494875,372,-1.6978568136692047,-0.0003011429216712713,0.0002452384,0.012938141822814941,0.6416858434677124,0.09809536,0.014892578125,-20.54,3581.94,,,,
95,97280,139,697,0.002001946,0.05351773975417018,376,-1.6980124935507774,-0.0009049849468283355,0.0002451872,0.0006282646209001541,0.5543175935745239,0.09807488,0.017333984375,-20.58,3576.85,,,,
96,98304,140,699,0.0018292329,0.0708471059333533,380,-1.7173238173127174,-0.0013389287050813437,0.000245136,0.004874827340245247,0.7437103986740112,0.0980544,0.005859375,-20.59,3556.15,,,,
97,99328,141,701,0.0024004106,0.05039765266701579,384,-1.7376272305846214,-0.0008187925268430263,0.0002450848,0.0020321905612945557,0.7986568212509155,0.09803392,0.00927734375,-20.58,3560.97,,,,
,100000,,,0.0006035707,0.06888429797254503,388,-1.7481356486678123,-0.0010245443554595113,0.0002450336,0.013920033350586891,0.6697746515274048,0.09801344000000001,0.0,,,-21.0,3056.0,3056.0,-261.62
98,100352,155,646,,,,,,,,,,,-20.57,3561.49,,,,
99,101376,156,648,0.00045165233,0.05659213266335428,392,-1.752289317548275,-0.0009532776311971247,0.0002449824,0.006915327161550522,0.693382978439331,0.09799296,0.000732421875,-20.57,3561.49,,,,
100,102400,157,650,0.00078732055,0.06274381652474403,396,-1.7517611756920815,-0.0007078395574353635,0.0002449312,0.0061125438660383224,0.6025269031524658,0.09797248,0.0,-20.56,3558.49,,,,
101,103424,158,653,0.0029365253,0.08375514252111316,400,-1.7415663823485374,-0.003203028754796833,0.00024488,0.015957064926624298,0.586861789226532,0.097952,0.116455078125,-20.56,3558.49,,,,
102,104448,159,655,0.0010146727,0.03618039796128869,404,-1.737878642976284,-0.0005774169694632292,0.0002448288,-0.0044870879501104355,0.6779289245605469,0.09793152000000001,0.0,-20.57,3558.98,,,,
103,105472,160,657,0.00052404817,0.03179710218682885,408,-1.7369736209511757,-0.0005580416182056069,0.0002447776,-0.007744834758341312,0.8675617575645447,0.09791104,0.000244140625,-20.57,3561.85,,,,
104,106496,161,659,0.0016578365,0.051035298965871334,412,-1.725672334432602,-0.0017953950737137347,0.00024472640000000004,0.011728951707482338,0.8111480474472046,0.09789056000000002,0.02587890625,-20.57,3562.54,,,,
105,107520,162,661,0.0025023585,0.10022450564429164,416,-1.7265896052122116,-0.0014776965836063027,0.00024467520000000004,0.027983592823147774,0.5848196148872375,0.09787008000000001,0.05029296875,-20.57,3562.54,,,,
106,108544,163,663,0.005063125,0.06925360625609756,420,-1.6899928376078606,-0.0035559220414143056,0.00024462400000000003,0.01808648183941841,0.5619403123855591,0.09784960000000001,0.138671875,-20.57,3562.54,,,,
107,109568,164,665,0.003451369,0.03757523046806455,424,-1.7025283873081207,-0.00148542839451693,0.00024457280000000003,0.0028407108038663864,0.7270292043685913,0.09782912,0.102783203125,-20.56,3568.24,,,,
108,110592,165,667,0.0023848577,0.03713496250566095,428,-1.706560529768467,-0.0021781938266940415,0.00024452160000000003,-0.010525841265916824,0.8097062110900879,0.09780864,0.061279296875,-20.56,3568.24,,,,
109,111616,166,669,0.0007003597,0.038524688221514225,432,-1.7264114916324615,-0.0005938046961091459,0.0002444704,-0.004619082435965538,0.7816186547279358,0.09778816000000001,0.001708984375,-20.56,3565.68,,,,
110,112640,167,671,0.0017370903,0.06432195799425244,436,-1.7267400845885277,-0.001713128702249378,0.0002444192,0.005899256095290184,0.7490514516830444,0.09776768000000001,0.041015625,-20.55,3564.21,,,,
111,113664,168,673,0.0008970156,0.10179656185209751,440,-1.718140460550785,-0.0008097129466477782,0.000244368,0.013246221467852592,0.44910794496536255,0.0977472,0.0009765625,-20.54,3567.35,,,,
112,114688,169,675,0.002431471,0.07545746420510113,444,-1.7233536392450333,-0.0015827254392206669,0.0002443168,0.011495489627122879,0.6676791906356812,0.09772672,0.07080078125,-20.53,3572.88,,,,
113,115712,170,677,0.0033269105,0.07277495879679918,448,-1.7316725999116898,-0.0020883955876342952,0.0002442656,0.012394681572914124,0.5888063907623291,0.09770624,0.06884765625,-20.53,3572.88,,,,
114,116736,171,679,0.00035152986,0.08048600028268993,452,-1.7360427975654602,0.0003405608586035669,0.0002442144,0.01802801713347435,0.44996607303619385,0.09768576000000001,0.000732421875,-20.53,3572.88,,,,
115,117760,172,681,0.00046850904,0.09944378910586238,456,-1.7337494865059853,0.0004025364760309458,0.0002441632,0.02982226386666298,0.41947489976882935,0.09766528000000001,0.0,-20.53,3572.88,,,,
116,118784,173,682,0.0037022145,0.08780068764463067,460,-1.728102058172226,-0.00254156204755418,0.000244112,0.018043003976345062,0.5150465965270996,0.0976448,0.115478515625,-20.5,3592.92,,,,
117,119808,174,684,0.0018481632,0.056060040136799216,464,-1.7421057596802711,-0.0005626234342344105,0.0002440608,-0.0016043540090322495,0.7257919311523438,0.09762432,0.05224609375,-20.49,3587.89,,,,
118,120832,176,686,0.0021966908,0.10172767052426934,468,-1.715987354516983,-0.0031271813204512,0.0002440096,0.02276165969669819,0.5737521052360535,0.09760384,0.12451171875,-20.49,3599.03,,,,
119,121856,177,688,0.00093308836,0.05745238275267184,472,-1.706889532506466,-4.807923687621951e-05,0.00024395839999999998,0.013875022530555725,0.7619236707687378,0.09758336000000001,0.005615234375,-20.49,3599.03,,,,
120,122880,178,689,0.0019362648,0.06413619848899543,476,-1.713492028415203,-0.0035278014838695526,0.0002439072,-0.00534810870885849,0.8183772563934326,0.09756288,0.074462890625,-20.47,3618.1,,,,
121,123904,179,691,0.0023475606,0.04893026896752417,480,-1.7232756987214088,-0.0021860013948753476,0.000243856,-0.003079606220126152,0.8637385964393616,0.0975424,0.02880859375,-20.47,3618.1,,,,
122,124928,180,693,0.0032653173,0.016947206982877105,484,-1.7384586036205292,-0.002165221201721579,0.0002438048,-0.015718137845396996,0.8443737626075745,0.09752192,0.090087890625,-20.47,3618.1,,,,
,125000,,,0.0025465847,0.032351892557926476,488,-1.7462733834981918,-0.0030162082402966917,0.0002437536,0.0034785903990268707,0.9016097784042358,0.09750144,0.095458984375,,,-21.0,3056.0,3056.0,-261.44666659999996
123,125952,193,649,,,,,,,,,,,-20.47,3613.07,,,,
124,126976,194,651,0.0014898232,0.04203238966874778,492,-1.7427616119384766,-0.0008111845818348229,0.0002437024,0.004641808569431305,0.862192690372467,0.09748096,0.0078125,-20.48,3603.92,,,,
125,128000,196,652,0.00263392,0.05410694517195225,496,-1.7393807843327522,-0.0013579942751675844,0.00024365120000000002,0.002270776778459549,0.7717277407646179,0.09746048000000002,0.04443359375,-20.48,3598.25,,,,
126,129024,197,654,0.0021658826,0.06748415553011,500,-1.7465654909610748,-0.0019113157177343965,0.0002436,0.014457037672400475,0.7636001110076904,0.09744000000000001,0.019775390625,-20.48,3595.02,,,,
127,130048,198,656,0.0015315516,0.028806581627577543,504,-1.7494251355528831,-0.0006502721807919443,0.0002435488,-0.002841658890247345,0.8314731121063232,0.09741952000000001,0.010498046875,-20.48,3595.02,,,,
128,131072,199,658,0.0009381852,0.08348959730938077,508,-1.7565184980630875,-0.000928282446693629,0.0002434976,0.015381498262286186,0.48042893409729004,0.09739904,0.0,-20.49,3595.23,,,,
129,132096,200,659,0.0010155078,0.044542543357238173,512,-1.7544790878891945,-0.0007472086581401527,0.0002434464,-0.0010992716997861862,0.7555174231529236,0.09737856,0.007568359375,-20.5,3590.84,,,,
