time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward,eval/mean_object_ep_length
2,1,399,1024,,,,,,,,,,,,,,,,
4,2,444,2048,0.09997952,0.031982421875,4,0.3771376581862569,0.01788654737174511,-0.015395760536193848,-1.7904182821512222,0.0016155087,-0.001465513021685183,0.0002499488,,,,,,
5,3,546,3072,0.09995904,0.059814453125,8,0.14646425563842058,0.051774878054857254,0.006200850009918213,-1.7875043600797653,0.002947495,-0.003029251311090775,0.0002498976,,,,,,
6,4,617,4096,0.09993856000000001,0.099365234375,12,0.1600512284785509,0.04270134121179581,0.0030335187911987305,-1.7737441509962082,0.0036158925,-0.0030840825638733804,0.0002498464,,,,,,
7,5,669,5120,0.09991808,0.0,16,0.11501609114930034,0.030662942677736282,0.00844508409500122,-1.7737574949860573,0.0010197752,-0.0004999756929464638,0.0002497952,,,,,,
8,6,709,6144,0.0998976,0.014404296875,20,0.12652906961739063,0.030503027141094208,0.010204017162322998,-1.7748702242970467,0.0023199643,-0.0015098520671017468,0.000249744,,,,,,
9,7,739,7168,0.09987712,0.0,24,0.10747081786394119,0.029745202511548996,0.035365939140319824,-1.7824017405509949,0.0012516836,-0.0011825328692793846,0.0002496928,-20.333333333333332,3463.0,,,,
10,8,763,8192,0.09985664,0.001708984375,28,0.1168653997592628,0.027987023815512657,-0.016861438751220703,-1.7829136401414871,0.0011702025,-0.0012933212565258145,0.0002496416,-19.833333333333332,3676.6666666666665,,,,
11,9,783,9216,0.09983616000000001,0.1083984375,32,0.10137347411364317,0.023964641615748405,0.01728755235671997,-1.766642265021801,0.003037272,-0.001395932340528816,0.0002495904,-19.875,3842.5,,,,
12,10,801,10240,0.09981568,0.013916015625,36,0.0955691090784967,0.024812661111354828,0.02768838405609131,-1.7651309445500374,0.0015745354,-0.0012901080772280693,0.00024953919999999997,-19.875,3842.5,,,,
13,11,816,11264,0.0997952,0.0888671875,40,0.13541627349331975,0.04717326909303665,0.02389359474182129,-1.7448007985949516,0.0021211023,-0.0019169792940374464,0.00024948799999999997,-19.875,3842.5,,,,
14,12,829,12288,0.09977472,0.083984375,44,0.09712453838437796,0.017591426149010658,0.09444403648376465,-1.7306827828288078,0.0029189372,-0.0026492440956644714,0.0002494368,-19.875,3842.5,,,,
15,13,841,13312,0.09975424000000001,0.0,48,0.10310849733650684,0.034733615815639496,0.0994216799736023,-1.7238284945487976,0.00072104717,-9.447352204006165e-05,0.0002493856,-20.0,3763.1111111111113,,,,
16,14,849,14336,0.09973376,0.02392578125,52,0.08486044639721513,0.029933007434010506,0.19791489839553833,-1.727286472916603,0.002098158,-0.0008210867526941001,0.0002493344,-20.166666666666668,3681.5833333333335,,,,
17,15,858,15360,0.09971328000000002,0.048828125,56,0.09392003621906042,0.03248825669288635,0.18321818113327026,-1.7133887484669685,0.002922568,-0.00167328113457188,0.0002492832,-20.23076923076923,3639.230769230769,,,,
18,16,866,16384,0.09969280000000001,0.189453125,60,0.0827772794291377,0.02514246292412281,0.12715458869934082,-1.6844052597880363,0.0029122296,-0.00012427708134055138,0.000249232,-20.266666666666666,3618.4666666666667,,,,
19,17,873,17408,0.09967232000000001,0.007080078125,64,0.09578390000388026,0.022766288369894028,0.2512522339820862,-1.7149156779050827,0.00125412,-0.0012641216162592173,0.0002491808,-20.25,3677.5625,,,,
20,18,879,18432,0.09965184,0.09716796875,68,0.06529668881557882,0.009439613670110703,0.35408443212509155,-1.7384855449199677,0.0028744438,-0.0016979635984171182,0.0002491296,-20.25,3677.5625,,,,
21,19,885,19456,0.09963136,0.15087890625,72,0.07298526237718761,0.009694928303360939,0.45130598545074463,-1.723713219165802,0.0027106053,-0.0032473478640895337,0.0002490784,-20.294117647058822,3645.4117647058824,,,,
22,20,890,20480,0.09961088000000001,0.10400390625,76,0.08611157722771168,0.0224287249147892,0.39926546812057495,-1.7058143466711044,0.0024823034,-0.0036500482237897813,0.0002490272,-20.36842105263158,3608.0526315789475,,,,
24,21,895,21504,0.09959040000000001,0.011474609375,80,0.06742017297074199,0.02279544807970524,0.44343453645706177,-1.6971387192606926,0.0013795685,-0.00030043849255889654,0.000248976,-20.428571428571427,3590.5238095238096,,,,
25,22,899,22528,0.09956992,0.224365234375,84,0.0870008715428412,0.02995251677930355,0.2869495749473572,-1.67344568669796,0.0055435505,-0.002160254865884781,0.00024892480000000003,-20.454545454545453,3569.6363636363635,,,,
26,23,903,23552,0.09954944,0.169677734375,88,0.07672727154567838,0.01784694753587246,0.2794603109359741,-1.665623776614666,0.0034802738,-0.002583042427431792,0.00024887360000000003,-20.47826086956522,3578.608695652174,,,,
27,24,907,24576,0.09952896,0.19091796875,92,0.08691549953073263,0.03388321399688721,0.36972278356552124,-1.6627552881836891,0.004701839,-0.003628192382166162,0.0002488224,-20.47826086956522,3578.608695652174,,,,
,,,25000,0.09950848000000001,0.0869140625,96,0.08558030007407069,0.024178821593523026,0.24513471126556396,-1.6724874004721642,0.0018481307,-0.0035500398371368647,0.0002487712,,,3056.0,-21.0,-0.128,3056.0
40,25,627,25600,,,,,,,,,,,-20.416666666666668,3602.4166666666665,,,,
