time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_object_reward,eval/mean_score_ep_length
1,1024,3,339,,,,,,,,,,,,,,,,
2,2048,14,145,0.027842486277222633,-1.7908380255103111,0.36877023288980126,-0.025661349296569824,4,0.09997952,-0.00024249129637610167,0.015380859375,0.0002499488,0.0005417373,,,,,,
3,3072,24,125,0.04102508723735809,-1.7909116446971893,0.13456685189157724,0.0006363987922668457,8,0.09995904,-7.46506848372519e-05,0.0,0.0002498976,0.00010799093,,,,,,
4,4096,35,116,0.03552907705307007,-1.7903639301657677,0.16062383819371462,0.008250653743743896,12,0.09993856000000001,-0.0004905433452222496,0.0,0.0002498464,0.00023374893,,,,,,
5,5120,45,111,0.0305923018604517,-1.7889548987150192,0.1066762120462954,0.018232345581054688,16,0.09991808,0.0004145079874433577,0.0,0.0002497952,0.00018451095,,,,,,
6,6144,55,109,0.031168071553111076,-1.7899656295776367,0.10896181501448154,0.02659785747528076,20,0.0998976,-4.415131115820259e-05,0.0,0.000249744,0.00048430794,-21.0,3056.0,,,,
7,7168,66,107,0.05755393207073212,-1.789331205189228,0.14336627488955855,0.01352083683013916,24,0.09987712,-0.0015803065616637468,0.0,0.0002496928,0.0015222279,-20.5,3363.5,,,,
8,8192,76,106,0.041625116020441055,-1.7802444398403168,0.11762568214908242,0.03345620632171631,28,0.09985664,-0.00020141279674135149,0.027587890625,0.0002496416,0.0019926,-20.2,3440.4,,,,
9,9216,87,105,0.02607416734099388,-1.7731380015611649,0.08090221555903554,0.020447731018066406,32,0.09983616000000001,-0.0021445895254146308,0.05224609375,0.0002495904,0.0032673539,-19.714285714285715,3704.0,,,,
10,10240,97,104,0.02875629812479019,-1.7653935849666595,0.10357365710660815,0.0677483081817627,36,0.09981568,-0.0001410257536917925,0.0,0.00024953919999999997,0.00031921774,-19.75,3833.375,,,,
11,11264,108,103,0.033795684576034546,-1.769313745200634,0.11166151240468025,0.07845073938369751,40,0.0997952,-0.0006441892692237161,0.0078125,0.00024948799999999997,0.0008164351,-19.75,3833.375,,,,
12,12288,118,103,0.024195510894060135,-1.7655889764428139,0.1314607639797032,0.11718428134918213,44,0.09977472,-0.00032281671883538365,0.0,0.0002494368,0.001168296,-19.75,3833.375,,,,
13,13312,129,102,0.015492916107177734,-1.7626061886548996,0.07775587914511561,0.16665613651275635,48,0.09975424000000001,0.00020445070549612865,0.0,0.0002493856,0.00024216581,-19.88888888888889,3786.5555555555557,,,,
14,14336,139,102,0.019393742084503174,-1.7593742311000824,0.06877497863024473,0.2887178063392639,52,0.09973376,-0.0023998652468435466,0.07373046875,0.0002493344,0.0026971246,-20.0,3797.1,,,,
15,15360,150,102,0.04702035337686539,-1.753690056502819,0.10557451890781522,0.17549246549606323,56,0.09971328000000002,-0.0010633934871293604,0.0263671875,0.0002492832,0.002014092,-20.071428571428573,3770.6428571428573,,,,
16,16384,160,101,0.0425274521112442,-1.7575062960386276,0.1277467217296362,0.15440720319747925,60,0.09969280000000001,0.0004961984232068062,0.0048828125,0.000249232,0.0007299601,-20.071428571428573,3770.6428571428573,,,,
17,17408,171,101,0.022258473560214043,-1.7485979497432709,0.09110383037477732,0.12475204467773438,64,0.09967232000000001,-0.0019902362546417862,0.07666015625,0.0002491808,0.003145684,-20.125,3767.0625,,,,
18,18432,181,101,0.028675580397248268,-1.7604904025793076,0.09972319612279534,0.2217956781387329,68,0.09965184,-0.0024232722935266793,0.014892578125,0.0002491296,0.002910259,-20.125,3767.0625,,,,
19,19456,192,101,0.016323361545801163,-1.7563271522521973,0.086436134763062,0.23218196630477905,72,0.09963136,-0.002640310034621507,0.09765625,0.0002490784,0.0032971285,-20.125,3767.0625,,,,
20,20480,202,101,-0.00027713552117347717,-1.7531920671463013,0.05661891005001962,0.47519510984420776,76,0.09961088000000001,-0.0018669998971745372,0.00537109375,0.0002490272,0.001980419,-20.11764705882353,3754.3529411764707,,,,
21,21504,213,100,0.0059705693274736404,-1.7525549679994583,0.05009119608439505,0.5481976866722107,80,0.09959040000000001,-0.0006082397740101442,0.031005859375,0.000248976,0.0011094284,-20.166666666666668,3734.222222222222,,,,
22,22528,224,100,0.010105790570378304,-1.757749319076538,0.06783019471913576,0.4935535192489624,84,0.09956992,-0.0030500615102937445,0.048828125,0.00024892480000000003,0.0024280627,-20.238095238095237,3718.5238095238096,,,,
23,23552,236,99,0.010330691933631897,-1.748182363808155,0.07481236057356,0.456556499004364,88,0.09954944,-0.0013770654622931033,0.01171875,0.00024887360000000003,0.0014241418,-20.208333333333332,3716.0,,,,
24,24576,247,99,0.023250391706824303,-1.745146743953228,0.083590695168823,0.41562163829803467,92,0.09952896,0.00011324026854708791,0.0,0.0002488224,0.001131688,-20.208333333333332,3716.0,,,,
,25000,,,0.01010173186659813,-1.7340838983654976,0.06966627109795809,0.36380714178085327,96,0.09950848000000001,-0.0020494586206041276,0.078125,0.0002487712,0.00279748,,,3056.0,-21.0,-0.128,3056.0
25,25600,296,86,,,,,,,,,,,-20.208333333333332,3716.0,,,,
26,26624,307,86,0.02001103200018406,-1.7314557060599327,0.0773345110937953,0.3575117588043213,100,0.09948800000000001,-0.0018761484825517982,0.092529296875,0.00024872,0.0024372428,-20.24,3699.52,,,,
27,27648,319,86,0.020943064242601395,-1.7415129244327545,0.08547438541427255,0.4835873246192932,104,0.09946752,-0.0007288443739525974,0.010009765625,0.0002486688,0.0020302604,-20.24,3699.52,,,,
28,28672,329,86,0.01127607375383377,-1.7444580122828484,0.06198977096937597,0.5494749546051025,108,0.09944704,-0.0030133541440591216,0.128662109375,0.0002486176,0.0040819296,-20.26923076923077,3677.653846153846,,,,
