time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
1,1024,2,436,,,,,,,,,,,,,,,,
2,2048,4,477,-0.034090280532836914,0.41773663461208344,4,0.0002499488,-1.7900779843330383,0.09997952,0.0018789298,0.011474609375,-0.0019057723111473024,0.024134619161486626,,,,,,
3,3072,5,577,0.004878878593444824,0.12629129039123654,8,0.0002498976,-1.7899145781993866,0.09995904,0.00015078316,0.0,3.6200450267642736e-05,0.036694496870040894,,,,,,
4,4096,6,645,0.004998266696929932,0.11883938917890191,12,0.0002498464,-1.785428985953331,0.09993856000000001,0.0021723688,0.01708984375,-0.001618564041564241,0.03260534256696701,,,,,,
5,5120,7,694,0.00926119089126587,0.13571423944085836,16,0.0002497952,-1.777134194970131,0.09991808,0.0018159393,0.035888671875,-0.001393566228216514,0.05079212039709091,,,,,,
6,6144,8,731,0.01447904109954834,0.12147465907037258,20,0.000249744,-1.7722647041082382,0.0998976,0.001439249,0.020751953125,-0.0015774736530147493,0.03812464699149132,,,,,,
7,7168,9,759,0.008049964904785156,0.11058062314987183,24,0.0002496928,-1.7782487720251083,0.09987712,0.0025294821,0.07177734375,-0.002324535307707265,0.03460526466369629,3468.0,-21.0,,,,
8,8192,10,780,0.0012453794479370117,0.11990111041814089,28,0.0002496416,-1.780688613653183,0.09985664,0.00233134,0.1015625,-0.001985783805139363,0.033659953624010086,3749.3333333333335,-20.5,,,,
9,9216,11,799,0.01795196533203125,0.10824017785489559,32,0.0002495904,-1.784000150859356,0.09983616000000001,0.0004506883,0.0,-0.00035209814086556435,0.03612632304430008,3878.625,-20.375,,,,
10,10240,12,815,0.040531933307647705,0.0971461427398026,36,0.00024953919999999997,-1.7838189899921417,0.09981568,0.00076535175,0.0,-0.0007753981626592577,0.02660023607313633,3878.625,-20.375,,,,
11,11264,13,829,0.04801523685455322,0.10333211487159133,40,0.00024948799999999997,-1.7806379869580269,0.0997952,0.0004864614,0.0,0.00017647998174652457,0.029867883771657944,3878.625,-20.375,,,,
12,12288,14,841,0.04900628328323364,0.11002640891820192,44,0.0002494368,-1.7809398770332336,0.09977472,0.00069730217,0.0,-0.00045782665256410837,0.042404450476169586,3878.625,-20.375,,,,
13,13312,15,852,0.06354451179504395,0.10836925450712442,48,0.0002493856,-1.778198167681694,0.09975424000000001,0.0009835707,0.0,-0.0007692009676247835,0.03449670225381851,3814.777777777778,-20.444444444444443,,,,
14,14336,16,860,0.09182018041610718,0.12976213777437806,52,0.0002493344,-1.7809693217277527,0.09973376,0.0011464853,0.0,-0.0011450615129433572,0.04085088521242142,3742.181818181818,-20.454545454545453,,,,
15,15360,17,867,0.1285938024520874,0.11254174774512649,56,0.0002492832,-1.779841661453247,0.09971328000000002,0.002078643,0.0361328125,-0.0010928829433396459,0.01830696128308773,3677.769230769231,-20.46153846153846,,,,
16,16384,18,874,0.09484773874282837,0.13472444424405694,60,0.000249232,-1.7749849036335945,0.09969280000000001,0.0013035306,0.0361328125,-0.0016680730623193085,0.04746000096201897,3709.133333333333,-20.4,,,,
17,17408,19,880,0.14571475982666016,0.09951135469600558,64,0.0002491808,-1.7720008939504623,0.09967232000000001,0.0021688892,0.006591796875,-0.002233116771094501,0.026864781975746155,3709.133333333333,-20.4,,,,
18,18432,20,886,0.261369526386261,0.07441560924053192,68,0.0002491296,-1.7627823799848557,0.09965184,0.0013548434,0.04052734375,-0.0012489191722124815,0.018202204257249832,3772.9375,-20.25,,,,
19,19456,21,892,0.2797563672065735,0.07405602466315031,72,0.0002490784,-1.7718345746397972,0.09963136,0.0012837943,0.0,-0.0011372181179467589,0.008551353588700294,3772.9375,-20.25,,,,
20,20480,22,897,0.34633708000183105,0.06979918177239597,76,0.0002490272,-1.775616928935051,0.09961088000000001,0.0010898699,0.0,-0.0007442805217579007,0.01444004476070404,3772.9375,-20.25,,,,
21,21504,23,900,0.44375288486480713,0.05698961531743407,80,0.000248976,-1.7539028748869896,0.09959040000000001,0.0020587007,0.06787109375,-0.0014724517823196948,0.018831102177500725,3727.45,-20.25,,,,
22,22528,24,904,0.11798560619354248,0.1077344617806375,84,0.00024892480000000003,-1.7418943867087364,0.09956992,0.0023972397,0.1572265625,-0.004725395934656262,0.028013866394758224,3698.590909090909,-20.318181818181817,,,,
23,23552,25,907,0.16882836818695068,0.10531957587227225,88,0.00024887360000000003,-1.7167362570762634,0.09954944,0.0015576868,0.036865234375,-0.0016982843226287514,0.021804558113217354,3698.590909090909,-20.318181818181817,,,,
24,24576,26,911,0.16192662715911865,0.1040596030652523,92,0.0002488224,-1.7187661677598953,0.09952896,0.003610682,0.088623046875,-0.0007661139825358987,0.025005090981721878,3698.590909090909,-20.318181818181817,,,,
,25000,,,0.3440335988998413,0.08903567958623171,96,0.0002487712,-1.7153171300888062,0.09950848000000001,0.0021265822,0.045654296875,-0.0008983112638816237,0.022277286276221275,,,3056.0,3056.0,0.0,-21.0
25,25600,40,627,,,,,,,,,,,3739.478260869565,-20.26086956521739,,,,
