time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward
1024,439,2,1,,,,,,,,,,,,,,,,
2048,504,4,2,0.0024415245,0.027004482224583626,0.007690727710723877,0.3805970991961658,-0.0028487451490946114,0.054931640625,-1.790451057255268,0.0002499488,4,0.09997952,,,,,,
3072,605,5,3,0.0015004738,0.032494597136974335,0.00987917184829712,0.1259683733806014,-0.0030785707058385015,0.020263671875,-1.7902830019593239,0.0002498976,8,0.09995904,,,,,,
4096,673,6,4,0.00043743447,0.05745077133178711,0.008240282535552979,0.1345844753086567,-0.00010273914085701108,0.0,-1.7909901589155197,0.0002498464,12,0.09993856000000001,,,,,,
5120,722,7,5,0.00022891589,0.03444443643093109,0.019297301769256592,0.10717055620625615,0.0002664418425410986,0.0,-1.7907217890024185,0.0002497952,16,0.09991808,,,,,,
6144,758,8,6,0.0004955114,0.03975262492895126,0.028065741062164307,0.12456498946994543,-0.00048536990652792156,0.0,-1.7907827720046043,0.000249744,20,0.0998976,,,,,,
7168,785,9,7,0.0014300793,0.04028543084859848,0.03709244728088379,0.12483737664297223,-0.0014153648226056248,0.0,-1.7886300086975098,0.0002496928,24,0.09987712,3267.5,-20.5,,,,
8192,805,10,8,0.0016784994,0.026658186689019203,0.03572624921798706,0.10209861816838384,-2.8707581805065274e-05,0.0,-1.7799131721258163,0.0002496416,28,0.09985664,3603.0,-19.8,,,,
9216,823,11,9,0.00062102196,0.03785043954849243,0.03606694936752319,0.11031918693333864,-0.00016573668108321726,0.0,-1.7757936120033264,0.0002495904,32,0.09983616000000001,3838.0,-19.857142857142858,,,,
10240,838,12,10,0.0016255111,0.025714265182614326,0.07666319608688354,0.11031851265579462,-0.0015099312586244196,0.032958984375,-1.775569424033165,0.00024953919999999997,36,0.09981568,3971.125,-19.625,,,,
11264,851,13,11,0.0010751475,0.021445434540510178,0.1201816201210022,0.09065914992243052,-0.0010243203141726553,0.0,-1.7802654579281807,0.00024948799999999997,40,0.0997952,3971.125,-19.625,,,,
12288,863,14,12,0.0022187084,0.01886664517223835,0.05925983190536499,0.09528611181303859,-0.002898403734434396,0.041259765625,-1.779978446662426,0.0002494368,44,0.09977472,3971.125,-19.625,,,,
